,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,1971632.5914720574,10280507.950151531
1,1.0974987654930568e-08,19.0,1944344.2992165154,9373011.327754967
2,1.204503540258781e-08,19.0,1917045.630361054,8546010.776089244
3,1.3219411484660288e-08,19.0,1889735.7016062532,7792361.951680494
4,1.4508287784959402e-08,19.0,1862411.4966072417,7105551.442058723
5,1.592282793341094e-08,19.0,1835072.8831163011,6479643.760474514
6,1.747528400007683e-08,19.0,1807717.782042856,5909230.309057176
7,1.9179102616724886e-08,19.0,1780347.836980685,5389391.546977084
8,2.104904144512022e-08,19.0,1752958.6925016744,4915618.264507635
9,2.310129700083158e-08,19.0,1725549.8169589015,4483838.075007414
10,2.5353644939701113e-08,19.0,1698119.5060106912,4090316.5267914627
11,2.782559402207126e-08,19.0,1670665.044853391,3731657.722958768
12,3.053855508833412e-08,19.0,1643187.5427353582,3404770.077791513
13,3.351602650938841e-08,19.0,1615681.8334056356,3106822.2715121396
14,3.678379771828634e-08,19.0,1588146.5833834272,2835256.149810609
15,4.037017258596558e-08,19.0,1560579.310505085,2587728.2040272774
16,4.4306214575838774e-08,19.0,1532977.2576202394,2362098.6891756286
17,4.8626015800653535e-08,19.0,1505338.5380363932,2156428.868796553
18,5.3366992312063125e-08,19.0,1477656.8770941652,1968945.9564943498
19,5.857020818056673e-08,19.0,1449931.6933508448,1798035.4334464234
20,6.42807311728432e-08,19.0,1422158.1265542991,1642225.221211915
21,7.054802310718646e-08,19.0,1394331.938129211,1500175.9776037754
22,7.742636826811277e-08,19.0,1366449.4854733727,1370664.844561755
23,8.497534359086438e-08,19.0,1338503.7407161489,1252578.7104937483
24,9.3260334688322e-08,19.0,1310490.1144547083,1144904.0496859194
25,1.0235310218990269e-07,19.0,1282402.4885491764,1046713.4369749351
26,1.1233240329780266e-07,19.0,1254234.1342863955,957164.4514060877
27,1.232846739442066e-07,19.0,1225977.7396811147,875490.916798742
28,1.3530477745798075e-07,19.0,1197625.1801451705,800989.2887054489
29,1.4849682622544636e-07,19.0,1169167.4321959135,733022.7059815457
30,1.6297508346206436e-07,19.0,1140594.6718888837,671008.4151797872
31,1.7886495290574352e-07,19.0,1111895.985497276,614414.7365470132
32,1.9630406500402725e-07,19.0,1083059.1889124545,562757.6295497123
33,2.1544346900318867e-07,19.0,1054070.828444241,515593.474786646
34,2.3644894126454072e-07,19.0,1024915.9483937754,472519.6262153512
35,2.5950242113997374e-07,19.0,995577.7845813986,433166.28998610144
36,2.848035868435805e-07,19.0,966038.600267288,397197.4166633218
37,3.125715849688235e-07,19.0,936275.4267814099,364303.87588087673
38,3.4304692863149193e-07,19.0,906265.4460928354,334203.3299053198
39,3.764935806792471e-07,19.0,875980.7388891706,306636.362202614
40,4.1320124001153343e-07,19.0,845393.9266739266,281365.6726799851
41,4.534878508128582e-07,19.0,814466.8363073474,258171.0866014251
42,4.977023564332114e-07,19.0,783160.4353322502,236849.9608227224
43,5.462277217684337e-07,19.0,751429.0671090807,217214.48218737027
44,5.994842503189409e-07,19.0,719215.6890134669,199088.74783651435
45,6.579332246575682e-07,19.0,686459.6341421928,182307.79043527108
46,7.220809018385472e-07,19.0,653084.6832260828,166714.56620687153
47,7.924828983539186e-07,19.0,619001.0139014248,152158.9846708051
48,8.697490026177835e-07,19.0,584100.4748777128,138494.59309904228
49,9.545484566618346e-07,19.0,548250.1831907477,125576.499855034
50,1.0476157527896663e-06,19.0,511289.649396076,113259.62242621172
51,1.1497569953977357e-06,19.0,473015.1364888181,101398.69312823185
52,1.261856883066021e-06,9.1,433169.5204176004,20874554.50776635
53,1.3848863713938746e-06,9.4,391430.0485430633,18375981.137566105
54,1.519911082952933e-06,9.8,347373.7011836017,15951988.097427974
55,1.6681005372000591e-06,10.200000000000001,300469.17033101915,13971990.958145857
56,1.8307382802953698e-06,10.700000000000001,250093.64832443837,12110225.730108038
57,2.0092330025650458e-06,11.200000000000001,195720.62606429128,10593683.979539637
58,2.2051307399030456e-06,11.8,137806.45010013398,9053429.237157593
59,2.4201282647943835e-06,12.200000000000001,80703.10071892693,7801261.56066509
60,2.656087782946684e-06,12.0,36217.08163571757,6935664.212375808
61,2.9150530628251817e-06,11.0,13152.256280354486,6394125.87658289
62,3.1992671377973847e-06,9.600000000000001,4624.960983099446,5881126.357565305
63,3.5111917342151347e-06,8.1,1764.5760722536634,5386586.448196269
64,3.853528593710536e-06,6.800000000000001,754.9351255644833,4778843.767202907
65,4.229242874389499e-06,5.6000000000000005,361.6750097715455,4170980.426997489
66,4.641588833612782e-06,4.5,191.52336900574463,3554758.5181788276
67,5.094138014816386e-06,3.5,110.02617090106038,2993784.08273344
68,5.590810182512223e-06,2.7,68.01387961424327,2498562.5923002446
69,6.1359072734131755e-06,2.0,44.125331114033216,2078850.7783377683
70,6.7341506577508285e-06,1.5,30.401787909446313,1704554.6311596974
71,7.390722033525775e-06,1.1,21.696808874838506,1395594.4342766816
72,8.111308307896873e-06,0.8,16.010358370187834,1143239.1841416478
73,8.902150854450392e-06,0.6000000000000001,12.374728459663292,938981.8322581752
74,9.770099572992246e-06,0.5,10.309243466043757,774477.9472702601
75,1.0722672220103253e-05,0.4,8.586062762140521,645771.6761075337
76,1.1768119524349992e-05,0.30000000000000004,7.083594809549694,543857.1674156163
77,1.2915496650148827e-05,0.2,5.682503148486514,461989.0591231946
78,1.4174741629268077e-05,0.2,5.418648755603824,394036.7266994315
79,1.5556761439304724e-05,0.2,5.1570355744849925,338539.0942016817
80,1.7073526474706923e-05,0.1,4.007775024475736,293864.2101818013
81,1.8738174228603867e-05,0.1,3.891282991200443,255702.81660196342
82,2.0565123083486515e-05,0.1,3.773766647494938,223622.95628700874
83,2.2570197196339216e-05,0.1,3.65618650781126,196437.79729757123
84,2.477076355991714e-05,0.1,3.539597738822935,173232.90579295295
85,2.71858824273294e-05,0.0,2.5,153296.16524627744
86,2.9836472402833404e-05,0.0,2.5,136066.67496092228
87,3.274549162877732e-05,0.0,2.5,121097.9783673849
88,3.5938136638046256e-05,0.0,2.5,108033.9105024622
89,3.944206059437664e-05,0.0,2.5,96584.28018301631
90,4.328761281083062e-05,0.0,2.5,86508.136789674
91,4.750810162102793e-05,0.0,2.5,77609.4102956316
92,5.214008287999695e-05,0.0,2.5,69730.27343016524
93,5.72236765935022e-05,0.0,2.5,62739.585343551465
94,6.28029144183426e-05,0.0,2.5,56522.84962884835
95,6.89261210434971e-05,0.0,2.5,50978.90473063582
96,7.56463327554629e-05,0.0,2.5,46020.11314627817
97,8.302175681319752e-05,0.0,2.5,41572.414661854535
98,9.111627561154906e-05,0.0,2.5,37575.980651245394
99,0.0001,0.0,2.5,33982.29442302034
