,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,8.8,258492.9173847215,124740595.2958198
1,11.768119524349984,8.8,260650.97519746184,120233010.15787505
2,13.848863713938732,8.8,263023.7405367604,115814185.72215052
3,16.297508346206442,8.8,265614.6489827764,111489471.59779586
4,19.179102616724887,8.8,268423.9691350804,107264532.67550153
5,22.570197196339205,8.8,271448.767523008,103145059.80132538
6,26.560877829466868,8.9,274684.08348810003,97741825.50499457
7,31.25715849688235,8.9,278119.2840469325,93893295.70846574
8,36.783797718286344,8.9,281744.5725979804,90164638.41033657
9,43.28761281083057,8.9,285547.64157257206,86558632.47954524
10,50.9413801481638,8.9,289515.3253658241,83076989.54191282
11,59.94842503189409,8.9,293634.2296835952,79720328.15547824
12,70.54802310718642,8.9,297891.28412966675,76488216.72985962
13,83.02175681319744,9.0,302275.2085242136,72292308.56109068
14,97.70099572992251,9.0,306772.8167911394,69345521.4387132
15,114.97569953977356,9.0,311375.16392077674,66515561.275021814
16,135.30477745798075,9.0,316073.69959135365,63798924.66653812
17,159.22827933410923,9.0,320861.2418700966,61191719.47901765
18,187.3817422860383,9.0,325731.9159549356,58689784.29615896
19,220.51307399030455,9.1,330682.1014362311,55436758.30088858
20,259.5024211399737,9.1,335706.16704799474,53166246.07033558
21,305.3855508833416,9.1,340802.4830562408,50986631.14512363
22,359.38136638046257,9.1,345969.2546045964,48893569.8408943
23,422.9242874389499,9.200000000000001,351206.4477115988,46165109.37587796
24,497.70235643321087,9.200000000000001,356511.627752302,44261667.1404816
25,585.7020818056661,9.200000000000001,361885.9136220308,42431280.07848637
26,689.2612104349695,9.200000000000001,367329.9520221624,40670114.981405
27,811.1308307896873,9.3,372845.91679096234,38372601.62262718
28,954.5484566618337,9.3,378433.3646828907,36764050.77319134
29,1123.3240329780276,9.3,384095.3137444303,35213272.20898772
30,1321.9411484660286,9.4,389835.30098426196,33192542.614059675
31,1555.6761439304723,9.4,395654.33950773306,31770373.892627172
32,1830.7382802953678,9.4,401556.91638066137,30396223.44448518
33,2154.4346900318824,9.5,407548.1977631917,28612058.93215046
34,2535.3644939701117,9.5,413630.947221344,27346260.50472303
35,2983.6472402833374,9.600000000000001,419812.64314870234,25708398.38094545
36,3511.191734215131,9.600000000000001,426097.68605125975,24538971.057937697
37,4132.0124001153345,9.700000000000001,432495.2544509277,23033109.25713108
38,4862.601580065353,9.700000000000001,439011.7423976771,21949674.33583566
39,5722.367659350214,9.8,445658.5609449621,20563364.81309887
40,6734.150657750822,9.8,452444.52035935764,19557067.91205123
41,7924.82898353917,9.9,459383.8992100446,18279611.972886473
42,9326.0334688322,10.0,466489.4933879899,17062057.4639238
43,10974.987654930545,10.100000000000001,473776.8738643611,15901678.145603659
44,12915.496650148827,10.200000000000001,481263.4632205729,14795981.512876105
45,15199.11082952933,10.4,488969.6176937127,13513640.66131716
46,17886.495290574352,10.5,496914.7241930402,12525876.18479824
47,21049.04144512022,10.700000000000001,505124.02446930535,11388533.399738196
48,24770.76355991709,10.9,513621.66427970625,10326847.961944258
49,29150.53062825176,11.100000000000001,522434.30314168206,9337277.550718917
50,34304.692863149125,11.3,531589.6351330276,8416535.959144756
51,40370.1725859655,11.600000000000001,541116.7664363052,7422674.317916819
52,47508.101621027934,11.9,551042.0921190567,6517422.706257902
53,55908.10182512223,12.3,561392.0330640434,5583678.079424317
54,65793.32246575682,12.700000000000001,572187.2289216274,4752262.417067229
55,77426.36826811278,13.100000000000001,583443.4427206072,4015525.6102086306
56,91116.27561154887,13.5,595167.9785435053,3366178.643940723
57,107226.72220103232,14.0,607357.9681958328,2729445.3821319216
58,126185.6883066021,14.5,619994.4328104059,2183773.4756115577
59,148496.82622544636,15.100000000000001,633043.6445929621,1669597.1127616395
60,174752.8400007683,15.600000000000001,646449.9459588007,1285983.5016819506
61,205651.23083486516,16.2,660141.6321460003,929654.2989646205
62,242012.82647943834,16.8,674024.144320832,640815.9573008186
63,284803.5868435799,17.400000000000002,687986.0493247991,410088.22046598396
64,335160.2650938841,17.900000000000002,701900.8037732716,250898.65546651563
65,394420.6059437656,18.5,715636.2124181318,107811.49170495622
66,464158.8833612772,19.0,729054.0710229196,15461.478665520915
67,546227.7217684337,19.0,742018.5035452102,13575.737367481797
68,642807.311728432,19.0,754414.8399219115,11879.583427472005
69,756463.3275546291,19.0,766142.160194697,10362.360890390364
70,890215.0854450375,19.0,777121.6874705898,9012.305844415596
71,1047615.7527896641,19.0,787298.913701659,7816.9237158175565
72,1232846.7394420658,19.0,796643.7390273737,6763.355374179001
73,1450828.7784959401,19.0,805148.9021623747,5838.711064134259
74,1707352.6474706887,19.0,812827.1454715241,5030.357553078316
75,2009233.0025650458,19.0,819707.620416745,4326.150448467187
76,2364489.412645407,19.0,825832.0056999763,3714.609482305334
77,2782559.402207126,19.0,831250.722287635,3185.039231493499
78,3274549.162877725,19.0,836019.5130141207,2727.6009779364686
79,3853528.5937105273,19.0,840196.5415824522,2333.3432813103427
80,4534878.5081285825,19.0,843840.070918133,1994.1995218696538
81,5336699.231206302,19.0,847006.7105729681,1702.9604887699127
82,6280291.441834247,19.0,849750.1788491114,1453.229324063007
83,7390722.033525775,19.0,852120.5024025947,1239.3650604894851
84,8697490.026177835,19.0,854163.5688685527,1056.4198116895277
85,10235310.218990248,19.0,855920.94984453,900.0735282058246
86,12045035.402587812,19.0,857429.9239694395,766.5692047634861
87,14174741.629268048,19.0,858723.6371863132,652.6505541025313
88,16681005.372000592,19.0,859831.3528265522,555.5034590864088
89,19630406.500402685,19.0,860778.7534907619,472.7019689157838
90,23101297.00083158,19.0,861588.2671351272,402.1591977990349
91,27185882.427329402,19.0,862279.3976200355,342.08319209601035
92,31992671.377973843,19.0,862869.0456376284,290.93763174450726
93,37649358.06792463,19.0,863371.8132624868,247.4071035354049
94,44306214.575838774,19.0,863800.2840673444,210.3666053331457
95,52140082.87999684,19.0,864165.279337094,178.85490777476227
96,61359072.734131634,19.0,864476.0879948903,152.05138479367596
97,72208090.18385457,19.0,864740.6714297698,129.25593467042782
98,84975343.59086438,19.0,864965.844343735,109.87163362288848
99,100000000.0,19.0,865157.4333802523,93.38978618183174
