,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,892247.550173351,2.8722551690996627
1,9.581308294981124e-11,19.0,892243.9650550364,3.302394929539878
2,1.1016176237216899e-10,19.0,892239.8430846167,3.7969514479045756
3,1.2665925691274435e-10,19.0,892235.1038789814,4.3655716876615775
4,1.4562736666730682e-10,19.0,892229.6550217193,5.019347345118877
5,1.6743608354708706e-10,19.0,892223.3902625646,5.77103122001281
6,1.9251080834026304e-10,19.0,892216.1874474989,6.635285990778357
7,2.213406485788902e-10,19.0,892207.9061396983,7.628970251244027
8,2.544879590694509e-10,19.0,892198.3848850487,8.77146738920128
9,2.9259931118459375e-10,19.0,892187.4380691545,10.085063724103385
10,3.364181048830456e-10,19.0,892174.8523049898,11.595383285020944
11,3.8679906946773077e-10,19.0,892160.3822818964,13.331887713156176
12,4.4472493593385817e-10,19.0,892143.7459950389,15.328451046231203
13,5.113256061177633e-10,19.0,892124.6192641304,17.624020606430715
14,5.879001925598856e-10,19.0,892102.6294355282,20.26337689140346
15,6.75942358991407e-10,19.0,892077.3481471097,23.298007308878006
16,7.771694557360145e-10,19.0,892048.28301747,26.78711081456859
17,8.935560183419373e-10,19.0,892014.8681006588,30.798753076035066
18,1.0273722828683854e-09,19.0,891976.4529249513,35.411194730619904
19,1.1812284691056722e-09,19.0,891932.2899081719,40.714418689196464
20,1.3581256955172047e-09,19.0,891881.5199116981,46.81188633897109
21,1.5615145190503214e-09,19.0,891823.1556626627,53.82255697887158
22,1.7953622416932376e-09,19.0,891756.0627344929,61.883209985645955
23,2.0642302966597604e-09,19.0,891678.9377334357,71.1511151441373
24,2.3733632236965027e-09,19.0,891590.2832908354,81.80710341393716
25,2.7287909690647747e-09,19.0,891488.3794044157,94.05909827770665
26,3.1374465056603906e-09,19.0,891371.2506137713,108.14617687732681
27,3.6073010675692158e-09,19.0,891236.6284250811,124.34324058975326
28,4.1475196369434256e-09,19.0,891081.9083267571,142.9663867235766
29,4.76863971612518e-09,19.0,890904.1006558557,164.379086885578
30,5.482776872146399e-09,19.0,890699.7744853836,188.99929356074426
31,6.303861062955238e-09,19.0,890464.9936086677,217.30761489685392
32,7.2479083551481905e-09,19.0,890195.2435952674,249.85671898762232
33,8.333333333333329e-09,19.0,889885.3487906891,287.28215355386493
34,9.581308294981124e-09,19.0,889529.3780267476,330.3147953711916
