,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.0,2.5,131598.3809369044
1,1.0974987654930568e-08,0.0,2.5,131609.59445863822
2,1.204503540258781e-08,0.0,2.5,131622.03924540864
3,1.3219411484660288e-08,0.0,2.5,131635.6616737317
4,1.4508287784959402e-08,0.0,2.5,131650.7500657461
5,1.592282793341094e-08,0.0,2.5,131667.50900212972
6,1.747528400007683e-08,0.0,2.5,131686.02814025045
7,1.9179102616724886e-08,0.0,2.5,131706.58408135278
8,2.104904144512022e-08,0.0,2.5,131729.35075859344
9,2.310129700083158e-08,0.0,2.5,131754.68022769317
10,2.5353644939701113e-08,0.0,2.5,131782.79260265338
11,2.782559402207126e-08,0.0,2.5,131814.14904598086
12,3.053855508833412e-08,0.0,2.5,131848.98889363647
13,3.351602650938841e-08,0.0,2.5,131887.89475812498
14,3.678379771828634e-08,0.0,2.5,131931.34076994445
15,4.037017258596558e-08,0.0,2.5,131979.965007978
16,4.4306214575838774e-08,0.0,2.5,132034.43286149754
17,4.8626015800653535e-08,0.0,2.5,132095.54454201396
18,5.3366992312063125e-08,0.0,2.5,132164.24060228223
19,5.857020818056673e-08,0.0,2.5,132241.62073515536
20,6.42807311728432e-08,0.0,2.5,132328.8970091045
21,7.054802310718646e-08,0.0,2.5,132427.59694791035
22,7.742636826811277e-08,0.0,2.5,132539.4673686001
23,8.497534359086438e-08,0.0,2.5,132666.46952399422
24,9.3260334688322e-08,0.0,2.5,132811.03034433894
25,1.0235310218990269e-07,0.0,2.5,132976.0964961745
26,1.1233240329780266e-07,0.0,2.5,133164.91102796787
27,1.232846739442066e-07,0.0,2.5,133381.52967486496
28,1.3530477745798075e-07,0.0,2.5,133630.73681135607
29,1.4849682622544636e-07,0.0,2.5,133918.2978313069
30,1.6297508346206436e-07,0.0,2.5,134251.12391682793
31,1.7886495290574352e-07,0.0,2.5,134637.47139905076
32,1.9630406500402725e-07,0.0,2.5,135087.42901288104
33,2.1544346900318867e-07,0.0,2.5,135613.1868697027
34,2.3644894126454072e-07,0.0,2.5,136229.65953113337
35,2.5950242113997374e-07,0.0,2.5,136955.0357538097
36,2.848035868435805e-07,0.0,2.5,137811.74100509135
37,3.125715849688235e-07,0.0,2.5,138827.3960486246
38,3.4304692863149193e-07,0.0,2.5,140036.30296937103
39,3.764935806792471e-07,0.0,2.5,141481.2450678038
40,4.1320124001153343e-07,0.0,2.5,143215.886832629
41,4.534878508128582e-07,0.0,2.5,145307.93778284712
42,4.977023564332114e-07,0.0,2.5,147843.5557567506
43,5.462277217684337e-07,0.0,2.5,150932.9567482816
44,5.994842503189409e-07,0.0,2.5,154718.50438688128
45,6.579332246575682e-07,0.0,2.5,159385.72543005832
46,7.220809018385472e-07,0.0,2.5,165178.84921554787
47,7.924828983539186e-07,0.0,2.5,172423.32281365796
48,8.697490026177835e-07,0.0,2.5,181558.04987167325
49,9.545484566618346e-07,0.0,2.5,193183.82997913103
50,1.0476157527896663e-06,0.0,2.5,208135.8976727784
51,1.1497569953977357e-06,0.0,2.5,227596.11832934618
52,1.261856883066021e-06,0.0,2.5,253268.8959425606
53,1.3848863713938746e-06,0.0,2.5,287661.5794426291
54,1.519911082952933e-06,0.0,2.5,334540.31258722127
55,1.6681005372000591e-06,0.0,2.5,399667.9935675333
56,1.8307382802953698e-06,0.0,2.5,491991.2191908102
57,2.0092330025650458e-06,0.0,2.5,625454.6276560281
58,2.2051307399030456e-06,0.0,2.5,821444.7069812297
59,2.4201282647943835e-06,0.0,2.5,1111119.3002078813
60,2.656087782946684e-06,0.0,2.5,1535219.437661315
61,2.9150530628251817e-06,0.0,2.5,2137750.555803296
62,3.1992671377973847e-06,0.0,2.5,2953229.4632513355
63,3.5111917342151347e-06,0.0,2.5,3994663.7298150556
64,3.853528593710536e-06,0.0,2.5,5249350.574474451
65,4.229242874389499e-06,0.0,2.5,6678987.146019283
66,4.641588833612782e-06,0.0,2.5,8214145.217446434
67,5.094138014816386e-06,0.0,2.5,9738232.855385413
68,5.590810182512223e-06,0.0,2.5,11079137.086454231
