,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,15.9,196354.95213491342,4772866.502969673
1,1.4508287784959373e-16,15.9,196354.95213491193,4772866.502969658
2,2.1049041445120218e-16,15.9,196354.9521349127,4772866.502969675
3,3.0538555088334123e-16,15.9,196354.95213491598,4772866.502969698
4,4.4306214575838864e-16,15.9,196354.95213491563,4772866.502969699
5,6.428073117284319e-16,15.9,196354.95213491796,4772866.502969699
6,9.32603346883218e-16,15.9,196354.95213491423,4772866.502969708
7,1.3530477745798075e-15,15.9,196354.95213491714,4772866.502969719
8,1.9630406500402685e-15,15.9,196354.95213491493,4772866.502969736
9,2.8480358684358048e-15,15.9,196354.95213491432,4772866.502969758
10,4.132012400115335e-15,15.9,196354.95213490966,4772866.502969779
11,5.994842503189421e-15,15.9,196354.9521349151,4772866.502969863
12,8.697490026177834e-15,15.9,196354.95213490666,4772866.502969884
13,1.2618568830660185e-14,15.9,196354.95213491112,4772866.502970024
14,1.8307382802953698e-14,15.9,196354.95213490305,4772866.502970133
15,2.656087782946684e-14,15.9,196354.95213490154,4772866.502970368
16,3.853528593710535e-14,15.9,196354.95213489723,4772866.502970673
17,5.590810182512223e-14,15.9,196354.95213489025,4772866.502971136
18,8.111308307896889e-14,15.9,196354.95213487576,4772866.502971763
19,1.176811952434999e-13,15.9,196354.95213485818,4772866.502972718
20,1.7073526474706888e-13,15.9,196354.95213483827,4772866.502974104
21,2.477076355991714e-13,15.9,196354.95213478987,4772866.502976015
22,3.593813663804626e-13,15.9,196354.95213473702,4772866.5029788995
23,5.214008287999695e-13,15.9,196354.95213466408,4772866.5029831035
24,7.564633275546291e-13,15.9,196354.95213454857,4772866.502989145
25,1.097498765493059e-12,15.9,196354.95213438434,4772866.50299793
26,1.5922827933410938e-12,15.9,196354.95214291688,4772866.502992797
27,2.310129700083158e-12,15.9,196354.9521425758,4772866.503011295
28,3.351602650938848e-12,15.9,196354.9526212809,4772866.504988654
29,4.8626015800653536e-12,15.9,196354.952611204,4772866.5050175795
30,7.054802310718631e-12,15.9,196354.9526321761,4772866.505081933
31,1.0235310218990269e-11,15.9,196354.9526325905,4772866.50515764
32,1.4849682622544695e-11,15.9,196354.95262204288,4772866.505280429
33,2.1544346900318868e-11,15.9,196354.952613068,4772866.505470078
34,3.125715849688235e-11,15.9,196354.95212026773,4772866.50377596
35,4.5348785081285915e-11,15.9,196354.95212060274,4772866.504134001
36,6.579332246575682e-11,15.9,196354.95253259264,4772866.506455157
37,9.545484566618327e-11,15.9,196354.952495848,4772866.507059963
38,1.3848863713938747e-10,15.9,196354.9524661509,4772866.508415517
39,2.009233002565054e-10,15.9,196354.95250708782,4772866.509998507
40,2.915053062825182e-10,15.9,196354.95240598253,4772866.5123488065
41,4.229242874389499e-10,15.9,196354.9519323047,4772866.513868921
42,6.135907273413189e-10,15.9,196354.95183613652,4772866.518780445
43,8.902150854450393e-10,15.9,196354.95202530603,4772866.526988204
44,1.2915496650148826e-09,15.9,196354.95203800997,4772866.538200383
45,1.873817422860387e-09,15.9,196354.95181577548,4772866.553688195
46,2.7185882427329512e-09,15.9,196354.95122806932,4772866.574248974
47,3.944206059437664e-09,15.9,196354.9507124258,4772866.606470951
48,5.72236765935022e-09,15.9,196354.95001870644,4772866.652698763
49,8.302175681319769e-09,15.9,196354.94846231048,4772866.718018829
50,1.2045035402587836e-08,15.9,196354.94667122286,4772866.814423426
51,1.7475284000076902e-08,15.9,196354.94409116672,4772866.954302242
52,2.5353644939701166e-08,15.9,196354.94036032137,4772867.15789709
53,3.678379771828634e-08,15.9,196354.93475100168,4772867.45219617
54,5.336699231206324e-08,15.9,196354.92691514737,4772867.880106728
55,7.742636826811277e-08,15.9,196354.9153077531,4772868.499160306
56,1.1233240329780311e-07,15.9,196354.89813370723,4772869.396552687
57,1.6297508346206468e-07,15.9,196354.87396385343,4772870.702590039
58,2.3644894126454072e-07,15.9,196354.8386418923,4772872.594941948
59,3.430469286314926e-07,15.9,196354.787207569,4772875.340239161
60,4.977023564332114e-07,15.9,196354.7128083132,4772879.324183045
61,7.220809018385486e-07,15.9,196354.60474394384,4772885.103644468
62,1.0476157527896663e-06,15.9,196354.44750168893,4772893.487133924
