,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,4232334.0831918055,226520.082856261
1,9.581308294981124e-11,19.0,4232012.328132569,226529.69850669417
2,1.1016176237216899e-10,19.0,4231642.455776536,226540.75248139948
3,1.2665925691274435e-10,19.0,4231217.282014346,226553.45963713495
4,1.4562736666730682e-10,19.0,4230728.55386796,226568.06683267985
5,1.6743608354708706e-10,19.0,4230166.791667122,226584.85766542726
6,1.9251080834026304e-10,19.0,4229521.108310125,226604.15789939088
7,2.213406485788902e-10,19.0,4228779.002407258,226626.34168245515
8,2.544879590694509e-10,19.0,4227926.121840666,226651.83866358438
9,2.9259931118459375e-10,19.0,4226945.992834928,226681.14213441094
10,3.364181048830456e-10,19.0,4225819.712127726,226714.81833661743
11,3.8679906946773077e-10,19.0,4224525.59437277,226753.51709102202
12,4.4472493593385817e-10,19.0,4223038.771295426,226797.98392480268
13,5.113256061177633e-10,19.0,4221330.735622089,226849.0738910577
14,5.879001925598856e-10,19.0,4219368.823223896,226907.76729484103
15,6.75942358991407e-10,19.0,4217115.626348564,226975.18756380572
16,7.771694557360145e-10,19.0,4214528.330120557,227052.62149992856
17,8.935560183419373e-10,19.0,4211557.964337779,227141.54223174707
18,1.0273722828683854e-09,19.0,4208148.562982996,227243.63506907332
19,1.1812284691056722e-09,19.0,4204236.222570882,227360.82664255338
20,1.3581256955172047e-09,19.0,4199748.046355743,227495.31757079973
21,1.5615145190503214e-09,19.0,4194601.00568588,227649.61891520672
22,1.7953622416932376e-09,19.0,4188700.620840342,227826.5927607108
23,2.0642302966597604e-09,19.0,4181939.5828429703,228029.4969905864
24,2.3733632236965027e-09,19.0,4174196.23655009,228262.03445873447
25,2.7287909690647747e-09,19.0,4165332.9283027933,228528.40649791984
26,3.1374465056603906e-09,19.0,4155194.323611854,228833.3705114154
27,3.6073010675692158e-09,19.0,4143605.6407922306,229182.30118505843
28,4.1475196369434256e-09,19.0,4130370.8027218655,229581.25467608473
29,4.76863971612518e-09,19.0,4115270.752320518,230037.034095966
30,5.482776872146399e-09,19.0,4098061.833161938,230557.2549260135
31,6.303861062955238e-09,19.0,4078474.3906777883,231150.40717319376
32,7.2479083551481905e-09,19.0,4056211.8532517124,231825.91158579878
33,8.333333333333329e-09,19.0,4030950.351781925,232594.16454654688
34,9.581308294981124e-09,19.0,4002339.092984339,233466.56531925607
35,1.1016176237216898e-08,19.0,3970001.922564894,234455.5187767694
36,1.2665925691274434e-08,19.0,3933540.2017714065,235574.40097748316
37,1.4562736666730681e-08,19.0,3892537.375222491,236837.47218326048
38,1.6743608354708703e-08,19.0,3846565.7120899875,238259.7071616884
39,1.9251080834026304e-08,19.0,3795195.2881109733,239856.4842467879
40,2.213406485788902e-08,19.0,3738005.7013681065,241642.9904141801
41,2.5448795906945086e-08,19.0,3674600.556710722,243632.9351879053
42,2.9259931118459377e-08,19.0,3604624.5631223517,245835.35036066562
43,3.364181048830456e-08,19.0,3527783.2376201395,248245.3501093703
44,3.867990694677316e-08,18.7,3443861.811239791,996521.234065833
45,4.447249359338591e-08,18.5,3352756.4094167585,1504584.1990424735
