,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,3893415.251252639,11661689.474838894
1,1.0974987654930568e-08,19.0,3777967.470753273,10507954.373508275
2,1.204503540258781e-08,19.0,3663505.700021575,9432031.781482553
3,1.3219411484660288e-08,19.0,3550113.71693671,8441899.680816973
4,1.4508287784959402e-08,19.0,3437866.8477221252,7539861.917840743
5,1.592282793341094e-08,19.0,3326834.326523616,6724212.653862401
6,1.747528400007683e-08,19.0,3217081.109466336,5990692.599861987
7,1.9179102616724886e-08,19.0,3108669.038541372,5333618.160027509
8,2.104904144512022e-08,19.0,3001657.9380392088,4746666.302531843
9,2.310129700083158e-08,19.0,2896106.149185005,4223387.781670003
10,2.5353644939701113e-08,19.0,2792070.8015460894,3757518.9475464136
11,2.782559402207126e-08,19.0,2689608.1690500146,3343158.911443889
12,3.053855508833412e-08,19.0,2588773.62303994,2974852.9947235486
13,3.351602650938841e-08,19.0,2489621.7677857564,2647625.2099480513
14,3.678379771828634e-08,19.0,2392206.1495248657,2356974.6221695715
15,4.037017258596558e-08,19.0,2296579.172735697,2098854.538000279
16,4.4306214575838774e-08,18.8,2202790.2041469244,5662255.746198665
17,4.8626015800653535e-08,18.5,2110890.538372416,10236694.652740378
18,5.3366992312063125e-08,18.1,2020928.0354136955,15504234.417446993
19,5.857020818056673e-08,17.8,1932950.5330707375,18239085.988221377
20,6.42807311728432e-08,17.5,1847000.6547269297,20325578.709168263
21,7.054802310718646e-08,17.1,1763118.6354596615,23131400.101698793
22,7.742636826811277e-08,16.8,1681344.9846279924,24117675.25136647
23,8.497534359086438e-08,16.400000000000002,1601713.16088998,25813998.4215984
24,9.3260334688322e-08,16.1,1524257.5172909999,26043647.964844353
25,1.0235310218990269e-07,15.8,1449005.7779564809,26033898.041243073
26,1.1233240329780266e-07,15.4,1375982.0215095526,26682303.14651896
27,1.232846739442066e-07,15.100000000000001,1305209.3414277819,26261824.06354487
28,1.3530477745798075e-07,14.700000000000001,1236702.6802180249,26460110.88014309
29,1.4849682622544636e-07,14.4,1170476.6439064164,25786686.110407446
30,1.6297508346206436e-07,14.0,1106537.3072745297,25688921.796136223
31,1.7886495290574352e-07,13.700000000000001,1044890.1634435363,24875988.71343558
32,1.9630406500402725e-07,13.4,985532.8726021419,24046518.050935566
33,2.1544346900318867e-07,13.0,928458.3300543218,23723067.18157237
34,2.3644894126454072e-07,12.700000000000001,873657.5636759258,22862111.649768863
35,2.5950242113997374e-07,12.4,821113.6769155868,22020613.676760558
36,2.848035868435805e-07,12.100000000000001,770805.9425497651,21205574.963687904
