,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,8.8,258492.73117632195,124740985.23795669
1,11.768119524349984,8.8,260650.78984740883,120233381.35295123
2,13.848863713938732,8.8,263023.5561580666,115814538.68883787
3,16.297508346206442,8.8,265614.46567449736,111489806.88856852
4,19.179102616724887,8.8,268423.78700385714,107264850.93763584
5,22.570197196339205,8.8,271448.58769373863,103145361.17659087
6,26.560877829466868,8.9,274683.904080275,97742107.43920732
7,31.25715849688235,8.9,278119.10604954464,93893562.52965799
8,36.783797718286344,8.9,281744.3961731671,90164890.7912333
9,43.28761281083057,8.9,285547.4668363991,86558871.46998772
10,50.9413801481638,8.9,289515.15238237876,83077215.21536161
11,59.94842503189409,8.9,293634.0585712339,79720541.34298408
12,70.54802310718642,8.9,297891.11521048204,76488417.48747936
13,83.02175681319744,9.0,302275.04137203115,72292495.53681606
14,97.70099572992251,9.0,306772.65173186426,69345697.85361484
15,114.97569953977356,9.0,311375.00102459546,66515727.69418677
16,135.30477745798075,9.0,316073.5389250066,63799081.63397041
17,159.22827933410923,9.0,320861.0834949477,61191867.51348095
18,187.3817422860383,9.0,325731.75993596314,58689923.892490156
19,220.51307399030455,9.1,330681.9478251049,55436888.06850089
20,259.5024211399737,9.1,335706.0158476333,53166368.39909807
21,305.3855508833416,9.1,340802.3344394151,50986746.51180832
22,359.38136638046257,9.1,345969.10856532096,48893678.61263537
23,422.9242874389499,9.200000000000001,351206.30431057204,46165210.469265535
24,497.70235643321087,9.200000000000001,356511.48702595074,44261762.45231631
25,585.7020818056661,9.200000000000001,361885.77563605364,42431369.93588066
26,689.2612104349695,9.200000000000001,367329.8168270008,40670199.6941472
27,811.1308307896873,9.3,372845.78443598974,38372680.345513664
28,954.5484566618337,9.3,378433.2352237791,36764124.98353868
29,1123.3240329780276,9.3,384095.187230906,35213342.03674576
30,1321.9411484660286,9.4,389835.17746854713,33192607.605506647
31,1555.6761439304723,9.4,395654.2190374228,31770435.143723942
32,1830.7382802953678,9.4,401556.7990189246,30396281.163143624
33,2154.4346900318824,9.5,407548.0835523205,28612112.53357063
34,2535.3644939701117,9.5,413630.8362385433,27346311.053988017
35,2983.6472402833374,9.600000000000001,419812.53541094257,25708445.118850626
36,3511.191734215131,9.600000000000001,426097.5816137662,24539015.17690618
37,4132.0124001153345,9.700000000000001,432495.1533719453,23033150.17673336
38,4862.601580065353,9.700000000000001,439011.6447338633,21949712.826952286
39,5722.367659350214,9.8,445658.4667609534,20563400.411351476
40,6734.150657750822,9.8,452444.4298345669,19557101.362354685
41,7924.82898353917,9.9,459383.8121032807,18279642.972754963
42,9326.0334688322,10.0,466489.40990430454,17062086.118044317
43,10974.987654930545,10.100000000000001,473776.794072092,15901704.60418813
44,12915.496650148827,10.200000000000001,481263.3871781885,14796005.915478563
45,15199.11082952933,10.4,488969.54546259344,13513662.79790228
46,17886.495290574352,10.5,496914.6558556692,12525896.536808299
47,21049.04144512022,10.700000000000001,505123.96009822027,11388551.800638031
48,24770.76355991709,10.9,513621.60397215205,10326864.552211596
49,29150.53062825176,11.100000000000001,522434.24701008905,9337292.482948052
50,34304.692863149125,11.3,531589.5833069363,8416549.359252235
51,40370.1725859655,11.600000000000001,541116.7190670945,7422686.107273654
52,47508.101621027934,11.9,551042.0493791684,6517433.036755267
53,55908.10182512223,12.3,561391.9951842371,5583686.93054695
54,65793.32246575682,12.700000000000001,572187.1961660954,4752269.953525694
55,77426.36826811278,13.100000000000001,583443.415405812,4015531.98372575
56,91116.27561154887,13.5,595167.9570453265,3366183.9935286487
57,107226.72220103232,14.0,607357.9529486357,2729449.733412091
58,126185.6883066021,14.5,619994.4243173929,2183776.9691412537
59,148496.82622544636,15.100000000000001,633043.6434149012,1669599.7977767428
60,174752.8400007683,15.600000000000001,646449.9527196795,1285985.5783676738
61,205651.23083486516,16.2,660141.6474985976,929655.8089953731
62,242012.82647943834,16.8,674024.1689381453,640817.0045111458
63,284803.5868435799,17.400000000000002,687986.083865506,410088.8948564738
64,335160.2650938841,17.900000000000002,701900.8488501989,250899.07023232087
65,394420.6059437656,18.5,715636.2685526153,107811.67112546657
66,464158.8833612772,19.0,729054.1386221902,15461.504541162298
67,546227.7217684337,19.0,742018.5828752074,13575.76008196891
68,642807.311728432,19.0,754414.9310704874,11879.603303893598
69,756463.3275546291,19.0,766142.2630749418,10362.378231310671
70,890215.0854450375,19.0,777121.8018255652,9012.320930839667
71,1047615.7527896641,19.0,787299.039120381,7816.936806629004
72,1232846.7394420658,19.0,796643.8749689054,6763.3667060432845
73,1450828.7784959401,19.0,805149.0479848667,5838.720851817017
74,1707352.6474706887,19.0,812827.3004629363,5030.365990124073
75,2009233.0025650458,19.0,819707.7838251335,4326.157708166656
76,2364489.412645407,19.0,825832.1767589146,3714.6157188889806
77,2782559.402207126,19.0,831250.9002424589,3185.044581473607
78,3274549.162877725,19.0,836019.6971311976,2727.6055615315913
79,3853528.5937105273,19.0,840196.7311732082,2333.3472039257526
80,4534878.5081285825,19.0,843840.2653396664,1994.2028755410458
81,5336699.231206302,19.0,847006.9092354977,1702.9633535730188
82,6280291.441834247,19.0,849750.3811974934,1453.2317694432686
83,7390722.033525775,19.0,852120.7080457435,1239.367146513914
84,8697490.026177835,19.0,854163.7772393378,1056.4215901836521
85,10235310.218990248,19.0,855921.1606626223,900.0750437753392
86,12045035.402587812,19.0,857430.1368715095,766.5704957469716
87,14174741.629268048,19.0,858723.8518851022,652.6516533917398
88,16681005.372000592,19.0,859831.5690695541,555.5043948615436
89,19630406.500402685,19.0,860778.9710726765,472.7027650608565
90,23101297.00083158,19.0,861588.4858505542,402.1598751946935
91,27185882.427329402,19.0,862279.6172129877,342.08376835326203
92,31992671.377973843,19.0,862869.2661390969,290.93812201211693
93,37649358.06792463,19.0,863372.034472353,247.40752047237476
94,44306214.575838774,19.0,863800.5058815682,210.36695986579872
95,52140082.87999684,19.0,864165.5016668472,178.85520921307617
96,61359072.734131634,19.0,864476.3107723962,152.05164099512623
97,72208090.18385457,19.0,864740.8945731089,129.2561525301193
98,84975343.59086438,19.0,864966.0678058288,109.87181881531143
99,100000000.0,19.0,865157.6571137062,93.38994359701174
