,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,665142.9851083516,2221224.858448582
1,1.0974987654930568e-08,19.0,658053.4311246257,2220773.5185860274
2,1.204503540258781e-08,19.0,650488.8279520047,2220239.6487358073
3,1.3219411484660288e-08,19.0,642434.8056641535,2219603.101279858
4,1.4508287784959402e-08,19.0,633879.2227558142,2218837.412781048
5,1.592282793341094e-08,19.0,624812.5448049085,2217907.370955579
6,1.747528400007683e-08,19.0,615228.2093083941,2216765.4536762256
7,1.9179102616724886e-08,19.0,605122.9537742736,2215346.7522049034
8,2.104904144512022e-08,19.0,594497.1258642072,2213561.181209647
9,2.310129700083158e-08,19.0,583354.922318004,2211282.077523312
10,2.5353644939701113e-08,19.0,571704.5776830784,2208328.5408102125
11,2.782559402207126e-08,19.0,559558.4793925948,2204438.8304611477
12,3.053855508833412e-08,19.0,546933.2201543662,2199229.440396206
13,3.351602650938841e-08,19.0,533849.5583278238,2192133.8404906364
14,3.678379771828634e-08,19.0,520332.3271422939,2182312.8184080143
15,4.037017258596558e-08,19.0,506410.2750023222,2168533.5011309194
16,4.4306214575838774e-08,19.0,492115.8426706796,2149032.538982837
17,4.8626015800653535e-08,19.0,477484.90636945475,2121428.3220144957
18,5.3366992312063125e-08,19.0,462556.4683902754,2082839.7861112095
19,5.857020818056673e-08,19.0,447372.3179006155,2030438.6688846485
20,6.42807311728432e-08,18.900000000000002,431975.6699540808,3905946.3429486477
21,7.054802310718646e-08,18.6,416412.67989067035,9250473.542408407
22,7.742636826811277e-08,18.3,400733.1292022006,13970106.904068988
23,8.497534359086438e-08,17.900000000000002,384984.5205536754,19643114.908097528
24,9.3260334688322e-08,17.6,369217.90481866675,23039252.025170825
25,1.0235310218990269e-07,17.2,353480.5147560057,27235275.785526507
26,1.1233240329780266e-07,16.900000000000002,337822.98406309023,29462891.577133797
27,1.232846739442066e-07,16.5,322290.88241562573,32397911.200246107
28,1.3530477745798075e-07,16.2,306932.06977516256,33661274.0326638
29,1.4849682622544636e-07,15.8,291788.2453093992,35567481.50562153
30,1.6297508346206436e-07,15.5,276902.42971001245,36068582.24653002
31,1.7886495290574352e-07,15.100000000000001,262310.6045138351,37159371.36401707
32,1.9630406500402725e-07,14.8,248049.32069353174,37077188.60951679
33,2.1544346900318867e-07,14.4,234147.48221211723,37537456.24215938
34,2.3644894126454072e-07,14.100000000000001,220634.057804443,37024741.25335761
35,2.5950242113997374e-07,13.700000000000001,207530.00686006335,37011959.944703825
36,2.848035868435805e-07,13.4,194856.08329199074,36198087.990744054
37,3.125715849688235e-07,13.0,182624.85127520096,35846412.9683006
38,3.4304692863149193e-07,12.700000000000001,170848.60837816534,34841521.82563956
39,3.764935806792471e-07,12.3,159531.3974317692,34266113.92127051
40,4.1320124001153343e-07,12.0,148677.13021593925,33164875.0004522
41,4.534878508128582e-07,11.700000000000001,138282.52690656015,32061902.01716469
42,4.977023564332114e-07,11.4,128340.41393342096,30973902.2099824
