MD1,,MD2,,MD3,,MD4,
Parameter,Identifiability,Parameter,Identifiability,Parameter,Identifiability,Parameter,Identifiability
c,globally,K,locally,c,globally,c,globally
p,nonidentifiable,beta,globally,V(t),globally,p,nonidentifiable
T(t),globally,V(t),globally,r,globally,T(t),globally
k_T,globally,c_T,globally,d_I,globally,d_T,globally
K,locally,k_T,globally,beta,globally,K,locally
V(t),globally,I(t),nonidentifiable,d_T,globally,V(t),globally
d_I,globally,d_T,globally,U(t),nonidentifiable,c_T,globally
r,globally,c,globally,K,locally,r,globally
s_T,globally,T(t),globally,T(t),globally,s_T,globally
U(t),nonidentifiable,U(t),nonidentifiable,p,nonidentifiable,U(t),nonidentifiable
beta,globally,p,nonidentifiable,s_T,globally,beta,globally
d_T,globally,d_I,globally,I(t),nonidentifiable,d_I,globally
I(t),nonidentifiable,s_T,globally,,,I(t),nonidentifiable
,,r,globally,,,,
