,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
0,1.0,0.8801253702671915,5.132958293781108,1200000.0,1.7515453699996867e-06,0.2768725974697759,2068.468503214419,0.08333266159731895,1.8630117012329245e-07,909615.6,25.0
1,2.0,1.0562956346720387,5.336405173141642,1200000.0,1.929070286330685e-06,0.2499446181156486,2110.452807120979,0.0775151297254646,2.1528362907762558e-07,946546.4,25.0
2,3.0,0.975784427791104,5.084351488382218,1200000.0,1.4878895271235038e-06,0.29218443055892607,4101.52684378624,0.07813049958841067,2.475990451140367e-07,909615.6,25.0
3,4.0,0.9859440391747797,4.886683719918928,1200000.0,1.654849891465711e-06,0.26376505456939014,2780.961436830461,0.06954074109710734,2.0913631320965267e-07,978771.6,25.0
4,5.0,0.9402853196011474,5.312359277158194,1200000.0,1.5661598642285223e-06,0.2620965351986655,1944.6616282612085,0.09297924196365925,2.414703113314852e-07,1007467.6,25.0
5,6.0,0.9258307367097016,4.69749832233812,1200000.0,1.5383482734434347e-06,0.325966694637124,4825.923802062869,0.08115364657145718,2.2324000197836835e-07,798966.0,25.0
6,7.0,0.9494995833210838,5.184494393385421,1200000.0,1.6075331450888679e-06,0.2799530567642705,2937.311076387763,0.0867603397191486,1.909729975185101e-07,999232.8,25.0
7,8.0,0.9804552633432332,4.583290410539291,1200000.0,1.389564988542438e-06,0.30160928112849206,3796.775326035917,0.08660856221158575,2.412668706117162e-07,946546.4,25.0
8,9.0,0.9877467046689766,5.045667231276234,1200000.0,1.663871836383917e-06,0.27647235706849926,2882.4411721751094,0.07356466442754211,2.208342350057906e-07,906657.6,25.0
9,10.0,1.0119914478695962,4.924894093135904,1200000.0,1.5455860974857767e-06,0.28815295328774937,2814.0447483733296,0.0840260576893786,2.498731270877242e-07,888583.2,25.0
10,11.0,0.8681080724420022,5.067788850630528,1200000.0,1.4900892529166022e-06,0.2995654133976515,2401.595596395433,0.09726001932839984,2.2857906932756205e-07,883877.6,25.0
