,S2,S2_conf
"('p', 'c_V')",0.08992057596381747,0.005800909979665261
"('p', 'r')",0.009958256555219286,0.004608292346808193
"('p', 'k_T')",0.008315126408000965,0.004150396328416825
"('p', 'd_T')",0.00978450517133517,0.0038865494454213036
"('p', 'c_T')",0.003932819417615368,0.0036845114717002385
"('c_V', 'r')",0.06912656412330725,0.011825945730882538
"('c_V', 'k_T')",0.06180123686399987,0.011227321138244203
"('c_V', 'd_T')",0.04906810880779133,0.011235255270937447
"('c_V', 'c_T')",0.009180952612916569,0.010626202035201811
"('r', 'k_T')",0.0018425972445256164,0.0038141226454012664
"('r', 'd_T')",0.0010153028296056472,0.003782968049070037
"('r', 'c_T')",0.002656079875671664,0.003982889662113388
"('k_T', 'd_T')",0.003088055054152262,0.0029424069888937475
"('k_T', 'c_T')",0.002112467884375682,0.002824968398619758
"('d_T', 'c_T')",0.0007212859977830752,0.0030290638494180496
