,S2,S2_conf
"('beta', 'd_I')",0.01903137375278248,0.038553842903219164
"('beta', 'c')",0.03778161863679913,0.06729197264959766
"('beta', 'd_T')",0.01108906682137811,0.016597300506444833
"('beta', 'r')",0.007686435137732927,0.013190397630397241
"('beta', 'k_T')",0.007710460850345611,0.01323403372152218
"('beta', 'c_T')",-0.00037312149366501395,0.013074945218569495
"('d_I', 'c')",0.004462376601045204,0.12844387932508397
"('d_I', 'd_T')",0.03941381897681206,0.18511503911999805
"('d_I', 'r')",-0.0690779163393354,0.10613104820325385
"('d_I', 'k_T')",-0.06900593850300138,0.10611169961881566
"('d_I', 'c_T')",-0.05640529264189585,0.10874840742488853
"('c', 'd_T')",0.1059286975807351,0.1600955425127411
"('c', 'r')",0.020585737487031984,0.1003742292854414
"('c', 'k_T')",0.018792445609220856,0.10058238763040975
"('c', 'c_T')",0.07659192552036276,0.13432493201326315
"('d_T', 'r')",0.01807292617977242,0.043052627340038764
"('d_T', 'k_T')",0.018039501564680982,0.043057413781184814
"('d_T', 'c_T')",0.0178791209742952,0.04305570900267187
"('r', 'k_T')",-8.836073816454577e-05,0.00020629844764233598
"('r', 'c_T')",-8.684472635347648e-05,0.00020635616612161005
"('k_T', 'c_T')",-0.0006900757522924524,0.0006691140234550393
