,S2,S2_conf
"('beta', 'd_I')",0.012706734864805558,0.015676481598587783
"('beta', 'c')",0.11301636016290942,0.14216640336246075
"('beta', 'd_T')",-0.00010125021711656394,0.001221632292530922
"('beta', 'r')",-0.00017636135557686872,0.0011454914620519405
"('d_I', 'c')",0.5227371181496256,0.9909077949812046
"('d_I', 'd_T')",0.0342377376495067,0.1640575398126003
"('d_I', 'r')",0.03140976952253618,0.15573694380083808
"('c', 'd_T')",0.07622809903230392,0.3804057028376342
"('c', 'r')",0.11874758401881047,0.42902936151163384
"('d_T', 'r')",-9.064433573410917e-05,0.00037134462256960905
