,S2,S2_conf
"('p', 'c_V')",0.09800214598691864,0.027578017907215303
"('p', 'r')",-0.01003643704744294,0.023667249001281792
"('p', 'k_T')",-0.011387138507279574,0.02393996957702067
"('p', 'd_T')",-0.00786733219999351,0.02405707064830593
"('p', 'c_T')",0.0031362412020554536,0.02246412108110872
"('p', 'K')",0.005498968832567161,0.024909844746388517
"('c_V', 'r')",0.008575486590396315,0.032306378625055976
"('c_V', 'k_T')",0.008168020047372684,0.03293067048414782
"('c_V', 'd_T')",0.005627408626921864,0.03512006890444978
"('c_V', 'c_T')",0.02362844328159598,0.03291064308900658
"('c_V', 'K')",0.030724049782423116,0.036547661780397506
"('r', 'k_T')",0.0017284092088525166,0.0022713802674201758
"('r', 'd_T')",0.0012452593575635676,0.0019995286260386025
"('r', 'c_T')",0.002271016439311796,0.0024512995069390104
"('r', 'K')",0.002090927371988807,0.0025326183374067258
"('k_T', 'd_T')",0.0008241926522088985,0.0039399668361727105
"('k_T', 'c_T')",0.0026526691622906773,0.0041762500534103285
"('k_T', 'K')",0.0027318305142828153,0.004171272703563384
"('d_T', 'c_T')",0.005179271529224781,0.010654753298793904
"('d_T', 'K')",-0.00025879925376063456,0.010628071540101985
"('c_T', 'K')",0.003977568859258429,0.01893693964208136
