,S2,S2_conf
"('beta', 'd_I')",0.016972114104431058,0.06844852987971776
"('beta', 'c')",0.037738939553352335,0.045947529381504926
"('beta', 'd_T')",-0.01793475745986471,0.026363493166748304
"('beta', 'r')",-0.01772906523964627,0.026165434427780042
"('beta', 'K')",-0.022237979349679006,0.03410424682368644
"('d_I', 'c')",0.12183882288410036,0.09804897738006699
"('d_I', 'd_T')",0.005697353112233183,0.08436166652238347
"('d_I', 'r')",0.0031106724653149065,0.08396057680353014
"('d_I', 'K')",0.01583611162610784,0.08186154033698183
"('c', 'd_T')",0.01643730753789377,0.11078624317279093
"('c', 'r')",0.010221881220740608,0.11026277305870567
"('c', 'K')",0.008301027342955897,0.11200283567856546
"('d_T', 'r')",0.0015095126466469916,0.002766517327688382
"('d_T', 'K')",0.0015089438540064233,0.002766560124170218
"('r', 'K')",0.000648365858299492,0.0014290849481388309
