,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,1.7796140152061394e-05,4.39683787321319e-06,1.0,1.420039848370216,0.0009197894587671951,0.19739001021039826,11.675603412091732,1.0000000000000037e-16,1000000.0,0.0,25.0,477428.0,1.1786683737450796
1,4.6387872615004447e-05,4.7409877072649066e-07,1.0,12.308218220648172,0.0001000023860519561,0.20872749678375868,13.067279383540154,2.5929437974046695e-16,1000000.0,0.0,25.0,477428.0,1.1121564164674382
2,4.63888428336192e-05,4.741014894816433e-07,1.0,12.308546076776182,0.00010000118531039437,0.2087220443853326,13.06091994047165,6.723357536499373e-16,1000000.0,0.0,25.0,477428.0,1.1121564174965641
3,1.779614576494191e-05,4.396863481093556e-06,1.0,1.4200340439324535,0.0009198107901658426,0.19739082106464423,11.676859013736248,1.7433288221999925e-15,1000000.0,0.0,25.0,477428.0,1.1786683737445938
4,4.638736696628765e-05,4.7410335778061587e-07,1.0,12.308150422537345,0.00010000001829307825,0.20872294229619115,13.063198305666447,4.520353656360243e-15,1000000.0,0.0,25.0,477428.0,1.1121564175429806
5,4.6385986364802475e-05,4.741086497938831e-07,1.0,12.307830044134256,0.00010000079334271383,0.2087233474869521,13.062913835048676,1.1721022975334852e-14,1000000.0,0.0,25.0,477428.0,1.1121564175646987
6,4.638809556327441e-05,4.741072167178335e-07,1.0,12.308398119412729,0.0001000002226229646,0.20872277642607173,13.064653031527996,3.039195382313202e-14,1000000.0,0.0,25.0,477428.0,1.112156417941789
7,4.638742070782262e-05,4.741044863752498e-07,1.0,12.30817349500834,0.00010000124909087527,0.20872021930689755,13.059989497065544,7.88046281566993e-14,1000000.0,0.0,25.0,477428.0,1.1121564174315297
8,4.638733078872893e-05,4.7409947688567506e-07,1.0,12.30813706284576,0.00010000300974755127,0.2087218150124741,13.061136052012444,2.0433597178569482e-13,1000000.0,0.0,25.0,477428.0,1.112156417721508
9,1.779618123636692e-05,4.3968801526536166e-06,1.0,1.4200331426162833,0.000918946226193762,0.1973888391724543,11.675455048680305,5.29831690628373e-13,1000000.0,0.0,25.0,477428.0,1.1786683737567603
10,4.638653879288751e-05,4.741069191081725e-07,1.0,12.30799471215689,0.0001000036787051628,0.20872116627034387,13.06123372912407,1.3738237958832696e-12,1000000.0,0.0,25.0,477428.0,1.1121564175384218
11,4.638966866153968e-05,4.741007994204556e-07,1.0,12.308862108132232,0.0001000000491939157,0.20872495799132196,13.064754858613014,3.56224789026245e-12,1000000.0,0.0,25.0,477428.0,1.1121564173204432
