,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,1.0000000000000018e-08,1.7711403665699778e-07,1.0,0.010000000000005116,0.18427598899113312,99.99999998379884,9395.967026181519,2698581.118181028,1000000.0,0.0,25.0,477428.0,4.101216946742597
1,1.3738237958832657e-08,1.8288132029886412e-07,1.0,0.010000000000005116,0.20655343895926565,99.99999998282817,9257.147730715573,2618647.1281032106,1000000.0,0.0,25.0,477428.0,4.092246438216195
2,1.8873918221351015e-08,1.7166556620193965e-07,1.0,0.010000000000005116,0.15005686692343367,0.34973208243912524,10.0,2676428.3619126715,1000000.0,0.0,25.0,477428.0,4.080373527469481
3,2.5929437974046743e-08,1.7668947044642666e-07,1.0,0.010000000000005116,0.1471818348829223,0.3445590195480648,10.0,2589905.942201656,1000000.0,0.0,25.0,477428.0,4.0648531821002445
4,3.562247890262453e-08,1.837014948287389e-07,1.0,0.010000000000005116,0.1438254564356823,0.3387892263355994,10.0,2492567.13237514,1000000.0,0.0,25.0,477428.0,4.045054791698543
5,4.8939009184775094e-08,1.9347163579416332e-07,1.0,0.010000000000005116,0.14026156616856167,0.3328330772268444,10.0,2386181.5241154535,1000000.0,0.0,25.0,477428.0,4.020256416194921
6,6.723357536499336e-08,2.3049038352080764e-07,1.0,0.011632167941783678,0.9999999999977052,99.99999997587216,5057.906877100468,2060346.58217599,1000000.0,0.0,25.0,477428.0,3.9916980588822897
7,9.236708571873864e-08,1.920607526271459e-07,1.0,0.03268012744685933,0.9999999999998992,99.99999999835241,5532.425213500857,2074533.6339167608,1000000.0,0.0,25.0,477428.0,3.9495983551735443
8,1.2689610031679227e-07,1.677114415609302e-07,1.0,0.0537188481713784,0.9999999999999978,99.99999999996423,6448.978036038578,2007404.3453553882,1000000.0,0.0,25.0,477428.0,3.8937670995291183
9,1.7433288221999894e-07,1.5653678960505813e-07,1.0,0.07232373147969895,0.9999999999999545,99.9999999998675,8009.555551290512,1875623.187850731,1000000.0,0.0,25.0,477428.0,3.8255650533782903
10,2.395026619987488e-07,1.5314239129064284e-07,1.0,0.09267027732185795,0.9863964045342515,9.321163640837746,873.6381253004074,1816099.578727149,1000000.0,0.0,25.0,477428.0,3.746796215109285
11,3.2903445623126725e-07,1.4920699179883152e-07,1.0,0.15704951075807116,0.5667534300884296,5.790889543895979,875.2465969249606,1812876.4354255553,1000000.0,0.0,25.0,477428.0,3.6505140793830964
12,4.52035365636025e-07,1.5120270175641385e-07,1.0,0.23044958899058088,0.3801700006743636,3.7953306600774184,823.3853297382593,1804914.7238898254,1000000.0,0.0,25.0,477428.0,3.5302556317810065
13,6.210169418915627e-07,1.6021127961979488e-07,1.0,0.3134355231173629,0.27809651612680686,2.6208649263829074,785.1778811961412,1791539.9825973683,1000000.0,0.0,25.0,477428.0,3.3841770503437383
14,8.531678524172826e-07,1.769573073598344e-07,1.0,0.40571440114946,0.21775356543875446,1.9124491204255563,785.3857421875,1768502.12508689,1000000.0,0.0,25.0,477428.0,3.2113833986635867
15,1.1721022975334808e-06,2.028117826411715e-07,1.0,0.5072848464036568,0.18128793206912336,1.4761270035310474,837.4494073837996,1732491.300119406,1000000.0,0.0,25.0,477428.0,3.012209716148629
16,1.6102620275609406e-06,2.401784389093845e-07,1.0,0.619343754125957,0.15939032413257992,1.203663945167861,958.8248020708561,1682683.0330891232,1000000.0,0.0,25.0,477428.0,2.7884653971752753
17,2.2122162910704516e-06,2.924161714574743e-07,1.0,0.7458847703008189,0.1456446552163987,1.0329180618937954,1185.9526540338993,1621207.160177322,1000000.0,0.0,25.0,477428.0,2.5435666566211306
18,3.0391953823131964e-06,3.649168770556414e-07,1.0,0.8932964473208003,0.13357559425749665,0.9165663150760963,1570.4722059294581,1551997.2042803103,1000000.0,0.0,25.0,477428.0,2.2825355142664883
19,4.175318936560401e-06,4.7191645314076836e-07,1.0,1.060799372321675,0.11915301976443082,0.7744707231335468,1843.1638989821076,1491376.9785688468,1000000.0,0.0,25.0,477428.0,2.0128578575415785
20,5.73615251044868e-06,6.324762078968631e-07,1.0,1.2335620907259184,0.10874529909407976,0.5664136620071503,1127.2333117052913,1491701.9242158686,1000000.0,0.0,25.0,477428.0,1.745399775248555
21,7.880462815669915e-06,8.564321653780415e-07,1.0,1.4215707935830935,0.08554486255085364,0.43705991427741253,667.1221758723259,1507182.9447052493,1000000.0,0.0,25.0,477428.0,1.4927058234163995
22,1.0826367338740554e-05,1.1912876489969637e-06,1.0,1.6321253710572279,0.037705327149213985,0.30500927532879274,215.6953988224268,1657900.4977526194,1000000.0,0.0,25.0,477428.0,1.2794271662269627
23,1.487352107293513e-05,1.7487309202925976e-06,1.0,1.5133032821374357,0.005672334645514199,0.21191513896332737,21.177875131368637,1308544.1483163242,1000000.0,0.0,25.0,477428.0,1.182046781417983
