,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,9.999999997011209e-05,1.0000000000000018e-08,1.0,15.948521089159314,0.00010000005402444057,0.2782068543406595,15.899993695318699,723942.5738667957,1000000.0,0.0,25.0,477428.0,1.8189374114892505
1,9.999999998675097e-05,1.3738237958832657e-08,1.0,17.43597187399346,0.00010000000905252548,0.28175884795160755,17.685605853796005,799047.0142989717,1000000.0,0.0,25.0,477428.0,1.7688694133489302
2,9.999999991282894e-05,1.8873918221351015e-08,1.0,18.796670990126806,0.00010000008894806012,0.2842707365265156,20.08125650137663,876613.7939936304,1000000.0,0.0,25.0,477428.0,1.7097767079659598
3,9.999999967863583e-05,2.5929437974046743e-08,1.0,20.000505734273897,0.00010000000545135057,0.2852763666263556,22.930859208106995,955431.7085382915,1000000.0,0.0,25.0,477428.0,1.6429575056084023
4,9.385210273400787e-05,3.562247890262453e-08,1.0,19.4989644864131,0.00010000002740495617,0.28537200056067746,26.595982521772385,1013573.6471349658,1000000.0,0.0,25.0,477428.0,1.5699262450501603
5,8.385114709070306e-05,4.8939009184775094e-08,1.0,17.822985119341446,0.00010000003056404028,0.28408678820927236,30.735136479139328,1055108.7345091752,1000000.0,0.0,25.0,477428.0,1.4916058951241318
6,7.495695997243194e-05,6.723357536499336e-08,1.0,16.24697628963459,0.00010000007338856198,0.28049352867817845,35.352680653333664,1096852.626111101,1000000.0,0.0,25.0,477428.0,1.4103693143412457
7,6.727961597471557e-05,9.236708571873864e-08,1.0,14.824571804004677,0.00010000041151048134,0.2743957285119407,41.252192325890064,1138151.5286769443,1000000.0,0.0,25.0,477428.0,1.330376617742835
8,6.088836572610205e-05,1.2689610031679227e-07,1.0,13.644223685800803,0.00010000106431240496,0.2655763221441134,47.18990462273359,1191297.5157354008,1000000.0,0.0,25.0,477428.0,1.2570516739060273
9,5.609453482534291e-05,1.7433288221999894e-07,1.0,12.922814034880204,0.0028906167841005748,0.2553350476355547,47.151293851435184,1305565.852257338,1000000.0,0.0,25.0,477428.0,1.1959334659808774
10,5.3144227679841314e-05,2.395026619987488e-07,1.0,12.853979528640444,0.006648944324516182,0.2426283069557158,35.9256975799799,1597647.4581259172,1000000.0,0.0,25.0,477428.0,1.1508188891155149
11,5.1695478092399666e-05,3.2903445623126725e-07,1.0,13.276545880287344,0.00010000215125338663,0.22336060470319552,21.984639808535576,2419450.966884558,1000000.0,0.0,25.0,477428.0,1.122309982297217
12,4.658909484146254e-05,4.52035365636025e-07,1.0,12.276854864121681,0.00010000076027111282,0.20770291225088755,11.891636461019516,6130076.773097477,1000000.0,0.0,25.0,477428.0,1.1113931562903219
13,3.494536886159831e-05,6.210169418915627e-07,1.0,8.756844137372397,0.00010000000058851821,0.18450155149221104,10.0,9999999.999492677,1000000.0,0.0,25.0,477428.0,1.1349959952391857
14,2.103323367687323e-05,8.531678524172826e-07,1.0,1.6315765569181835,0.00010000000005816467,0.19471046597460173,10.0,668973.257879083,1000000.0,0.0,25.0,477428.0,1.1635210512629681
15,1.91574730968513e-05,1.1721022975334808e-06,1.0,1.501483661307411,0.0001000000001707968,0.19495324914462486,10.0,760932.0216805944,1000000.0,0.0,25.0,477428.0,1.169981977143656
16,1.7756213604262076e-05,1.6102620275609406e-06,1.0,1.4322439356817824,0.00010000001557408655,0.19521997592728013,10.00000000745058,912958.5357556338,1000000.0,0.0,25.0,477428.0,1.1739692493007265
17,1.695486843830151e-05,2.2122162910704516e-06,1.0,1.393720211533143,0.0012933876190202587,0.19607210778578832,10.000001057982445,1166942.0881554643,1000000.0,0.0,25.0,477428.0,1.1761530301386696
18,1.6841228850956296e-05,3.0391953823131964e-06,1.0,1.3780339822921022,0.002782501640056889,0.19712522705156488,10.000000186264515,1682936.6867161463,1000000.0,0.0,25.0,477428.0,1.1771211627853835
19,1.765391634322679e-05,4.175318936560401e-06,1.0,1.3823512469244577,0.00010000002478544046,0.19658078869280615,11.63433999568224,3573229.8170079337,1000000.0,0.0,25.0,477428.0,1.1774005129005374
20,2.0130958967171773e-05,5.73615251044868e-06,1.0,1.3181294157551093,0.00010000000033116851,0.19540357205839598,15.477771319448948,8926975.774322003,1000000.0,0.0,25.0,477428.0,1.1838830816858144
21,2.37771290040374e-05,7.880462815669915e-06,1.0,1.2219603123490614,0.00010000000318982627,0.19306558624072068,19.729779444634914,9999999.987939391,1000000.0,0.0,25.0,477428.0,1.204761158843794
22,2.8731273587023702e-05,1.0826367338740554e-05,1.0,1.1319054905629642,0.0001000000019325542,0.1903927880356946,23.117780543863773,9999999.997377954,1000000.0,0.0,25.0,477428.0,1.239727935211139
23,3.543344524846555e-05,1.487352107293513e-05,1.0,1.0476301383878024,0.00010000000963567013,0.18768465930832434,25.427557222545147,9999999.99188815,1000000.0,0.0,25.0,477428.0,1.2861868414998017
24,4.4421707046043824e-05,2.0433597178569445e-05,1.0,0.9676978461385914,0.00010000012072547415,0.18579185385002006,28.319026812911034,9999999.98143489,1000000.0,0.0,25.0,477428.0,1.3414665376102957
25,5.636796709811426e-05,2.8072162039411814e-05,1.0,0.8915167124039485,0.00010000173675678292,0.18559371510698242,34.226788341999054,9999993.547472313,1000000.0,0.0,25.0,477428.0,1.4035444764718035
26,7.21927329835442e-05,3.856620421163472e-05,1.0,0.8193664393221809,0.0001000013489876328,0.18732638422771686,44.81013481318951,9999989.16422576,1000000.0,0.0,25.0,477428.0,1.4711798257347963
27,9.318267517965617e-05,5.2983169062837105e-05,1.0,0.75202893216197,0.00010000063451937047,0.19075515620467343,60.51670256257057,9999997.739962384,1000000.0,0.0,25.0,477428.0,1.5437768128475504
28,9.999999899725268e-05,7.278953843983155e-05,1.0,0.682355790099507,0.00010000406884197455,0.46935599587616395,2780.25460344553,9999997.783001002,1000000.0,0.0,25.0,477428.0,1.6573897418580492
29,9.999999995634483e-05,0.00010000000000000009,1.0,0.5761698136549,0.00010000055005021657,99.99969011650708,756412.9633963406,6405966.824558547,1000000.0,0.0,25.0,477428.0,1.9787353992891188
