,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,7.4,129735.40060322508,32842476.799969062
1,11.768119524349984,7.4,134724.7947052464,32623251.211758792
2,13.848863713938732,7.4,140457.76507490754,32411406.3483463
3,16.297508346206442,7.4,147021.87868796632,32206940.91786006
4,19.179102616724887,7.5,154509.05749510834,31615439.813043647
5,22.570197196339205,7.5,163009.6493500309,31427466.906204138
6,26.560877829466868,7.5,172615.88137292056,31245630.7846028
7,31.25715849688235,7.6000000000000005,183416.46987743894,30680017.256079383
8,36.783797718286344,7.6000000000000005,195489.98110117522,30510359.997054
9,43.28761281083057,7.7,208908.86134600622,29958643.273351327
10,50.9413801481638,7.7,223728.48518877113,29796557.61200768
11,59.94842503189409,7.800000000000001,239992.02551423415,29254731.023960058
12,70.54802310718642,7.800000000000001,257721.0157649086,29095163.104043193
13,83.02175681319744,7.9,276921.4936836762,28558960.75098394
14,97.70099572992251,7.9,297576.65469200804,28397306.908929802
15,114.97569953977356,8.0,319654.9702220199,27863125.925693806
16,135.30477745798075,8.0,343104.68309130287,27695863.420052543
17,159.22827933410923,8.1,367863.9717073368,27161274.63014777
18,187.3817422860383,8.200000000000001,393857.0656533141,26628123.27528951
19,220.51307399030455,8.200000000000001,421000.81684966094,26450021.562582113
20,259.5024211399737,8.3,449210.62069461687,25915221.887366462
21,305.3855508833416,8.4,478397.6759866808,25382011.15490971
22,359.38136638046257,8.4,508474.7002313614,25191987.525094654
23,422.9242874389499,8.5,539360.9095149621,24657754.04430602
24,497.70235643321087,8.6,570977.9897513093,24125832.571112417
25,585.7020818056661,8.700000000000001,603255.3144067187,23596539.110497862
26,689.2612104349695,8.700000000000001,636128.8966081133,23393528.57367552
27,811.1308307896873,8.8,669545.7784966389,22865230.852099672
28,954.5484566618337,8.9,703458.6716292587,22340432.996944614
29,1123.3240329780276,9.0,737829.9266585044,21819424.979060665
30,1321.9411484660286,9.1,772630.7384855148,21302483.54263911
31,1555.6761439304723,9.200000000000001,807841.1871178985,20789876.246377707
32,1830.7382802953678,9.3,843450.3882289138,20281862.77489835
33,2154.4346900318824,9.4,879456.6499634869,19778700.299136356
34,2535.3644939701117,9.600000000000001,915868.778800495,18999173.04853615
35,2983.6472402833374,9.700000000000001,952702.6587865637,18511717.782925438
36,3511.191734215131,9.8,989987.7429346343,18029896.116460886
37,4132.0124001153345,10.0,1027765.2876699157,17290102.628447175
38,4862.601580065353,10.200000000000001,1066087.2078125796,16568708.752231285
