,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,18474419.83079368,1183972.8453720966
1,1.0974987654930568e-08,19.0,18449374.788874753,1183968.5658708247
2,1.204503540258781e-08,19.0,18421893.846601117,1183963.8750081868
3,1.3219411484660288e-08,19.0,18391740.74471917,1183958.714734378
4,1.4508287784959402e-08,19.0,18358656.50200798,1183953.0486296758
5,1.592282793341094e-08,19.0,18322357.208819903,1183946.826817393
6,1.747528400007683e-08,19.0,18282531.68587683,1183939.9944415374
7,1.9179102616724886e-08,19.0,18238838.925311618,1183932.4779334709
8,2.104904144512022e-08,19.0,18190905.27577849,1183924.2639239707
9,2.310129700083158e-08,19.0,18138321.435381986,1183915.2140913398
10,2.5353644939701113e-08,19.0,18080639.14255693,1183905.272940505
11,2.782559402207126e-08,19.0,18017367.601123486,1183894.3515238494
12,3.053855508833412e-08,19.0,17947969.60697831,1183882.3503878992
13,3.351602650938841e-08,19.0,17871857.452726405,1183869.1487849639
14,3.678379771828634e-08,19.0,17788388.343609467,1183854.6695453653
15,4.037017258596558e-08,19.0,17696859.623346902,1183838.7658280837
16,4.4306214575838774e-08,19.0,17596503.845164143,1183821.2764527265
17,4.8626015800653535e-08,19.0,17486483.26263484,1183802.0194444456
18,5.3366992312063125e-08,19.0,17365884.193387195,1183780.8593389806
19,5.857020818056673e-08,19.0,17233711.306769688,1183757.5982455679
20,6.42807311728432e-08,19.0,17088881.804964453,1183732.059846306
21,7.054802310718646e-08,19.0,16930219.829058256,1183703.8686844616
22,7.742636826811277e-08,19.0,16756450.912557377,1183672.8889661103
23,8.497534359086438e-08,19.0,16566197.778497608,1183638.7883814268
24,9.3260334688322e-08,19.0,16357977.164594915,1183601.2335437941
25,1.0235310218990269e-07,19.0,16130199.286624469,1183559.8623990316
26,1.1233240329780266e-07,19.0,15881170.917176584,1183514.2704182784
27,1.232846739442066e-07,19.0,15609104.430383375,1183463.9962044673
28,1.3530477745798075e-07,19.0,15312135.807704076,1183408.5185517638
29,1.4849682622544636e-07,19.0,14988356.690839667,1183347.3046701364
30,1.6297508346206436e-07,19.0,14635867.530369725,1183279.5891826272
31,1.7886495290574352e-07,19.0,14252861.987648662,1183204.721923625
32,1.9630406500402725e-07,19.0,13837759.943200398,1183121.7371022224
33,2.1544346900318867e-07,19.0,13389405.84908161,1183029.6638352568
34,2.3644894126454072e-07,19.0,12907359.232474145,1182927.1269439696
35,2.5950242113997374e-07,19.0,12392283.670358881,1182812.522156679
36,2.848035868435805e-07,19.0,11846406.538680654,1182683.5026802158
37,3.125715849688235e-07,19.0,11273910.385647096,1182536.2592237866
38,3.4304692863149193e-07,19.0,10680962.263815988,1182363.6606407757
39,3.764935806792471e-07,19.0,10075026.980268035,1182148.7657885894
40,4.1320124001153343e-07,19.0,9463432.40757766,1181841.2482327498
41,4.534878508128582e-07,19.0,8851874.417401558,1181251.758565377
42,4.977023564332114e-07,19.0,8243827.997587105,1179479.9349039346
43,5.462277217684337e-07,19.0,7641044.272278652,1171406.5902384804
44,5.994842503189409e-07,19.0,7044414.22820681,1134283.209589808
45,6.579332246575682e-07,18.400000000000002,6454557.0464305235,7288191.2066430105
46,7.220809018385472e-07,17.900000000000002,5872070.517099177,11369108.178560274
47,7.924828983539186e-07,17.3,5297581.041177534,15413108.414270105
48,8.697490026177835e-07,16.7,4731771.026178565,18541714.81823349
49,9.545484566618346e-07,16.2,4175382.6478819344,20201572.7813539
50,1.0476157527896663e-06,15.600000000000001,3629226.3263747585,21955428.550879702
51,1.1497569953977357e-06,15.100000000000001,3094221.0712685217,22579217.318340875
52,1.261856883066021e-06,14.5,2571493.9335329337,23346975.37047497
53,1.3848863713938746e-06,14.0,2062755.1743101713,23248020.002160367
54,1.519911082952933e-06,13.4,1571487.0489751906,23311739.09658512
55,1.6681005372000591e-06,12.9,1106479.2361816354,22688796.777587127
56,1.8307382802953698e-06,12.3,689766.7049136701,22159997.673153907
57,2.0092330025650458e-06,11.700000000000001,362734.3822316629,21242690.459419828
58,2.2051307399030456e-06,11.0,159978.402510876,20149643.882742926
59,2.4201282647943835e-06,10.3,63390.98756563342,18648116.639281537
60,2.656087782946684e-06,9.5,24597.11543239435,17112554.9110757
61,2.9150530628251817e-06,8.8,9853.687601591268,15279847.033104165
62,3.1992671377973847e-06,8.0,4175.046314803722,13581040.228218136
63,3.5111917342151347e-06,7.300000000000001,1891.3921462551211,11781249.49763944
64,3.853528593710536e-06,6.5,918.4794887221175,10148914.356365763
65,4.229242874389499e-06,5.800000000000001,478.08754649768343,8519621.968575913
66,4.641588833612782e-06,5.1000000000000005,265.0401222753312,7014744.385990881
67,5.094138014816386e-06,4.3,154.1774641920432,5689197.19625949
68,5.590810182512223e-06,3.5,93.36760109138869,4508112.775866534
69,6.1359072734131755e-06,2.6,57.41340060008381,3519152.373049663
70,6.7341506577508285e-06,1.9000000000000001,37.13834490921985,2690367.089340318
71,7.390722033525775e-06,1.3,24.681177421121863,2053044.3694299732
72,8.111308307896873e-06,0.9,17.37418378478671,1577431.1700969152
73,8.902150854450392e-06,0.7000000000000001,13.504112121351884,1229697.9289247408
74,9.770099572992246e-06,0.5,10.376210536434822,979811.9429867499
75,1.0722672220103253e-05,0.4,8.618186145757312,794437.501102935
76,1.1768119524349992e-05,0.30000000000000004,7.0940187196972895,655387.0408260518
77,1.2915496650148827e-05,0.2,5.681678503182073,548485.5875161343
78,1.4174741629268077e-05,0.2,5.420197815087973,463778.2984747462
79,1.5556761439304724e-05,0.2,5.160695914506574,396108.5110962185
80,1.7073526474706923e-05,0.1,4.006058766639036,341730.28227237344
81,1.8738174228603867e-05,0.1,3.8903929603750815,296482.6886397317
82,2.0565123083486515e-05,0.1,3.77366144513497,258773.29997061685
83,2.2570197196339216e-05,0.1,3.65681172179169,227017.5802700991
84,2.477076355991714e-05,0.1,3.5408859145529865,200034.1643738194
85,2.71858824273294e-05,0.0,2.5,176926.28803637082
86,2.9836472402833404e-05,0.0,2.5,157002.03297280511
87,3.274549162877732e-05,0.0,2.5,139720.38064344152
88,3.5938136638046256e-05,0.0,2.5,124652.61711859041
89,3.944206059437664e-05,0.0,2.5,111454.63631553258
90,4.328761281083062e-05,0.0,2.5,99847.10363497485
91,4.750810162102793e-05,0.0,2.5,89601.53492292632
92,5.214008287999695e-05,0.0,2.5,80529.43547585991
93,5.72236765935022e-05,0.0,2.5,72474.03230845237
94,6.28029144183426e-05,0.0,2.5,65303.404291775754
