,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,10006163.311914483,36.104889797582295
1,9.581308294981124e-11,19.0,10005855.639645703,41.51273985367152
2,1.1016176237216899e-10,19.0,10005501.877671164,47.73113068221719
3,1.2665925691274435e-10,19.0,10005095.120921835,54.88127407936263
4,1.4562736666730682e-10,19.0,10004627.42776866,63.102869288227524
5,1.6743608354708706e-10,19.0,10004089.665566243,72.55658895000816
6,1.9251080834026304e-10,19.0,10003471.331779515,83.42722891187296
7,2.213406485788902e-10,19.0,10002760.348048322,95.92735395733035
8,2.544879590694509e-10,19.0,10001942.82326714,110.30148518516216
9,2.9259931118459375e-10,19.0,10001002.780866267,126.83092180041132
10,3.364181048830456e-10,19.0,9999921.844837017,145.83930171876565
11,3.8679906946773077e-10,19.0,9998678.878236404,167.6990091430431
12,4.4472493593385817e-10,19.0,9997249.566749344,192.83857169902768
13,5.113256061177633e-10,19.0,9995605.939225798,221.75111076107135
14,5.879001925598856e-10,19.0,9993715.81470389,255.00417853986147
15,6.75942358991407e-10,19.0,9991542.165597688,293.25175698841923
16,7.771694557360145e-10,19.0,9989042.383574875,337.245788084151
17,8.935560183419373e-10,19.0,9986167.436399575,387.8524326008279
18,1.0273722828683854e-09,19.0,9982860.87270246,446.07101828047894
19,1.1812284691056722e-09,19.0,9979057.71762712,513.0514480330866
20,1.3581256955172047e-09,19.0,9974683.153413039,590.1196734889062
21,1.5615145190503214e-09,19.0,9969651.015398256,678.804559867608
22,1.7953622416932376e-09,19.0,9963862.048419945,780.8696124539129
23,2.0642302966597604e-09,19.0,9957201.887577122,898.349975297926
24,2.3733632236965027e-09,19.0,9949538.719036136,1033.5953803830605
25,2.7287909690647747e-09,19.0,9940720.570107104,1189.320184297848
26,3.1374465056603906e-09,19.0,9930572.179207437,1368.660304865445
27,3.6073010675692158e-09,19.0,9918891.254768543,1575.2483016491112
28,4.1475196369434256e-09,19.0,9905444.355302224,1813.2842626080733
29,4.76863971612518e-09,19.0,9889961.834746055,2087.635459345783
30,5.482776872146399e-09,19.0,9872132.116590627,2403.9453885162834
31,6.303861062955238e-09,19.0,9851594.958067283,2768.7633901024356
32,7.2479083551481905e-09,19.0,9827933.60531367,3189.696888445551
33,8.333333333333329e-09,19.0,9800665.642785454,3675.590309669782
34,9.581308294981124e-09,19.0,9769232.320002723,4236.734563560656
35,1.1016176237216898e-08,19.0,9732986.128956823,4885.112090723659
36,1.2665925691274434e-08,19.0,9691176.371649802,5634.681991658767
37,1.4562736666730681e-08,19.0,9642932.526314711,6501.704023299983
38,1.6743608354708703e-08,19.0,9587245.040747885,7505.117148270808
39,1.9251080834026304e-08,19.0,9522943.779538102,8666.943275379948
40,2.213406485788902e-08,19.0,9448673.549394934,10012.730153397088
41,2.5448795906945086e-08,19.0,9362868.33321719,11571.988209115749
42,2.9259931118459377e-08,19.0,9263724.02617117,13378.573533964322
43,3.364181048830456e-08,19.0,9149172.51353965,15470.920294315823
44,3.867990694677316e-08,19.0,9016861.347788814,17891.964194545813
45,4.447249359338591e-08,19.0,8864145.128275445,20688.498949363213
46,5.113256061177643e-08,19.0,8688099.15365295,23909.587383469265
47,5.879001925598867e-08,19.0,8485571.636823,27603.48887013018
48,6.759423589914056e-08,19.0,8253296.4882110115,31812.417284782525
49,7.771694557360161e-08,19.0,7988095.030149836,36564.45850948789
50,8.935560183419353e-08,19.0,7687198.950392669,41862.17898444508
51,1.0273722828683876e-07,19.0,7348715.676055672,47668.4846137627
52,1.1812284691056698e-07,19.0,6972232.660841605,53892.03716457903
53,1.3581256955172047e-07,19.0,6559495.811527016,60377.20444481334
