,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,12.5,1062702.2041175554,14371544.176473193
1,1.4508287784959373e-16,12.5,1062702.2041175545,14371544.176473228
2,2.1049041445120218e-16,12.5,1062702.2041175554,14371544.176473208
3,3.0538555088334123e-16,12.5,1062702.2041175545,14371544.176473217
4,4.4306214575838864e-16,12.5,1062702.2041175568,14371544.176473238
5,6.428073117284319e-16,12.5,1062702.204117554,14371544.176473245
6,9.32603346883218e-16,12.5,1062702.2041175514,14371544.176473241
7,1.3530477745798075e-15,12.5,1062702.2041175521,14371544.176473249
8,1.9630406500402685e-15,12.5,1062702.2041175487,14371544.176473262
9,2.8480358684358048e-15,12.5,1062702.204117539,14371544.176473202
10,4.132012400115335e-15,12.5,1062702.2041175526,14371544.17647343
11,5.994842503189421e-15,12.5,1062702.2041175503,14371544.176473537
12,8.697490026177834e-15,12.5,1062702.2041175447,14371544.176473627
13,1.2618568830660185e-14,12.5,1062702.2041175282,14371544.176473748
14,1.8307382802953698e-14,12.5,1062702.2041174863,14371544.176473754
15,2.656087782946684e-14,12.5,1062702.204117474,14371544.176474167
16,3.853528593710535e-14,12.5,1062702.2041174201,14371544.176474404
17,5.590810182512223e-14,12.5,1062702.2041173675,14371544.176474972
18,8.111308307896889e-14,12.5,1062702.2041172595,14371544.176475624
19,1.176811952434999e-13,12.5,1062702.2041171254,14371544.176476695
20,1.7073526474706888e-13,12.5,1062702.2041169412,14371544.176478343
21,2.477076355991714e-13,12.5,1062702.2041166495,14371544.176480584
22,3.593813663804626e-13,12.5,1062702.204116237,14371544.176483858
23,5.214008287999695e-13,12.5,1062702.2041156315,14371544.176488584
24,7.564633275546291e-13,12.5,1062702.2041147742,14371544.176495587
25,1.097498765493059e-12,12.5,1062702.2041134979,14371544.176505517
26,1.5922827933410938e-12,12.5,1062702.204111675,14371544.176520143
27,2.310129700083158e-12,12.5,1062702.2041090296,14371544.176541355
28,3.351602650938848e-12,12.5,1062702.2041051676,14371544.176571926
29,4.8626015800653536e-12,12.5,1062702.2040995972,14371544.176616557
30,7.054802310718631e-12,12.5,1062702.2040914965,14371544.176681098
31,1.0235310218990269e-11,12.5,1062702.204079737,14371544.176774733
32,1.4849682622544695e-11,12.5,1062702.204062674,14371544.176910605
33,2.1544346900318868e-11,12.5,1062702.2040379262,14371544.177107738
34,3.125715849688235e-11,12.5,1062702.2040020027,14371544.17739363
35,4.5348785081285915e-11,12.5,1062702.2039499322,14371544.177808767
36,6.579332246575682e-11,12.5,1062702.2038743738,14371544.178410955
37,9.545484566618327e-11,12.5,1062702.203764709,14371544.179284304
38,1.3848863713938747e-10,12.5,1062702.2036056228,14371544.180551525
39,2.009233002565054e-10,12.5,1062702.2033748366,14371544.182390228
40,2.915053062825182e-10,12.5,1062702.203039994,14371544.185057748
