,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,12.3,134815.23952775227,31433769.264564127
1,11.768119524349984,12.3,136139.2130097473,30402891.4485825
2,13.848863713938732,12.3,137596.93110376352,29370478.87994695
3,16.297508346206442,12.3,139190.8560349483,28339231.891624253
4,19.179102616724887,12.200000000000001,140920.44696207176,27688740.878913354
5,22.570197196339205,12.200000000000001,142786.0520392696,26658297.32321437
6,26.560877829466868,12.200000000000001,144782.9948816011,25638151.730980266
7,31.25715849688235,12.200000000000001,146905.7670627725,24631682.509138197
8,36.783797718286344,12.200000000000001,149147.31427778126,23642117.292250548
9,43.28761281083057,12.200000000000001,151499.4013664602,22672420.228022333
10,50.9413801481638,12.100000000000001,153952.03897585036,22031633.070936877
11,59.94842503189409,12.100000000000001,156497.85088976022,21097421.944307182
12,70.54802310718642,12.100000000000001,159126.4565014066,20189717.844038244
13,83.02175681319744,12.100000000000001,161828.8006642536,19309892.583689738
14,97.70099572992251,12.100000000000001,164596.37746617536,18458881.183024824
15,114.97569953977356,12.100000000000001,167421.38844773913,17637220.753726445
16,135.30477745798075,12.0,170295.83866595032,17083476.491277896
17,159.22827933410923,12.0,173215.56245745887,16310437.137508385
18,187.3817422860383,12.0,176174.20142060978,15566777.793355005
19,220.51307399030455,12.0,179167.17742030215,14851965.059632294
20,259.5024211399737,12.0,182190.62922641358,14165311.105447108
21,305.3855508833416,12.0,185241.32630043133,13506014.959295116
22,359.38136638046257,12.0,188316.59857248317,12873195.46826638
23,422.9242874389499,12.0,191414.25801763695,12265919.733905494
24,497.70235643321087,12.0,194532.52959466245,11683225.10533926
25,585.7020818056661,11.9,197668.99205127382,11280814.390164506
26,689.2612104349695,11.9,200824.5123153078,10736875.67518585
27,811.1308307896873,11.9,203997.18875898366,10214896.045713063
28,954.5484566618337,11.9,207186.33518262533,9713923.363957008
29,1123.3240329780276,11.9,210391.41572580917,9233030.405572433
30,1321.9411484660286,11.9,213612.0340624018,8771318.303452848
31,1555.6761439304723,11.9,216847.88661966252,8327919.980180681
32,1830.7382802953678,11.9,220098.74483466902,7902001.713606518
33,2154.4346900318824,11.9,223364.42814780504,7492764.377560322
34,2535.3644939701117,11.9,226644.77985581226,7099444.433964881
35,2983.6472402833374,11.9,229939.63956916757,6721314.329066234
36,3511.191734215131,11.9,233248.82084119675,6357682.839814346
37,4132.0124001153345,11.9,236572.0854119885,6007895.567637056
38,4862.601580065353,11.9,239909.10075692966,5671335.437468558
39,5722.367659350214,11.9,243259.41335850768,5347423.398479691
40,6734.150657750822,11.9,246622.4002830446,5035619.498707604
41,7924.82898353917,11.9,249997.21478995433,4735424.110638308
42,9326.0334688322,12.0,253383.75024585612,4384440.134906468
43,10974.987654930545,12.0,256778.52444976725,4110007.714526484
44,12915.496650148827,12.0,260180.63562428934,3845800.8730412493
45,15199.11082952933,12.0,263587.6562400492,3591504.9684483036
46,17886.495290574352,12.0,266996.5327683873,3346855.4368630606
47,21049.04144512022,12.0,270403.46176254656,3111640.066873593
48,24770.76355991709,12.0,273803.7781428831,2885700.2053497564
49,29150.53062825176,12.0,277191.8215278161,2668931.467177132
50,34304.692863149125,12.100000000000001,280561.84242403886,2426508.478613791
51,40370.1725859655,12.100000000000001,283903.8741265488,2230782.8064099527
52,47508.101621027934,12.100000000000001,287209.68293486786,2044090.0819341282
53,55908.10182512223,12.100000000000001,290468.76333582285,1866509.5112942033
54,65793.32246575682,12.100000000000001,293669.41269197303,1698145.4918526863
55,77426.36826811278,12.200000000000001,296799.87349493767,1517058.0995871006
56,91116.27561154887,12.200000000000001,299844.62314830546,1369613.8988367692
57,107226.72220103232,12.200000000000001,302790.6633537017,1231566.3834792313
58,126185.6883066021,12.200000000000001,305624.0584626645,1102964.738397937
59,148496.82622544636,12.200000000000001,308331.46034328855,983803.1093645287
60,174752.8400007683,12.3,310901.68815916806,861301.4121414017
61,205651.23083486516,12.3,313322.27203888586,762181.8667191891
62,242012.82647943834,12.3,315585.93287242576,671912.3830886572
63,284803.5868435799,12.3,317686.9906904574,590183.5281810935
64,335160.2650938841,12.3,319622.5582019786,516612.7220807049
65,394420.6059437656,12.4,321393.6026941727,444105.708825035
66,464158.8833612772,12.4,323000.7654492688,386330.89803825837
67,546227.7217684337,12.4,324450.1160800912,335147.04904816556
68,642807.311728432,12.4,325748.7736863312,290014.9283022054
69,756463.3275546291,12.4,326905.45274574443,250391.21425376151
70,890215.0854450375,12.4,327929.997351785,215741.12045037354
71,1047615.7527896641,12.4,328832.93445471715,185548.7983687253
72,1232846.7394420658,12.5,329626.0860229714,156940.16300345655
73,1450828.7784959401,12.5,330318.1932029352,134569.07178339537
74,1707352.6474706887,12.5,330920.68578520097,115243.58566638076
75,2009233.0025650458,12.5,331443.4738107992,98586.42107875392
76,2364489.412645407,12.5,331895.81178448955,84257.31109789108
77,2782559.402207126,12.5,332286.2181095615,71951.97926180542
78,3274549.162877725,12.5,332622.4392513307,61400.32550936888
79,3853528.5937105273,12.5,332911.44861471397,52364.09945664198
80,4534878.5081285825,12.5,333159.4682967444,44634.2839495278
81,5336699.231206302,12.5,333372.01056799956,38028.36160271567
82,6280291.441834247,12.5,333553.92793521076,32387.59091161369
83,7390722.033525775,12.5,333709.4696314418,27574.380734278686
84,8697490.026177835,12.5,333842.33989659767,23469.820784301253
85,10235310.218990248,12.5,333955.7555413556,19971.40197806984
86,12045035.402587812,12.5,334052.50100302673,16990.942700716885
87,14174741.629268048,12.5,334134.9798012337,14452.724344494321
88,16681005.372000592,12.5,334205.2617728392,12291.830784516276
89,19630406.500402685,12.5,334265.12583178503,10452.680862118628
90,23101297.00083158,12.5,334316.09826385614,8887.73965530527
91,27185882.427329402,12.5,334359.48671629635,7556.392689247826
92,31992671.377973843,12.5,334396.41005971184,6423.966774677707
93,37649358.06792463,12.5,334427.8248571905,5460.881483266528
94,44306214.575838774,12.5,334454.54792767344,4641.916064343491
95,52140082.87999684,12.5,334477.2764208201,3945.5777316854446
96,61359072.734131634,12.5,334496.60476884135,3353.558465344749
97,72208090.18385457,12.5,334513.0397809954,2850.2687826231995
98,84975343.59086438,12.5,334527.01320845576,2422.438177250972
99,100000000.0,12.5,334538.89275757637,2058.7731421001718
