,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,8.8,258492.93835079562,124740753.66729583
1,11.768119524349984,8.8,260650.99662234104,120233161.13162577
2,13.848863713938732,8.8,263023.7624975889,115814329.47558542
3,16.297508346206442,8.8,265614.67154248856,111489608.40477137
4,19.179102616724887,8.8,268423.99235559994,107264662.81317163
5,22.570197196339205,8.8,271448.7923374336,103145183.12823601
6,26.560877829466868,8.9,274684.1083048414,97741941.7663578
7,31.25715849688235,8.9,278119.3096185717,93893405.52855295
8,36.783797718286344,8.9,281744.5990734411,90164742.51052317
9,43.28761281083057,8.9,285547.669019029,86558731.09236524
10,50.9413801481638,8.9,289515.35383479536,83077082.90800142
11,59.94842503189409,8.9,293634.25923588325,79720416.6834199
12,70.54802310718642,8.9,297891.3148253368,76488300.17512617
13,83.02175681319744,9.0,302275.2407891738,72292386.53939393
14,97.70099572992251,9.0,306772.84985055175,69345595.17472406
15,114.97569953977356,9.0,311375.1982344989,66515630.969015755
16,135.30477745798075,9.0,316073.7351976844,63798990.53341013
17,159.22827933410923,9.0,320861.27879837056,61191781.701438256
18,187.3817422860383,9.0,325731.9542414732,58689843.07068038
19,220.51307399030455,9.1,330682.1411078511,55436813.032294184
20,259.5024211399737,9.1,335706.20813520835,53166297.75226836
21,305.3855508833416,9.1,340802.52558007505,50986679.9415435
22,359.38136638046257,9.1,345969.2985965412,48893615.90601441
23,422.9242874389499,9.200000000000001,351206.49319406465,46165152.24167817
24,497.70235643321087,9.200000000000001,356511.6747443974,44261707.598033145
25,585.7020818056661,9.200000000000001,361885.9621569209,42431318.25754993
26,689.2612104349695,9.200000000000001,367330.00211823575,40670151.00667746
27,811.1308307896873,9.3,372845.96847057267,38372635.12721912
28,954.5484566618337,9.3,378433.4179691978,36764082.38048292
29,1123.3240329780276,9.3,384095.3686581094,35213301.898395866
30,1321.9411484660286,9.4,389835.35755018884,33192570.329448294
31,1555.6761439304723,9.4,395654.3977441056,31770400.02807989
32,1830.7382802953678,9.4,401556.9763174072,30396248.086443324
33,2154.4346900318824,9.5,407548.2594175214,28612081.826848798
34,2535.3644939701117,9.5,413631.01061752334,27346282.08219273
35,2983.6472402833374,9.600000000000001,419812.7083215843,25708418.29156418
36,3511.191734215131,9.600000000000001,426097.75300384103,24538989.932855643
37,4132.0124001153345,9.700000000000001,432495.3232183208,23033126.771760534
38,4862.601580065353,9.700000000000001,439011.8130059563,21949690.822705287
39,5722.367659350214,9.8,445658.63343156554,20563380.027509965
40,6734.150657750822,9.8,452444.59504873375,19557082.18579089
41,7924.82898353917,9.9,459383.9755105931,18279625.283675306
42,9326.0334688322,10.0,466489.5716446036,17062069.780179016
43,10974.987654930545,10.100000000000001,473776.9541208323,15901689.53181903
44,12915.496650148827,10.200000000000001,481263.54551375797,14795992.02885669
45,15199.11082952933,10.4,488969.7020672233,13513650.214610558
46,17886.495290574352,10.5,496914.81070141424,12525884.980729312
47,21049.04144512022,10.700000000000001,505124.11316441884,11388541.366228035
48,24770.76355991709,10.9,513621.75523833133,10326855.166983465
49,29150.53062825176,11.100000000000001,522434.3964405735,9337284.049010435
50,34304.692863149125,11.3,531589.7308657434,8416541.806380708
