,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,892246.7386166729,2.8722319112624977
1,9.581308294981124e-11,19.0,892243.1535058663,3.3023697260767224
2,1.1016176237216899e-10,19.0,892239.0315440327,3.7969240075559356
3,1.2665925691274435e-10,19.0,892234.2923482716,4.365541675244458
4,1.4562736666730682e-10,19.0,892228.8435023974,5.019314375554678
5,1.6743608354708706e-10,19.0,892222.5787562679,5.77099485025974
6,1.9251080834026304e-10,19.0,892215.3759561924,6.63524571179878
7,2.213406485788902e-10,19.0,892207.0946656752,7.628925477608573
8,2.544879590694509e-10,19.0,892197.5734308987,8.771417447610293
9,2.9259931118459375e-10,19.0,892186.6266377907,10.08500784066273
10,3.364181048830456e-10,19.0,892174.0408998712,11.595320569851902
11,3.8679906946773077e-10,19.0,892159.570906931,13.331817143037917
12,4.4472493593385817e-10,19.0,892142.9346547612,15.3283714447869
13,5.113256061177633e-10,19.0,892123.807963678,17.62393062103074
14,5.879001925598856e-10,19.0,892101.8181809182,20.26327496665763
15,6.75942358991407e-10,19.0,892076.5369451767,23.297891656728464
16,7.771694557360145e-10,19.0,892047.471876122,26.78697937887628
17,8.935560183419373e-10,19.0,892014.05702892,30.798603492707482
18,1.0273722828683854e-09,19.0,891975.6419332386,35.411024281405844
19,1.1812284691056722e-09,19.0,891931.479008415,40.71422424860066
20,1.3581256955172047e-09,19.0,891880.709117716,46.81166431311286
21,1.5615145190503214e-09,19.0,891822.344990241,53.82230323558906
22,1.7953622416932376e-09,19.0,891755.2522017607,61.88291977331974
23,2.0642302966597604e-09,19.0,891678.1273613012,71.15078299915186
24,2.3733632236965027e-09,19.0,891589.4731031965,81.80672305377666
25,2.7287909690647747e-09,19.0,891487.569428817,94.05866247802042
26,3.1374465056603906e-09,19.0,891370.440881855,108.14567733072909
27,3.6073010675692158e-09,19.0,891235.8189731444,124.3426677432959
28,4.1475196369434256e-09,19.0,891081.0991964804,142.96572959147161
29,4.76863971612518e-09,19.0,890903.2918950414,164.37833283399232
30,5.482776872146399e-09,19.0,890698.9661489608,188.99842806021917
31,6.303861062955238e-09,19.0,890464.1857596086,217.3066212372156
32,7.2479083551481905e-09,19.0,890194.4363058527,249.85557794990018
33,8.333333333333329e-09,19.0,889884.5421436487,287.28084303207
34,9.581308294981124e-09,19.0,889528.5721170668,330.3132899381337
35,1.1016176237216898e-08,19.0,889119.7326495387,379.7934471330489
36,1.2665925691274434e-08,19.0,888650.246796922,436.6879869391327
37,1.4562736666730681e-08,19.0,888111.2177764036,502.1087065585773
38,1.6743608354708703e-08,19.0,887492.4754525675,577.3343824727344
39,1.9251080834026304e-08,19.0,886782.4042799306,663.8359393992229
40,2.213406485788902e-08,19.0,885967.7512930181,763.3054450300756
41,2.5448795906945086e-08,19.0,885033.4129341107,877.6895238554339
42,2.9259931118459377e-08,19.0,883962.1998504149,1009.2278798616492
43,3.364181048830456e-08,19.0,882734.5793323761,1160.4977318752674
44,3.867990694677316e-08,19.0,881328.3958628639,1334.4651006022352
45,4.447249359338591e-08,19.0,879718.5714075164,1534.5440479752958
46,5.113256061177643e-08,19.0,877876.7884948839,1764.665164026234
47,5.879001925598867e-08,19.0,875771.1617165119,2029.3548314884888
48,6.759423589914056e-08,19.0,873365.9052969153,2333.8270879247225
49,7.771694557360161e-08,19.0,870621.0087579249,2684.09026058499
50,8.935560183419353e-08,19.0,867491.9367775215,3087.0709953972605
51,1.0273722828683876e-07,19.0,863929.3750898626,3550.7588643864615
52,1.1812284691056698e-07,19.0,859879.0509408694,4084.375455700257
53,1.3581256955172047e-07,19.0,855281.6643483035,4698.572781053919
54,1.5615145190503213e-07,19.0,850072.974948652,5405.667051228578
55,1.7953622416932378e-07,19.0,844184.0980433356,6219.915472738352
56,2.0642302966597602e-07,19.0,837542.0716407134,7157.8458484996
57,2.3733632236965024e-07,19.0,830070.762378171,8238.651608497486
58,2.7287909690647745e-07,19.0,821692.1801500763,9484.6687103417
59,3.1374465056603907e-07,19.0,812328.266098168,10921.955968377611
60,3.6073010675692155e-07,19.0,801903.2030716498,12581.00724050078
61,4.1475196369434256e-07,19.0,790346.2679089869,14497.63310546634
62,4.76863971612518e-07,19.0,777595.1978467868,16714.061962540996
63,5.482776872146398e-07,18.7,763597.2914255525,77881.02413025727
64,6.303861062955238e-07,18.1,748320.0816271033,229225.08176360812
65,7.24790835514819e-07,17.5,731753.2185775175,432209.29992580245
66,8.333333333333328e-07,16.8,713906.0389906005,735463.3649307474
67,9.581308294981124e-07,16.1,694816.5678448502,1137155.0325059872
68,1.10161762372169e-06,15.4,674550.1268198029,1665233.63989676
69,1.2665925691274434e-06,14.600000000000001,653199.4353979384,2417544.5476554167
70,1.4562736666730682e-06,13.8,630885.7944972134,3406558.3278702484
71,1.6743608354708704e-06,13.0,607752.4445097127,4703182.448111195
72,1.9251080834026305e-06,12.200000000000001,583960.1636288803,6401027.03101933
73,2.2134064857889066e-06,11.5,559681.6483818707,8482546.012954872
74,2.544879590694514e-06,10.9,535092.0889370269,11015028.5510478
75,2.925993111845944e-06,10.4,510362.977305318,14076294.308967965
76,3.3641810488304626e-06,9.9,485654.74488224386,18015737.270109616
77,3.867990694677316e-06,9.600000000000001,461115.5108641155,22474201.048563223
78,4.447249359338591e-06,9.4,436871.43731541384,27783555.92865207
79,5.1132560611776435e-06,9.200000000000001,413027.5549062686,34548320.47990202
80,5.879001925598868e-06,9.1,389669.7705219656,42647366.10131788
81,6.759423589914056e-06,9.0,366862.15305786504,53006960.62359475
82,7.77169455736016e-06,8.9,344652.8356160655,66346703.72611624
83,8.935560183419354e-06,8.8,323076.2647555242,83626965.06038173
84,1.0273722828683876e-05,8.700000000000001,302156.77749949857,106125034.55287755
85,1.1812284691056699e-05,8.6,281912.1024825759,135529504.5935435
86,1.358125695517202e-05,8.5,262356.4755199686,174052582.07506624
87,1.561514519050318e-05,8.4,243503.2064534059,224556373.3111674
88,1.795362241693238e-05,8.3,225366.54306053184,290683318.72763026
89,2.0642302966597603e-05,8.200000000000001,207962.7556771141,376972981.77916145
90,2.3733632236965026e-05,8.200000000000001,191311.4241024934,482731516.1609771
91,2.7287909690647746e-05,8.1,175430.85921212775,625079104.0795255
92,3.1374465056603905e-05,8.0,160342.99629558017,806460573.474232
93,3.6073010675692154e-05,7.9,146067.74794579385,1034725394.8056635
94,4.1475196369434255e-05,7.800000000000001,132622.13884695285,1317885553.9079509
95,4.768639716125181e-05,7.7,120018.43924987208,1663532991.483966
96,5.482776872146398e-05,7.6000000000000005,108262.60514155355,2078149187.514319
97,6.303861062955238e-05,7.6000000000000005,97354.12722138525,2534965955.5622287
98,7.24790835514819e-05,7.5,87281.43172555302,3092330541.2992077
99,8.333333333333328e-05,7.4,78027.80552214729,3723939655.1423097
