,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,13.200000000000001,1830422.4878361942,761691389.4159211
1,1.0974987654930568e-08,13.200000000000001,1799269.8523707099,690692521.8723015
2,1.204503540258781e-08,13.100000000000001,1768108.5782846007,639105010.0366914
3,1.3219411484660288e-08,13.100000000000001,1736940.4153440471,579464786.1137948
4,1.4508287784959402e-08,13.0,1705763.105134396,535970187.0215349
5,1.592282793341094e-08,12.9,1674577.3929786715,495574003.67199206
6,1.747528400007683e-08,12.9,1643384.1568188511,449233071.1709119
7,1.9179102616724886e-08,12.8,1612181.2782770663,415202797.57738835
8,2.104904144512022e-08,12.700000000000001,1580969.7190469631,383621831.78407425
9,2.310129700083158e-08,12.700000000000001,1549750.6150642307,347659079.59088486
10,2.5353644939701113e-08,12.600000000000001,1518522.1365437307,321076794.59866035
11,2.782559402207126e-08,12.600000000000001,1487286.6327224525,290917844.5170388
12,3.053855508833412e-08,12.5,1456042.6737590374,268552830.98979414
13,3.351602650938841e-08,12.4,1424791.9491375291,247821493.57238948
14,3.678379771828634e-08,12.4,1393536.4709109422,224462839.2003069
15,4.037017258596558e-08,12.3,1362275.4955193915,207035481.63490102
16,4.4306214575838774e-08,12.200000000000001,1331011.585534279,190893340.59201014
17,4.8626015800653535e-08,12.200000000000001,1299747.7658921338,172826533.34348544
18,5.3366992312063125e-08,12.100000000000001,1268484.4142725256,159269387.1153832
19,5.857020818056673e-08,12.0,1237225.425348772,146721743.31426656
20,6.42807311728432e-08,12.0,1205975.3414060795,132768881.78999399
21,7.054802310718646e-08,11.9,1174736.2341327954,122241231.58950384
22,7.742636826811277e-08,11.9,1143514.9774737298,110574800.0823099
23,8.497534359086438e-08,11.8,1112315.307519446,101747744.08584839
24,9.3260334688322e-08,11.700000000000001,1081144.7907743144,93588595.47367689
25,1.0235310218990269e-07,11.700000000000001,1050012.0846778129,84603827.09779103
26,1.1233240329780266e-07,11.600000000000001,1018924.0387900538,77771338.54947788
27,1.232846739442066e-07,11.5,987891.6785479783,71461737.53290999
28,1.3530477745798075e-07,11.4,956926.4785493228,65637404.057638004
29,1.4849682622544636e-07,11.4,926042.4808844489,59280844.15612322
30,1.6297508346206436e-07,11.3,895252.3360519097,54413800.12961071
31,1.7886495290574352e-07,11.200000000000001,864573.5060847632,49925891.84534002
32,1.9630406500402725e-07,11.100000000000001,834024.3998767412,45789474.81929336
33,2.1544346900318867e-07,11.100000000000001,803626.5134560517,41313884.79933243
34,2.3644894126454072e-07,11.0,773400.4687338044,37866215.149857
35,2.5950242113997374e-07,10.9,743372.1685179985,34692520.191235185
36,2.848035868435805e-07,10.8,713568.8716066636,31772524.1871252
37,3.125715849688235e-07,10.700000000000001,684020.2219706017,29087357.99986895
38,3.4304692863149193e-07,10.600000000000001,654758.2582947039,26619465.989362545
39,3.764935806792471e-07,10.600000000000001,625818.3808069637,23983786.868351754
40,4.1320124001153343e-07,10.5,597235.2153292567,21936997.729381848
41,4.534878508128582e-07,10.4,569048.4633577119,20058688.499756053
42,4.977023564332114e-07,10.3,541298.6568663287,18336009.496453986
43,5.462277217684337e-07,10.200000000000001,514027.8056928241,16757011.922156937
44,5.994842503189409e-07,10.100000000000001,487278.9525914264,15310585.51769617
45,6.579332246575682e-07,10.0,461095.6141415708,13986399.227393307
46,7.220809018385472e-07,9.9,435521.1020346475,12774844.9428538
47,7.924828983539186e-07,9.9,410598.7205574978,11500224.186361723
48,8.697490026177835e-07,9.8,386366.9044219625,10503385.474703573
49,9.545484566618346e-07,9.700000000000001,362864.0727163246,9592688.350128213
50,1.0476157527896663e-06,9.700000000000001,340124.7203878208,8637736.111514103
51,1.1497569953977357e-06,9.600000000000001,318175.29126804625,7890059.690964213
52,1.261856883066021e-06,9.600000000000001,297040.1719754563,7106863.078956948
53,1.3848863713938746e-06,9.600000000000001,276733.83376858087,6402520.050356982
54,1.519911082952933e-06,9.600000000000001,257264.2609329379,5768900.613807446
55,1.6681005372000591e-06,9.700000000000001,238632.70396063238,5125446.699815567
56,1.8307382802953698e-06,9.8,220830.54622303316,4553505.358294211
57,2.0092330025650458e-06,9.9,203842.9107573145,4044738.9724983023
58,2.2051307399030456e-06,10.100000000000001,187649.24884187052,3539577.742875105
59,2.4201282647943835e-06,10.3,172221.3723126095,3094886.428262118
60,2.656087782946684e-06,10.5,157527.48319180086,2703102.794440537
61,2.9150530628251817e-06,10.8,143533.36037334436,2321298.0304853437
62,3.1992671377973847e-06,11.200000000000001,130201.52983538964,1956711.5940683468
63,3.5111917342151347e-06,11.700000000000001,117493.19701223522,1615054.7399941436
64,3.853528593710536e-06,12.3,105369.1832303193,1300636.7842218915
65,4.229242874389499e-06,13.0,93790.63183145731,1016492.4125463014
66,4.641588833612782e-06,13.8,82719.48130322492,764508.2740414425
67,5.094138014816386e-06,14.9,72120.79432952669,517213.1815283883
68,5.590810182512223e-06,16.3,61958.94273306381,290198.9467312024
69,6.1359072734131755e-06,18.1,52200.441717668415,85677.9609180862
70,6.7341506577508285e-06,19.0,42786.764851425585,7249.723159561807
71,7.390722033525775e-06,19.0,33503.577297931726,6209.574012954277
72,8.111308307896873e-06,19.0,23338.938150612667,4848.307397942233
73,8.902150854450392e-06,19.0,10389.875017206818,2321.3181965000344
74,9.770099572992246e-06,19.0,1996.7641364536908,417.00728881394025
75,1.0722672220103253e-05,19.0,369.6599887190662,61.19141291988781
76,1.1768119524349992e-05,4.7,72.57802857697712,2814.304158607032
77,1.2915496650148827e-05,2.5,40.04021330984688,1899.012603542441
78,1.4174741629268077e-05,1.7000000000000002,28.438397182499436,1425.8988390352688
79,1.5556761439304724e-05,1.4000000000000001,23.610727683370065,1149.7468340642752
80,1.7073526474706923e-05,1.1,19.509473906095018,981.9484902389117
81,1.8738174228603867e-05,1.0,17.766743155815583,861.7666106645132
82,2.0565123083486515e-05,0.9,16.22982110047286,776.256408959103
83,2.2570197196339216e-05,0.8,14.829405179082144,712.7272766190465
84,2.477076355991714e-05,0.7000000000000001,13.508793356773914,663.9459368683512
85,2.71858824273294e-05,0.7000000000000001,13.258460604222716,622.4856937978648
86,2.9836472402833404e-05,0.6000000000000001,12.040930176296035,591.8679034018892
87,3.274549162877732e-05,0.6000000000000001,11.87894568729407,564.1935431598102
88,3.5938136638046256e-05,0.6000000000000001,11.731620916215137,541.1162008188315
89,3.944206059437664e-05,0.6000000000000001,11.59772404093988,521.6514317810419
90,4.328761281083062e-05,0.5,10.488393532697794,507.59477191963236
91,4.750810162102793e-05,0.5,10.4037567001025,493.35542048692014
92,5.214008287999695e-05,0.5,10.326535736030293,481.052683212317
93,5.72236765935022e-05,0.5,10.256125267101865,470.3587069875792
94,6.28029144183426e-05,0.5,10.191957524790817,461.01673839340214
95,6.89261210434971e-05,0.5,10.13350310035294,452.81945670306436
96,7.56463327554629e-05,0.5,10.080270681137845,445.5974883701419
97,8.302175681319752e-05,0.5,10.031806053090644,439.2122250022601
98,9.111627561154906e-05,0.5,9.987690920207985,433.5488652818486
99,0.0001,0.4,8.948063725107495,430.5807918242529
