,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,220938.996747665,146360.57693913442
1,9.581308294981124e-11,19.0,220938.7795234047,146360.826585965
2,1.1016176237216899e-10,19.0,220938.52910349483,146361.11346647664
3,1.2665925691274435e-10,19.0,220938.24136336736,146361.4433684106
4,1.4562736666730682e-10,19.0,220937.9101382018,146361.82291594634
5,1.6743608354708706e-10,19.0,220937.52954053893,146362.25897619393
6,1.9251080834026304e-10,19.0,220937.09193267787,146362.7599130666
7,2.213406485788902e-10,19.0,220936.58889038186,146363.3365933096
8,2.544879590694509e-10,19.0,220936.01005149432,146364.0003967677
9,2.9259931118459375e-10,19.0,220935.34540623223,146364.7623656435
10,3.364181048830456e-10,19.0,220934.58011920028,146365.63750404865
11,3.8679906946773077e-10,19.0,220933.70129180868,146366.64432374042
12,4.4472493593385817e-10,19.0,220932.68995615002,146367.8028239778
13,5.113256061177633e-10,19.0,220931.52817248975,146369.13402586954
14,5.879001925598856e-10,19.0,220930.1917733867,146370.66546166874
15,6.75942358991407e-10,19.0,220928.65555360046,146372.4252972258
16,7.771694557360145e-10,19.0,220926.88912726776,146374.44954126986
17,8.935560183419373e-10,19.0,220924.85764722663,146376.77638609827
18,1.0273722828683854e-09,19.0,220922.52288105042,146379.45170408738
19,1.1812284691056722e-09,19.0,220919.838023861,146382.52790149543
20,1.3581256955172047e-09,19.0,220916.7511817684,146386.0641550874
21,1.5615145190503214e-09,19.0,220913.2026075119,146390.1318773033
22,1.7953622416932376e-09,19.0,220909.12259974,146394.8058019974
23,2.0642302966597604e-09,19.0,220904.43151423166,146400.1814018026
24,2.3733632236965027e-09,19.0,220899.03858982222,146406.36132845675
25,2.7287909690647747e-09,19.0,220892.83781189355,146413.46737415835
26,3.1374465056603906e-09,19.0,220885.70877473985,146421.63709433505
27,3.6073010675692158e-09,19.0,220877.51385226063,146431.03019247402
28,4.1475196369434256e-09,19.0,220868.0916606537,146441.82957342474
29,4.76863971612518e-09,19.0,220857.25964001237,146454.2460464939
30,5.482776872146399e-09,19.0,220844.80677612333,146468.52331341492
31,6.303861062955238e-09,19.0,220830.4906804856,146484.93545782875
32,7.2479083551481905e-09,19.0,220814.03342320732,146503.806614548
33,8.333333333333329e-09,19.0,220795.11525469797,146525.50281843133
34,9.581308294981124e-09,19.0,220773.3674096689,146550.44684282475
35,1.1016176237216898e-08,19.0,220748.36865750502,146579.12593064358
36,1.2665925691274434e-08,19.0,220719.6336173936,146612.0992184649
37,1.4562736666730681e-08,19.0,220686.605384747,146650.00555548858
38,1.6743608354708703e-08,19.0,220648.64328955335,146693.58747881482
39,1.9251080834026304e-08,19.0,220605.01466391815,146743.69337595263
40,2.213406485788902e-08,19.0,220554.8744970249,146801.29510316346
41,2.5448795906945086e-08,19.0,220497.25572879822,146867.5178723997
42,2.9259931118459377e-08,19.0,220431.04794816923,146943.6489185097
43,3.364181048830456e-08,19.0,220354.97786846175,147031.16922974415
44,3.867990694677316e-08,19.0,220267.58480772743,147131.7798591744
45,4.447249359338591e-08,19.0,220167.19648316444,147247.4361984179
46,5.113256061177643e-08,19.0,220051.8956652323,147380.38422622264
47,5.879001925598867e-08,19.0,219919.48753813872,147533.20225721033
48,6.759423589914056e-08,19.0,219767.46246307783,147708.8540043424
49,7.771694557360161e-08,19.0,219592.94780452043,147910.73922871074
