,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,11.4,126029.21435576229,29325579.030843172
1,1.4508287784959373e-16,11.4,126029.21435576088,29325579.03084319
2,2.1049041445120218e-16,11.4,126029.21435576145,29325579.030843273
3,3.0538555088334123e-16,11.4,126029.214355761,29325579.03084288
4,4.4306214575838864e-16,11.4,126029.21435576069,29325579.030843012
5,6.428073117284319e-16,11.4,126029.21435576104,29325579.030840512
6,9.32603346883218e-16,11.4,126029.21435576028,29325579.030841477
7,1.3530477745798075e-15,11.4,126029.21435576037,29325579.030840233
8,1.9630406500402685e-15,11.4,126029.2143557577,29325579.030839756
9,2.8480358684358048e-15,11.4,126029.21435575616,29325579.03083711
10,4.132012400115335e-15,11.4,126029.21435574695,29325579.03084656
11,5.994842503189421e-15,11.4,126029.21435574612,29325579.030837
12,8.697490026177834e-15,11.4,126029.21435573765,29325579.030839566
13,1.2618568830660185e-14,11.4,126029.21435572907,29325579.03083251
14,1.8307382802953698e-14,11.4,126029.21435570621,29325579.030841194
15,2.656087782946684e-14,11.4,126029.21435568026,29325579.03084252
16,3.853528593710535e-14,11.4,126029.21435564806,29325579.030834228
17,5.590810182512223e-14,11.4,126029.21435559598,29325579.03083076
18,8.111308307896889e-14,11.4,126029.21435551891,29325579.03083141
19,1.176811952434999e-13,11.4,126029.21435540785,29325579.030828156
20,1.7073526474706888e-13,11.4,126029.21435524877,29325579.030821137
21,2.477076355991714e-13,11.4,126029.21435501578,29325579.030812327
22,3.593813663804626e-13,11.4,126029.2143546879,29325579.030786697
23,5.214008287999695e-13,11.4,126029.21435419295,29325579.030773576
24,7.564633275546291e-13,11.4,126029.21435349023,29325579.030737977
25,1.097498765493059e-12,11.4,126029.21435246283,29325579.03069516
26,1.5922827933410938e-12,11.4,126029.21435096969,29325579.030637596
27,2.310129700083158e-12,11.4,126029.21434881494,29325579.03053629
28,3.351602650938848e-12,11.4,126029.21434568801,29325579.03038938
29,4.8626015800653536e-12,11.4,126029.21434114159,29325579.03019314
