,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,1.5,375092.05973550514,1458634211.2264357
1,1.3219411484660287e-16,1.5,375092.05973550514,1458634211.226419
2,1.7475284000076829e-16,1.5,375092.05973550514,1458634211.2264352
3,2.310129700083158e-16,1.5,375092.0597355049,1458634211.226437
4,3.0538555088334123e-16,1.5,375092.05973550497,1458634211.226434
5,4.03701725859655e-16,1.5,375092.05973550485,1458634211.2264333
6,5.336699231206302e-16,1.5,375092.059735505,1458634211.226432
7,7.054802310718631e-16,1.5,375092.0597355042,1458634211.2264338
8,9.32603346883218e-16,1.5,375092.0597355048,1458634211.226432
9,1.2328467394420634e-15,1.5,375092.0597355043,1458634211.2264318
10,1.6297508346206468e-15,1.5,375092.05973550444,1458634211.2264273
11,2.1544346900318867e-15,1.5,375092.059735504,1458634211.2264214
12,2.8480358684358048e-15,1.5,375092.05973550363,1458634211.22641
13,3.764935806792471e-15,1.5,375092.0597355033,1458634211.226392
14,4.977023564332114e-15,1.5,375092.059735501,1458634211.2263622
15,6.5793322465756826e-15,1.5,375092.05973549804,1458634211.2263038
16,8.697490026177834e-15,1.5,375092.0597354939,1458634211.226201
17,1.1497569953977357e-14,1.5,375092.0597354857,1458634211.226033
18,1.5199110829529332e-14,1.5,375092.0597354706,1458634211.225727
19,2.009233002565046e-14,1.5,375092.0597354439,1458634211.2252
20,2.656087782946684e-14,1.5,375092.0597353969,1458634211.2242694
21,3.5111917342151274e-14,1.5,375092.05973531713,1458634211.2143183
22,4.6415888336127915e-14,1.5,375092.05973517644,1458634211.2198281
23,6.135907273413189e-14,1.5,375092.0597349325,1458634211.2147865
24,8.111308307896889e-14,1.5,375092.0597345046,1458634211.206267
25,1.0722672220103254e-13,1.5,375092.0597337582,1458634211.1910825
26,1.4174741629268076e-13,1.5,375092.0597324519,1458634211.164843
27,1.8738174228603867e-13,1.5,375092.05973017256,1458634211.1188028
28,2.477076355991714e-13,1.5,375092.0597261856,1458634211.0383427
29,3.2745491628777316e-13,1.5,375092.05971922155,1458634210.8977466
30,4.3287612810830614e-13,1.5,375092.0597070485,1458634210.6437027
31,5.72236765935022e-13,1.5,375092.05968577764,1458634210.2226658
32,7.564633275546291e-13,1.5,375092.05964860553,1458634209.4723144
33,1e-12,1.5,375092.05958364333,1458634208.1609514
34,1.3219411484660287e-12,1.5,375092.0594701263,1458634205.8696086
35,1.747528400007683e-12,1.5,375092.05927174527,1458634201.8652246
36,2.310129700083158e-12,1.5,375092.05892507423,1458634194.8674529
37,3.0538555088334124e-12,1.5,375092.058319254,1458634182.6386554
38,4.03701725859655e-12,1.5,375092.05726056866,1458634161.2684844
39,5.336699231206302e-12,1.5,375092.0554104794,1458634123.9233932
40,7.054802310718631e-12,1.5,375092.0521774029,1458634058.6621106
41,9.32603346883218e-12,1.5,375092.04652751284,1458633944.6160417
42,1.2328467394420634e-11,1.5,375092.0366541798,1458633745.317494
43,1.62975083462064e-11,1.5,375092.019400268,1458633397.0382133
44,2.1544346900318868e-11,1.5,375091.98924865137,1458632788.4120927
45,2.848035868435805e-11,1.5,375091.93655809714,1458631724.8262284
46,3.764935806792471e-11,1.5,375091.8444806002,1458629866.1966786
47,4.977023564332114e-11,1.5,375091.6835748346,1458626618.2405283
48,6.579332246575682e-11,1.5,375091.4023944191,1458620942.5030563
49,8.697490026177835e-11,1.5,375090.9110449494,1458611024.4735212
50,1.1497569953977356e-10,1.5,375090.05246280535,1458593693.9097073
