,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,16.1,4853069.974659622,346698998.5304254
1,1.0974987654930568e-08,15.9,4759758.065881416,337763648.31951755
2,1.204503540258781e-08,15.8,4667010.238404341,317774611.32340294
3,1.3219411484660288e-08,15.600000000000001,4574858.989479481,307866236.3654709
4,1.4508287784959402e-08,15.5,4483341.236481789,288876947.8703326
5,1.592282793341094e-08,15.3,4392490.2514718175,278607950.09700865
6,1.747528400007683e-08,15.100000000000001,4302342.216274057,268021177.98702228
7,1.9179102616724886e-08,15.0,4212933.068188368,250672983.0013837
8,2.104904144512022e-08,14.8,4124295.065296782,240382484.10251954
9,2.310129700083158e-08,14.600000000000001,4036462.465913539,230098368.97700423
10,2.5353644939701113e-08,14.5,3949468.205582165,214745808.41624725
11,2.782559402207126e-08,14.3,3863340.4176662625,205118308.46515855
12,3.053855508833412e-08,14.100000000000001,3778108.183338362,195681157.0549926
13,3.351602650938841e-08,13.9,3693797.0392367556,186483301.0181757
14,3.678379771828634e-08,13.8,3610430.615524972,173792711.07190737
15,4.037017258596558e-08,13.600000000000001,3528026.4706930374,165456700.58215877
16,4.4306214575838774e-08,13.4,3446601.44293562,157424865.19670346
17,4.8626015800653535e-08,13.200000000000001,3366167.537506974,149713364.54713783
18,5.3366992312063125e-08,13.100000000000001,3286733.692832896,139541553.79784143
19,5.857020818056673e-08,12.9,3208301.3782535614,132692908.59498899
20,6.42807311728432e-08,12.700000000000001,3130870.5869031595,126164649.42602433
21,7.054802310718646e-08,12.5,3054435.5827181377,119955392.04919925
22,7.742636826811277e-08,12.3,2978985.790679772,114060668.31674895
23,8.497534359086438e-08,12.200000000000001,2904506.759492163,106520312.25718099
24,9.3260334688322e-08,12.0,2830976.0167905977,101362070.76650682
25,1.0235310218990269e-07,11.8,2758369.1654261956,96481946.30989568
26,1.1233240329780266e-07,11.700000000000001,2686656.8278897805,90276940.9996111
27,1.232846739442066e-07,11.5,2615801.676952411,86022735.97546224
28,1.3530477745798075e-07,11.4,2545765.281486376,80609566.8174703
29,1.4849682622544636e-07,11.200000000000001,2476500.48588727,76903196.04520461
30,1.6297508346206436e-07,11.100000000000001,2407958.9350609337,72177199.89738347
31,1.7886495290574352e-07,10.9,2340083.4806453176,68945450.59021866
32,1.9630406500402725e-07,10.8,2272815.7358441153,64812316.71283442
33,2.1544346900318867e-07,10.600000000000001,2206088.226478655,61987931.53753391
34,2.3644894126454072e-07,10.5,2139832.0564259896,58363650.161855996
35,2.5950242113997374e-07,10.4,2073969.7088268122,54994093.26972372
36,2.848035868435805e-07,10.3,2008418.6851822787,51858295.18933819
37,3.125715849688235e-07,10.200000000000001,1943090.0686118305,48936887.8216251
38,3.4304692863149193e-07,10.100000000000001,1877887.9055521325,46211998.95575358
39,3.764935806792471e-07,10.0,1812708.4191845108,43667165.11607867
40,4.1320124001153343e-07,9.9,1747439.1301662128,41287215.95812697
41,4.534878508128582e-07,9.8,1681957.3435866209,39058204.091235146
42,4.977023564332114e-07,9.700000000000001,1616128.8630497803,36967308.759896316
43,5.462277217684337e-07,9.700000000000001,1549806.6252570949,34461017.95925402
44,5.994842503189409e-07,9.600000000000001,1482824.0678440046,32645892.765701834
45,6.579332246575682e-07,9.600000000000001,1414998.5074147221,30458023.14199778
46,7.220809018385472e-07,9.5,1346118.1892933613,28872926.282891646
47,7.924828983539186e-07,9.5,1275943.7914029942,26955813.88706586
48,8.697490026177835e-07,9.5,1204191.9521231027,25172558.31519463
49,9.545484566618346e-07,9.5,1130526.3425335228,23513427.627689146
50,1.0476157527896663e-06,9.5,1054537.5252870708,21969807.61484147
51,1.1497569953977357e-06,9.600000000000001,975716.0012581055,20217207.909222357
52,1.261856883066021e-06,9.600000000000001,893405.6355329911,18906224.020134047
53,1.3848863713938746e-06,9.700000000000001,806745.889234872,17418216.76576695
54,1.519911082952933e-06,9.9,714566.3293805589,15811686.056536907
55,1.6681005372000591e-06,10.100000000000001,615242.747382025,14371853.969943503
56,1.8307382802953698e-06,10.3,506539.1784940512,13086946.366305534
57,2.0092330025650458e-06,10.700000000000001,385751.3269589174,11547332.915337127
58,2.2051307399030456e-06,11.0,252153.7300851401,10306661.620254654
59,2.4201282647943835e-06,11.200000000000001,120246.77588532878,9058729.637003114
60,2.656087782946684e-06,10.600000000000001,35808.7198791584,8301936.795084754
61,2.9150530628251817e-06,9.200000000000001,8359.209020153781,7815312.5230780365
62,3.1992671377973847e-06,7.7,2111.42190256519,7084672.733509681
63,3.5111917342151347e-06,6.1000000000000005,642.623773872768,6322370.613584603
64,3.853528593710536e-06,4.7,238.74843428049894,5399195.938286758
65,4.229242874389499e-06,3.4000000000000004,105.47447171609898,4487986.846675832
66,4.641588833612782e-06,2.3000000000000003,53.34249055590107,3614561.049220147
67,5.094138014816386e-06,1.5,30.251355550021593,2826691.531488538
68,5.590810182512223e-06,1.0,19.235194118269938,2177284.305550231
69,6.1359072734131755e-06,0.6000000000000001,12.522319683870954,1688632.843054497
70,6.7341506577508285e-06,0.4,9.096234484647795,1321739.9405573462
71,7.390722033525775e-06,0.30000000000000004,7.280915287253969,1051731.1031765186
72,8.111308307896873e-06,0.2,5.722913420658699,852645.4327498344
73,8.902150854450392e-06,0.2,5.3960692878952035,701181.6004012476
74,9.770099572992246e-06,0.1,4.085915787789454,586040.2740760416
75,1.0722672220103253e-05,0.1,3.948358758520377,494878.3077220973
76,1.1768119524349992e-05,0.1,3.8110839125066662,422136.23089649214
77,1.2915496650148827e-05,0.1,3.6753539023150728,363161.05163253105
78,1.4174741629268077e-05,0.1,3.5425085341707927,314678.92725346785
79,1.5556761439304724e-05,0.0,2.5,274340.4027288517
80,1.7073526474706923e-05,0.0,2.5,240424.88188444267
81,1.8738174228603867e-05,0.0,2.5,211648.97740452483
82,2.0565123083486515e-05,0.0,2.5,187042.5182354536
83,2.2570197196339216e-05,0.0,2.5,165853.9532792265
84,2.477076355991714e-05,0.0,2.5,147493.63934032142
85,2.71858824273294e-05,0.0,2.5,131500.67643895047
86,2.9836472402833404e-05,0.0,2.5,117510.67435723597
87,3.274549162877732e-05,0.0,2.5,105224.96737285583
88,3.5938136638046256e-05,0.0,2.5,94393.32748876346
89,3.944206059437664e-05,0.0,2.5,84807.09238737063
90,4.328761281083062e-05,0.0,2.5,76292.83351030342
91,4.750810162102793e-05,0.0,2.5,68709.44623600763
92,5.214008287999695e-05,0.0,2.5,61941.90351215463
93,5.72236765935022e-05,0.0,2.5,55893.64808468948
94,6.28029144183426e-05,0.0,2.5,50480.806647910365
95,6.89261210434971e-05,0.0,2.5,45629.64415927921
96,7.56463327554629e-05,0.0,2.5,41275.63319671665
97,8.302175681319752e-05,0.0,2.5,37362.61523273074
98,9.111627561154906e-05,0.0,2.5,33841.42577292617
99,0.0001,0.0,2.5,30669.12859866827
