,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,11.700000000000001,138523.02971865077,33051949.42372724
1,11.768119524349984,11.700000000000001,139602.8759762097,32465052.562887177
2,13.848863713938732,11.700000000000001,140743.88687688074,31874578.229888093
3,16.297508346206442,11.8,141942.95200087407,30883046.151609316
4,19.179102616724887,11.8,143193.43515330224,30293865.156637304
5,22.570197196339205,11.9,144492.59398083732,29315074.75758986
6,26.560877829466868,11.9,145833.59592767607,28729739.429663323
7,31.25715849688235,12.0,147213.93879343016,27767461.611582704
8,36.783797718286344,12.100000000000001,148628.30247898123,26817198.73001774
9,43.28761281083057,12.100000000000001,150071.9234490222,26245019.57594275
10,50.9413801481638,12.200000000000001,151543.50606201505,25315534.98392931
11,59.94842503189409,12.3,153039.26176955915,24400254.680358104
12,70.54802310718642,12.3,154555.97515748942,23844019.01404485
13,83.02175681319744,12.4,156093.98525122943,22951859.188887943
14,97.70099572992251,12.5,157651.04629644981,22075086.148931686
15,114.97569953977356,12.600000000000001,159226.4130751561,21214014.071822
16,135.30477745798075,12.700000000000001,160819.76987389164,20368879.623679932
17,159.22827933410923,12.8,162431.18964622106,19539857.561867736
18,187.3817422860383,12.9,164061.12088391022,18727080.268447567
19,220.51307399030455,13.0,165710.37071716605,17930638.343732744
20,259.5024211399737,13.100000000000001,167380.09633662362,17150604.193713434
21,305.3855508833416,13.200000000000001,169071.8140689628,16387027.866960866
22,359.38136638046257,13.3,170787.40991683566,15639945.589429567
23,422.9242874389499,13.5,172530.17275142926,14648821.455007458
24,497.70235643321087,13.600000000000001,174300.8486614918,13942774.265142346
25,585.7020818056661,13.700000000000001,176103.58163786345,13253317.73628315
26,689.2612104349695,13.9,177943.11338656,12343713.223232608
27,811.1308307896873,14.0,179821.7057029702,11695510.491503287
28,954.5484566618337,14.200000000000001,181746.3382773922,10843141.644381324
29,1123.3240329780276,14.4,183721.6358434588,10023429.695683429
30,1321.9411484660286,14.600000000000001,185754.06157448216,9236423.178238466
31,1555.6761439304723,14.8,187850.95644324963,8482161.902818358
32,1830.7382802953678,15.0,190020.62442879012,7760680.263357396
33,2154.4346900318824,15.3,192273.4590597154,6890823.58690106
34,2535.3644939701117,15.600000000000001,194618.91717157623,6069588.212796125
35,2983.6472402833374,15.8,197067.73247668968,5462350.223931614
36,3511.191734215131,16.1,199634.84025765522,4730299.746046282
37,4132.0124001153345,16.5,202334.47874410567,3896772.246436246
38,4862.601580065353,16.8,205180.09061886856,3268932.107049086
39,5722.367659350214,17.2,208190.32524201745,2554466.8224520762
40,6734.150657750822,17.7,211382.78740409462,1775776.4028490193
41,7924.82898353917,18.1,214773.8598156794,1193243.6798071868
42,9326.0334688322,18.6,218384.20878094994,559564.1550816434
43,10974.987654930545,19.0,222230.25964419942,104620.75425944087
44,12915.496650148827,19.0,226324.75922159213,97462.41523553283
45,15199.11082952933,19.0,230685.5649640304,90461.49218225051
46,17886.495290574352,19.0,235323.53237543604,83639.1617145818
47,21049.04144512022,19.0,240244.5482315677,77017.75052134697
48,24770.76355991709,19.0,245447.9522993384,70620.29384387075
49,29150.53062825176,19.0,250924.92686998605,64469.95923222136
50,34304.692863149125,19.0,256657.04315684937,58589.3400695594
51,40370.1725859655,19.0,262615.174365742,52999.64738998446
52,47508.101621027934,19.0,268759.02488873265,47719.83793280679
53,55908.10182512223,19.0,275037.49801833194,42765.74217419155
54,65793.32246575682,19.0,281390.0647000187,38149.26676379093
55,77426.36826811278,19.0,287749.1395430124,33877.75308930561
56,91116.27561154887,19.0,294043.3206058517,29953.565985829362
57,107226.72220103232,19.0,300201.1771160652,26373.965381479138
58,126185.6883066021,19.0,306155.1444556819,23131.278811637534
59,148496.82622544636,19.0,311845.0642038183,20213.356195393775
60,174752.8400007683,19.0,317220.9721613287,17604.251308579325
61,205651.23083486516,19.0,322244.87643791223,15285.052064722311
62,242012.82647943834,19.0,326891.4349404198,13234.772909551068
63,284803.5868435799,19.0,331147.63972621685,11431.229047025485
64,335160.2650938841,19.0,335011.6803255166,9851.829508028459
65,394420.6059437656,19.0,338491.28300289164,8474.24797235583
66,464158.8833612772,19.0,341601.7622772298,7276.952093073028
67,546227.7217684337,19.0,344364.0402084748,6239.590369699745
68,642807.311728432,19.0,346802.7839650827,5343.24799819747
69,756463.3275546291,19.0,348944.7884538227,4570.590968414711
70,890215.0854450375,19.0,350817.6348805092,3905.920266853541
71,1047615.7527896641,19.0,352448.65532616054,3335.157930530282
72,1232846.7394420658,19.0,353864.1732898266,2845.784570427501
73,1450828.7784959401,19.0,355088.98206873104,2426.744801902684
74,1707352.6474706887,19.0,356146.02974115615,2068.333724448184
75,2009233.0025650458,19.0,357056.2554891143,1762.0744278273487
76,2364489.412645407,19.0,357838.5425121192,1500.59379753361
77,2782559.402207126,19.0,358509.7627631015,1277.5016075579683
78,3274549.162877725,19.0,359084.86717832345,1087.2761537701183
79,3853528.5937105273,19.0,359577.0217023131,925.1583504349401
80,4534878.5081285825,19.0,359997.7503759717,787.0552456412988
81,5336699.231206302,19.0,360357.1015153303,669.4531944240385
82,6280291.441834247,19.0,360663.79529492685,569.3405283284374
83,7390722.033525775,19.0,360925.3784102159,484.1392153571651
84,8697490.026177835,19.0,361148.3627452875,411.64487939521206
85,10235310.218990248,19.0,361338.35434708395,349.97441019439725
86,12045035.402587812,19.0,361500.1700717234,297.52042930466126
87,14174741.629268048,19.0,361637.9415059021,252.91184421736398
88,16681005.372000592,19.0,361755.20648558845,214.97978774108344
89,19630406.500402685,19.0,361854.99359072116,182.72827662894852
90,23101297.00083158,19.0,361939.8890534496,155.30899148996104
