,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.4,8.455667126016879,3707.908886062118
1,1.0974987654930568e-08,0.4,8.45588290964744,3710.9257677932846
2,1.204503540258781e-08,0.4,8.456119736575054,3714.242204523585
3,1.3219411484660288e-08,0.4,8.456379659448215,3717.888644708683
4,1.4508287784959402e-08,0.4,8.456664931240972,3721.8985568793946
5,1.592282793341094e-08,0.4,8.456978024824314,3726.309085012878
6,1.747528400007683e-08,0.4,8.457321654453962,3731.1613222742453
7,1.9179102616724886e-08,0.4,8.457698799362781,3736.5005463108996
8,2.104904144512022e-08,0.4,8.458112729665608,3742.37751320364
9,2.310129700083158e-08,0.4,8.458567034803698,3748.8479593909215
10,2.5353644939701113e-08,0.4,8.459065654779739,3755.974169073986
11,2.782559402207126e-08,0.4,8.459612914458916,3763.825376451132
12,3.053855508833412e-08,0.4,8.460213561239598,3772.4786150274226
13,3.351602650938841e-08,0.4,8.46087280642614,3782.019833262638
14,3.678379771828634e-08,0.4,8.461596370672284,3792.5450627112564
15,4.037017258596558e-08,0.4,8.462390533898574,3804.161733978486
16,4.4306214575838774e-08,0.4,8.463262190129141,3816.9902840237137
17,4.8626015800653535e-08,0.4,8.464218907738324,3831.1659723631115
18,5.3366992312063125e-08,0.4,8.465268995647328,3846.8410839776507
19,5.857020818056673e-08,0.4,8.466421576067304,3864.187418935973
20,6.42807311728432e-08,0.4,8.467686664444452,3883.399327710075
21,7.054802310718646e-08,0.4,8.469075233435712,3904.6972880150647
22,7.742636826811277e-08,0.4,8.470599394798976,3928.3321847665698
23,8.497534359086438e-08,0.4,8.472272393321285,3954.590442578809
24,9.3260334688322e-08,0.4,8.474108827542658,3983.800274198663
25,1.0235310218990269e-07,0.4,8.47612461008958,4016.339290792017
26,1.1233240329780266e-07,0.4,8.47833733390763,4052.643759574217
27,1.232846739442066e-07,0.4,8.480766284131976,4093.2201420545566
28,1.3530477745798075e-07,0.4,8.483432643375819,4138.659400593524
29,1.4849682622544636e-07,0.4,8.486359679450656,4189.6549646695
30,1.6297508346206436e-07,0.4,8.489572953722465,4247.025483035749
31,1.7886495290574352e-07,0.4,8.49310053640268,4311.743885416899
32,1.9630406500402725e-07,0.4,8.49697331067975,4384.974901067862
33,2.1544346900318867e-07,0.4,8.501225173378042,4468.12400276143
34,2.3644894126454072e-07,0.4,8.505893389754753,4562.9019864011325
35,2.5950242113997374e-07,0.4,8.511018919670144,4671.411252237436
36,2.848035868435805e-07,0.4,8.516646795542671,4796.262640658688
37,3.125715849688235e-07,0.4,8.522826481928474,4940.735906541428
38,3.4304692863149193e-07,0.4,8.529612534612731,5109.003640772816
39,3.764935806792471e-07,0.4,8.537064792051332,5306.4490706122615
40,4.1320124001153343e-07,0.4,8.54524914677038,5540.125488561845
41,4.534878508128582e-07,0.4,8.554238107836078,5819.433737660958
42,4.977023564332114e-07,0.4,8.564111485000364,6157.14343358913
43,5.462277217684337e-07,0.4,8.574957149898138,6570.9686985048365
44,5.994842503189409e-07,0.4,8.586871879689403,7086.063282256886
45,6.579332246575682e-07,0.4,8.599962294941774,7739.082117313812
46,7.220809018385472e-07,0.4,8.614345903432772,8584.99529386476
47,7.924828983539186e-07,0.4,8.630152263147695,9708.896165721913
48,8.697490026177835e-07,0.4,8.64752427856698,11247.19396425844
49,9.545484566618346e-07,0.4,8.666619651710961,13427.097118702675
50,1.0476157527896663e-06,0.4,8.687612503971534,16643.16186118876
51,1.1497569953977357e-06,0.5,9.711088578487363,21587.09533255938
52,1.261856883066021e-06,19.0,22.048180701922174,275.97352322888327
53,1.3848863713938746e-06,19.0,192.88672199988548,513.7066202870686
54,1.519911082952933e-06,19.0,419.8058095032196,1030.8240158801084
55,1.6681005372000591e-06,19.0,877.0510891976446,2221.8157923743247
56,1.8307382802953698e-06,19.0,1921.2788478491857,5103.860359708814
57,2.0092330025650458e-06,19.0,4428.190218541065,12278.339587396606
58,2.2051307399030456e-06,19.0,10436.25159614416,29761.565976519967
59,2.4201282647943835e-06,19.0,23474.02992227933,68001.0207692166
60,2.656087782946684e-06,19.0,45662.96184194501,136269.28034169748
61,2.9150530628251817e-06,19.0,72121.9535638202,227924.5049591356
62,3.1992671377973847e-06,19.0,96040.25105037422,309921.1176985247
