,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,3893445.4356804416,11661782.30186693
1,1.0974987654930568e-08,19.0,3777996.2570032002,10508064.396268088
2,1.204503540258781e-08,19.0,3663533.0971208094,9432147.017727897
3,1.3219411484660288e-08,19.0,3550139.7410342637,8442012.66896081
4,1.4508287784959402e-08,19.0,3437891.5205102675,7539968.041218101
5,1.592282793341094e-08,19.0,3326857.6738025006,6724309.635952248
6,1.747528400007683e-08,19.0,3217103.160118784,5990779.598591284
7,1.9179102616724886e-08,19.0,3108689.8239852316,5333695.218633496
8,2.104904144512022e-08,19.0,3001677.49148341,4746733.946765834
9,2.310129700083158e-08,19.0,2896124.5053717936,4223446.783654393
10,2.5353644939701113e-08,19.0,2792087.9964661375,3757570.1738928976
11,2.782559402207126e-08,19.0,2689624.2396429987,3343203.2317548934
12,3.053855508833412e-08,19.0,2588788.6071120375,2974891.2407660787
13,3.351602650938841e-08,19.0,2489635.703840698,2647658.1469726204
14,3.678379771828634e-08,19.0,2392219.076623717,2357002.9407203333
15,4.037017258596558e-08,19.0,2296591.130403852,2098878.8526940895
16,4.4306214575838774e-08,18.8,2202801.23216899,5662319.084358721
17,4.8626015800653535e-08,18.5,2110900.6770139853,10236805.315186223
18,5.3366992312063125e-08,18.1,2020937.3246596751,15504396.456770914
19,5.857020818056673e-08,17.8,1932959.0134318136,18239269.920421846
20,6.42807311728432e-08,17.5,1847008.3664437642,20325776.361585326
21,7.054802310718646e-08,17.1,1763125.6185701117,23131617.292152174
22,7.742636826811277e-08,16.8,1681351.278936627,24117893.38343822
23,8.497534359086438e-08,16.400000000000002,1601718.8057530585,25814223.68870962
24,9.3260334688322e-08,16.1,1524262.551624968,26043866.703512404
25,1.0235310218990269e-07,15.8,1449010.2400290356,26034108.41121319
26,1.1233240329780266e-07,15.4,1375985.9477033697,26682510.54008723
27,1.232846739442066e-07,15.100000000000001,1305212.7708030953,26262020.83044138
28,1.3530477745798075e-07,14.700000000000001,1236705.6474505607,26460302.089035742
29,1.4849682622544636e-07,14.4,1170479.1838738685,25786865.39455935
30,1.6297508346206436e-07,14.0,1106539.4536658619,25689094.19018914
31,1.7886495290574352e-07,13.700000000000001,1044891.9488119747,24876149.462911084
32,1.9630406500402725e-07,13.4,985534.3282350888,24046667.79946333
33,2.1544346900318867e-07,13.0,928459.4859070476,23723210.21973643
34,2.3644894126454072e-07,12.700000000000001,873658.4483353887,22862245.03313418
35,2.5950242113997374e-07,12.4,821114.3177036436,22020737.947926193
36,2.848035868435805e-07,12.100000000000001,770806.3648204046,21205691.151332267
37,3.125715849688235e-07,11.8,722709.0596349168,20422781.19155304
38,3.4304692863149193e-07,11.5,676792.1387116234,19676594.23051049
39,3.764935806792471e-07,11.200000000000001,633020.731568717,18970828.887257785
40,4.1320124001153343e-07,10.9,591355.4746977586,18308478.095150705
41,4.534878508128582e-07,10.600000000000001,551752.6526417707,17691985.009725306
42,4.977023564332114e-07,10.4,514165.3491586583,16837994.56016155
43,5.462277217684337e-07,10.100000000000001,478539.57977633073,16333503.728891432
44,5.994842503189409e-07,9.9,444821.33314587583,15623052.713400356
45,6.579332246575682e-07,9.700000000000001,412949.6560301076,14988673.078857616
46,7.220809018385472e-07,9.5,382860.7086058364,14427314.805065038
47,7.924828983539186e-07,9.4,354487.8447835706,13718980.188604975
48,8.697490026177835e-07,9.3,327758.5867752412,13098449.008739728
49,9.545484566618346e-07,9.1,302597.0613866385,12755460.915492393
50,1.0476157527896663e-06,9.1,278928.26036713517,12094585.379833614
51,1.1497569953977357e-06,9.0,256668.73716266383,11698850.018908149
52,1.261856883066021e-06,9.0,235738.60647707895,11192944.479952957
53,1.3848863713938746e-06,9.0,216054.7324500654,10755715.503499446
54,1.519911082952933e-06,9.0,197536.14754373685,10378445.050436892
55,1.6681005372000591e-06,9.1,180105.6274732579,9898869.359202152
56,1.8307382802953698e-06,9.1,163687.45054785375,9620726.925860194
57,2.0092330025650458e-06,9.3,148217.01583057368,9089669.100642784
58,2.2051307399030456e-06,9.4,133631.6446761244,8740262.17533411
59,2.4201282647943835e-06,9.600000000000001,119883.150444905,8281873.93041768
60,2.656087782946684e-06,9.8,106931.52314985984,7846724.503825903
61,2.9150530628251817e-06,10.100000000000001,94751.20181846111,7303195.101007106
62,3.1992671377973847e-06,10.5,83328.8706891738,6660066.0128099695
63,3.5111917342151347e-06,10.9,72663.48173577781,6035887.793239389
64,3.853528593710536e-06,11.4,62767.42330625065,5326512.2461329745
65,4.229242874389499e-06,12.0,53659.73417697845,4554655.645383495
66,4.641588833612782e-06,12.9,45362.5384420223,3595388.4304788625
67,5.094138014816386e-06,13.9,37886.13552412924,2682002.717103873
68,5.590810182512223e-06,15.3,31228.40702651845,1688960.9895829677
69,6.1359072734131755e-06,17.2,25360.019637122805,703369.7735126098
70,6.7341506577508285e-06,19.0,20212.9270169063,30809.042089759827
71,7.390722033525775e-06,19.0,15603.990128485213,27574.887627598073
72,8.111308307896873e-06,19.0,11141.726571444578,23193.423652928454
73,8.902150854450392e-06,19.0,6001.735002031422,14086.46675819793
74,9.770099572992246e-06,19.0,1570.247098264425,3478.5488598847296
75,1.0722672220103253e-05,19.0,318.33842101272376,509.23443501628935
76,1.1768119524349992e-05,4.1000000000000005,63.34983841710547,27231.58675890725
77,1.2915496650148827e-05,2.2,35.662856792973315,18190.285373285824
78,1.4174741629268077e-05,1.6,26.555249919390562,13559.947601125254
79,1.5556761439304724e-05,1.2000000000000002,20.94785677808367,11022.368633861182
80,1.7073526474706923e-05,1.0,17.966856048536044,9379.939419081074
81,1.8738174228603867e-05,0.9,16.308328778060737,8238.16078049006
82,2.0565123083486515e-05,0.8,14.827677536509196,7426.954907690897
83,2.2570197196339216e-05,0.7000000000000001,13.457733473427714,6824.935696986359
84,2.477076355991714e-05,0.7000000000000001,13.174573657199826,6325.713434011491
85,2.71858824273294e-05,0.6000000000000001,11.94146589390753,5965.9904522094275
86,2.9836472402833404e-05,0.6000000000000001,11.758959175015267,5644.546676746327
87,3.274549162877732e-05,0.6000000000000001,11.593037594787654,5379.989925377662
88,3.5938136638046256e-05,0.5,10.455152732413877,5190.624705190737
