,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,8.8,258496.16313922254,124735841.31099609
1,11.768119524349984,8.8,260654.2107984618,120228488.04184295
2,13.848863713938732,8.8,263026.96495444153,115809888.8872748
3,16.297508346206442,8.8,265617.8611303172,111485393.18619111
4,19.179102616724887,8.8,268427.1679110166,107260665.5162902
5,22.570197196339205,8.8,271451.95273076405,103141396.4177026
6,26.560877829466868,8.9,274687.25229905697,97738407.571145
7,31.25715849688235,8.9,278122.4360872147,93890063.56412052
8,36.783797718286344,8.9,281747.70692745945,90161584.12187307
9,43.28761281083057,8.9,285550.75716788205,86555747.96793003
10,50.9413801481638,8.9,289518.4212749001,83074266.59380424
11,59.94842503189409,8.9,293637.3048923842,79717759.60955723
12,70.54802310718642,8.9,297894.3378374631,76485793.44101426
13,83.02175681319744,9.0,302278.23987349495,72290056.95992467
14,97.70099572992251,9.0,306775.82496075094,69343398.75446887
15,114.97569953977356,9.0,311378.1481310535,66513560.44666896
16,135.30477745798075,9.0,316076.65909733,63797038.921941996
17,159.22827933410923,9.0,320864.17595176847,61189942.31568102
18,187.3817422860383,9.0,325734.8239110136,58688109.55440001
19,220.51307399030455,9.1,330684.98262413224,55435203.18067321
20,259.5024211399737,9.1,335709.02068938845,53164780.585473664
21,305.3855508833416,9.1,340805.30859191413,50985250.18263026
22,359.38136638046257,9.1,345972.05131808756,48892268.48746797
23,422.9242874389499,9.200000000000001,351209.2149844488,46163900.98861747
24,497.70235643321087,9.200000000000001,356514.36486583104,44260528.37076642
25,585.7020818056661,9.200000000000001,361888.6199257941,42430206.90411194
26,689.2612104349695,9.200000000000001,367332.6268426446,40669103.622671396
27,811.1308307896873,9.3,372848.55950934434,38371662.51608857
28,954.5484566618337,9.3,378435.9745795645,36763165.775994524
29,1123.3240329780276,9.3,384097.89014194696,35212438.23996683
30,1321.9411484660286,9.4,389837.8432583654,33191768.355419762
31,1555.6761439304723,9.4,395656.8469218961,31769644.385999374
32,1830.7382802953678,9.4,401559.3882622063,30395536.194702066
33,2154.4346900318824,9.5,407550.6334745354,28611421.169834323
34,2535.3644939701117,9.5,413633.3460430418,27345659.971093006
35,2983.6472402833374,9.600000000000001,419815.00441455503,25707841.21970921
36,3511.191734215131,9.600000000000001,426100.00901196065,24538446.803802468
37,4132.0124001153345,9.700000000000001,432497.5384770193,23032623.417582814
38,4862.601580065353,9.700000000000001,439013.9867259624,21949217.490158014
39,5722.367659350214,9.8,445660.76493765455,20562941.928838875
40,6734.150657750822,9.8,452446.68351489067,19556670.64617914
41,7924.82898353917,9.9,459386.02023711015,18279244.883725896
42,9326.0334688322,10.0,466491.5718318766,17061718.505655
43,10974.987654930545,10.100000000000001,473778.90893530176,15901365.509531997
