,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,251057.81573557795,726352.2248692124
1,1.0974987654930568e-08,19.0,249884.5991952299,719229.7829358047
2,1.204503540258781e-08,19.0,248631.61014445694,711704.4214261294
3,1.3219411484660288e-08,19.0,247296.36328701375,703776.7351886313
4,1.4508287784959402e-08,19.0,245876.76777004387,695451.0911938641
5,1.592282793341094e-08,19.0,244371.20172007757,686735.9491423469
6,1.747528400007683e-08,19.0,242778.5771346513,677644.087027507
7,1.9179102616724886e-08,19.0,241098.40514619593,668192.7368573342
8,2.104904144512022e-08,19.0,239330.84686904334,658403.5959052799
9,2.310129700083158e-08,19.0,237476.75041704703,648302.69479233
10,2.5353644939701113e-08,19.0,235537.66830159316,637920.1097999867
11,2.782559402207126e-08,19.0,233515.85036287355,627289.4993182652
12,3.053855508833412e-08,19.0,231414.2095233563,616447.4918440955
13,3.351602650938841e-08,19.0,229236.25604665792,605432.8990933178
14,3.678379771828634e-08,19.0,226985.9995453536,594285.8023709682
15,4.037017258596558e-08,19.0,224667.8215300742,583046.5442971851
16,4.4306214575838774e-08,19.0,222286.31510668027,571754.6403874228
17,4.8626015800653535e-08,19.0,219846.1100070906,560447.7180115175
18,5.3366992312063125e-08,19.0,217351.67517248186,549160.4558583251
19,5.857020818056673e-08,19.0,214807.1213763529,537923.6577773526
20,6.42807311728432e-08,19.0,212216.01403958953,526763.4041433951
21,7.054802310718646e-08,19.0,209581.20170636612,515700.3181762893
22,7.742636826811277e-08,19.0,206904.6719099624,504748.7671894814
23,8.497534359086438e-08,19.0,204187.4538367002,493915.70018478064
24,9.3260334688322e-08,19.0,201429.55529107133,483198.14367606456
25,1.0235310218990269e-07,19.0,198629.95368855956,472577.07795568253
26,1.1233240329780266e-07,19.0,195786.61268904607,462001.44368171715
27,1.232846739442066e-07,18.8,192894.67895840574,1352257.4537623837
28,1.3530477745798075e-07,18.1,189949.12626613438,4379233.806585921
29,1.4849682622544636e-07,17.5,186951.122545483,6803013.364562306
30,1.6297508346206436e-07,16.900000000000002,183893.62681906478,9061822.88371319
