,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,18.400000000000002,422466.5737075811,874613.7588655226
1,9.581308294981124e-11,18.400000000000002,422464.8969464919,874616.9563112771
2,1.1016176237216899e-10,18.400000000000002,422462.9690963322,874620.6231677723
3,1.2665925691274435e-10,18.400000000000002,422460.7525625894,874624.8328416918
4,1.4562736666730682e-10,18.400000000000002,422458.20415486605,874629.6862240217
5,1.6743608354708706e-10,18.400000000000002,422455.2740827364,874635.2590825872
6,1.9251080834026304e-10,18.400000000000002,422451.90530654177,874641.6670959871
7,2.213406485788902e-10,18.400000000000002,422448.03211236093,874649.0336051858
8,2.544879590694509e-10,18.400000000000002,422443.578986494,874657.5037413634
9,2.9259931118459375e-10,18.400000000000002,422438.4591195708,874667.2438756209
10,3.364181048830456e-10,18.400000000000002,422432.5726984432,874678.4336403701
11,3.8679906946773077e-10,18.400000000000002,422425.8049870989,874691.3133448008
12,4.4472493593385817e-10,18.400000000000002,422418.0241203279,874706.1139809017
13,5.113256061177633e-10,18.400000000000002,422409.0783711707,874723.1310542102
14,5.879001925598856e-10,18.400000000000002,422398.7935284827,874742.695821279
15,6.75942358991407e-10,18.400000000000002,422386.9692153238,874765.1830402935
16,7.771694557360145e-10,18.400000000000002,422373.37512954534,874791.0420003915
17,8.935560183419373e-10,18.400000000000002,422357.7464918066,874820.7753935992
18,1.0273722828683854e-09,18.400000000000002,422339.77910255763,874854.9584382605
19,1.1812284691056722e-09,18.400000000000002,422319.1232788046,874894.2653800017
20,1.3581256955172047e-09,18.400000000000002,422295.37707391276,874939.4466212225
21,1.5615145190503214e-09,18.400000000000002,422268.0786841857,874991.389543079
22,1.7953622416932376e-09,18.400000000000002,422236.6974186443,875051.1047429014
23,2.0642302966597604e-09,18.400000000000002,422200.6235084511,875119.7480109942
24,2.3733632236965027e-09,18.400000000000002,422159.1564854177,875198.6693252325
25,2.7287909690647747e-09,18.400000000000002,422111.49161073857,875289.3942923874
26,3.1374465056603906e-09,18.400000000000002,422056.7046599756,875393.6923545314
27,3.6073010675692158e-09,18.400000000000002,421993.73410209373,875513.5791864684
28,4.1475196369434256e-09,18.400000000000002,421921.36122295493,875651.3860435418
29,4.76863971612518e-09,18.400000000000002,421838.1869393785,875809.7855689283
30,5.482776872146399e-09,18.400000000000002,421742.6055448998,875991.8511945852
31,6.303861062955238e-09,18.400000000000002,421632.774631924,876201.103876829
32,7.2479083551481905e-09,18.400000000000002,421506.580910666,876441.5940913262
33,8.333333333333329e-09,18.400000000000002,421361.6012006782,876717.9646793294
34,9.581308294981124e-09,18.400000000000002,421195.05817200744,877035.5416847072
35,1.1016176237216898e-08,18.400000000000002,421003.7700607246,877400.4548582279
36,1.2665925691274434e-08,18.400000000000002,420784.0937089072,877819.7008069459
37,1.4562736666730681e-08,18.400000000000002,420531.8602821049,878301.3208959472
38,1.6743608354708703e-08,18.400000000000002,420242.3029731891,878854.5241204904
39,1.9251080834026304e-08,18.3,419908.9768119191,1002592.8030584728
40,2.213406485788902e-08,18.3,419527.6696137064,1003428.5926298029
41,2.5448795906945086e-08,18.3,419090.2885198732,1004388.1315387696
42,2.9259931118459377e-08,18.3,418588.7620679572,1005489.5123133243
43,3.364181048830456e-08,18.3,418013.912165522,1006753.3578938459
44,3.867990694677316e-08,18.3,417355.3200047513,1008203.1919481306
45,4.447249359338591e-08,18.3,416601.18098328746,1009865.8051556617
46,5.113256061177643e-08,18.3,415738.1500740817,1011771.6034657238
47,5.879001925598867e-08,18.2,414750.18174705596,1137858.291642449
48,6.759423589914056e-08,18.2,413622.3774862691,1140678.7820925175
49,7.771694557360161e-08,18.2,412334.76796926645,1143906.7180700165
50,8.935560183419353e-08,18.2,410866.2051658792,1147598.1092255854
51,1.0273722828683876e-07,18.1,409192.2078943643,1276660.0887832984
52,1.1812284691056698e-07,18.1,407288.8416947903,1282024.8900506482
53,1.3581256955172047e-07,18.1,405126.59266530443,1288141.2573872511
54,1.5615145190503213e-07,18.0,402673.4501110984,1421203.776713308
55,1.7953622416932378e-07,18.0,399897.8454967083,1429937.5303740532
56,2.0642302966597602e-07,17.900000000000002,396761.94171251514,1567058.5664951599
57,2.3733632236965024e-07,17.8,393228.81028609595,1706970.740636264
58,2.7287909690647745e-07,17.7,389258.99527048826,1850241.8753157505
59,3.1374465056603907e-07,17.7,384813.1272966837,1868545.082239606
60,3.6073010675692155e-07,17.6,379848.7824836618,2019545.9189262965
61,4.1475196369434256e-07,17.400000000000002,374326.62483156397,2306754.247879
62,4.76863971612518e-07,17.3,368211.7357818132,2470175.145001014
63,5.482776872146398e-07,17.2,361470.1705117432,2640338.71464785
64,6.303861062955238e-07,17.0,354073.74903432047,2953066.0931528863
65,7.24790835514819e-07,16.900000000000002,346004.91643299744,3140085.1300564213
66,8.333333333333328e-07,16.7,337251.6060571632,3474122.490289732
67,9.581308294981124e-07,16.5,327815.98305259447,3820109.3087506364
68,1.10161762372169e-06,16.3,317711.94769083796,4177868.977609313
69,1.2665925691274434e-06,16.0,306966.16394831554,4694325.929144371
70,1.4562736666730682e-06,15.8,295622.54081931803,5078041.664954896
71,1.6743608354708704e-06,15.600000000000001,283735.915456037,5473118.992836909
72,1.9251080834026305e-06,15.3,271374.2475070634,6040012.748515518
73,2.2134064857889066e-06,15.0,258618.78841770365,6631022.157461998
74,2.544879590694514e-06,14.8,245559.95824664147,7080652.989959782
75,2.925993111845944e-06,14.5,232291.62513380573,7729104.941789911
76,3.3641810488304626e-06,14.200000000000001,218914.1615521404,8418950.953176955
77,3.867990694677316e-06,13.9,205527.60972823005,9158424.73250372
78,4.447249359338591e-06,13.700000000000001,192231.00591127703,9756098.094041811
79,5.1132560611776435e-06,13.4,179115.9662063039,10611956.329956723
80,5.879001925598868e-06,13.200000000000001,166271.75975286242,11322177.460120369
81,6.759423589914056e-06,12.9,153775.7933161261,12322592.163543401
82,7.77169455736016e-06,12.700000000000001,141700.49322230864,13164932.369446024
83,8.935560183419354e-06,12.5,130105.45063439991,14069320.436635736
