,S2,S2_conf
"('p', 'c_V')",0.0789017492263287,0.00460774860060199
"('p', 'r')",0.022308148219562632,0.004055163682391461
"('p', 'k_T')",0.016163970507862974,0.0035180707538017835
"('p', 'd_T')",0.008655884949481118,0.003422779835633764
"('c_V', 'r')",0.06971842978377164,0.008901956879015188
"('c_V', 'k_T')",0.058680764621167364,0.007700556494985885
"('c_V', 'd_T')",0.026785577982575342,0.00762724858909218
"('r', 'k_T')",0.003622207402924571,0.004152746819890443
"('r', 'd_T')",0.0010012605332918555,0.004191937300976169
"('k_T', 'd_T')",0.0020657489633486535,0.003231615725155084
