,S2,S2_conf
"('p', 'c_V')",0.15159174179577672,0.004056584598337549
"('p', 'r')",0.00046206372464686966,0.004194299495665067
"('p', 'k_T')",0.0008048865456216839,0.004130631211092698
"('p', 'd_T')",0.0022876973808984473,0.0041228364897530345
"('p', 'c_T')",0.011677061052747725,0.004181926660922126
"('c_V', 'r')",-0.0002685381478289138,0.006063470524763274
"('c_V', 'k_T')",0.0005255828695687118,0.006034333173198485
"('c_V', 'd_T')",0.004142053937151687,0.00615441970205777
"('c_V', 'c_T')",0.012266288081047641,0.006079993045315664
"('r', 'k_T')",-0.00012789737394098714,0.000367710883407593
"('r', 'd_T')",-0.00015294783969581685,0.0003684926114497241
"('r', 'c_T')",-8.213160223999316e-05,0.0004140624652107558
"('k_T', 'd_T')",0.00037670492438702293,0.0005238607759355625
"('k_T', 'c_T')",0.0005553836572920953,0.0005875612157462084
"('d_T', 'c_T')",8.477244109629523e-05,0.0019149952078544796
