,S2,S2_conf
"('p', 'c_V')",0.02426148515972294,0.1265313223470716
"('p', 'r')",0.001784942489899094,0.002200051165097694
"('p', 'd_T')",0.0015335390191636394,0.0034648135301652205
"('p', 'c_T')",0.002002890444213718,0.0024354843115160464
"('c_V', 'r')",0.3769486011294397,1.6320601379593693
"('c_V', 'd_T')",0.36694053042553376,2.4701028340460254
"('c_V', 'c_T')",0.2329832532394653,1.0175774967925042
"('r', 'd_T')",0.0015376510167991978,0.01148416621385433
"('r', 'c_T')",0.0006010969807910538,0.00451794324334805
"('d_T', 'c_T')",0.001282147323353649,0.0029292276618140926
