,S2,S2_conf
"('beta', 'd_I')",-29790184.96424316,15431383946.971687
"('beta', 'c')",-29790176.0,19138826062.301685
"('beta', 'd_T')",-29790184.97194906,15432004887.285583
"('beta', 'r')",-29790184.971530594,15431533784.505672
"('beta', 'c_T')",-29790184.952756163,15431122363.621956
"('d_I', 'c')",8.076270537097133e+18,5.225794969686881e+26
"('d_I', 'd_T')",-70440235116179.6,4.557874023191959e+21
"('d_I', 'r')",-70440235116229.39,4.5578740231951735e+21
"('d_I', 'c_T')",-70440235116225.58,4.5578740231949234e+21
"('c', 'd_T')",2.463937753124402e+17,1.5943043830248437e+25
"('c', 'r')",2.463937753124402e+17,1.5943043830248437e+25
"('c', 'c_T')",2.463937753124402e+17,1.5943043830248439e+25
"('d_T', 'r')",-40467700.15123098,1442220555731.2998
"('d_T', 'c_T')",-40467700.12870099,1442221808984.013
"('r', 'c_T')",2179895.5471005137,8849840183.99098
