,S2,S2_conf
"('p', 'c_V')",0.05401356591222313,0.05311260585133355
"('p', 'r')",0.00242737116905349,0.017482230462436684
"('p', 'k_T')",0.0025740405617777707,0.01751305354488204
"('p', 'd_T')",0.012649355430065089,0.022876005479704132
"('p', 'c_T')",0.019906762248622086,0.02583979331494684
"('p', 'K')",0.010110881305716342,0.01948108205343246
"('c_V', 'r')",0.008179879521798033,0.02388692414779371
"('c_V', 'k_T')",0.01071531991050488,0.022316970637802008
"('c_V', 'd_T')",0.019026757016665792,0.02401504721472959
"('c_V', 'c_T')",0.03564974914228741,0.03681379379458681
"('c_V', 'K')",0.02271315112572833,0.025163123177586216
"('r', 'k_T')",0.008120641072205628,0.007847857035198653
"('r', 'd_T')",0.0054822110087715745,0.009811951983187192
"('r', 'c_T')",0.00715431758341677,0.008069877845482826
"('r', 'K')",0.008118489200687966,0.007734623065902851
"('k_T', 'd_T')",0.007459949571710346,0.009451808273988392
"('k_T', 'c_T')",0.00930537285448733,0.007718480803654798
"('k_T', 'K')",0.010866311523654958,0.006869877632046492
"('d_T', 'c_T')",0.007590265929920275,0.01889226930090368
"('d_T', 'K')",-0.003400871527990456,0.023024625866326302
"('c_T', 'K')",0.005945058258989835,0.01832817997277116
