,S2,S2_conf
"('p', 'c_V')",0.05935072735581526,0.035211219930351166
"('p', 'r')",-0.0009531669486475408,0.030584743690740587
"('p', 'k_T')",-0.001739869843977811,0.02835614491119773
"('p', 'd_T')",-0.0030972648080053247,0.028688515164414164
"('p', 'c_T')",-0.0025660869102920383,0.027244796017090903
"('p', 'K')",-0.006399578803335804,0.028523934824976307
"('c_V', 'r')",0.06113096354773365,0.0771207459514108
"('c_V', 'k_T')",0.04054583747065149,0.0682242421184333
"('c_V', 'd_T')",0.05040029434695017,0.07327630175892212
"('c_V', 'c_T')",0.002361055263489266,0.0689418772507804
"('c_V', 'K')",0.027143068671795736,0.07000834189947629
"('r', 'k_T')",-0.0016971034565346228,0.029960960503124905
"('r', 'd_T')",-0.008706973035615774,0.028427001873366258
"('r', 'c_T')",-0.004874952866523299,0.030143561084715872
"('r', 'K')",-0.003774069904420009,0.030536993158796506
"('k_T', 'd_T')",0.0077043023010707826,0.017468210400397918
"('k_T', 'c_T')",0.01251729027764776,0.017512854064069144
"('k_T', 'K')",0.009401320698322758,0.01765029852615522
"('d_T', 'c_T')",0.011253100186120989,0.019827272770901648
"('d_T', 'K')",0.013876876926923201,0.019079117099834068
"('c_T', 'K')",0.007222948162574849,0.015573626876159645
