,S2,S2_conf
"('beta', 'd_I')",0.0006158311555379201,0.0007981678839113248
"('beta', 'c')",0.0003744970428519734,0.0010645372343271128
"('beta', 'd_T')",-7.655490278065186e-05,0.0005196598700172647
"('beta', 'r')",-7.655385160321256e-05,0.0005196592903105009
"('beta', 'k_T')",-7.654707017141666e-05,0.0005196581531918362
"('beta', 'K')",0.0012562269456159025,0.0009798339806677326
"('d_I', 'c')",0.005127746133696043,0.002039915906375188
"('d_I', 'd_T')",0.00024752874802168475,0.001366844660631556
"('d_I', 'r')",0.0002471374879700334,0.0013663770740955385
"('d_I', 'k_T')",0.00024534335340542295,0.0013665440897441528
"('d_I', 'K')",0.03893295289165797,0.003848994945017327
"('c', 'd_T')",8.09657615590099e-05,0.018705532295252045
"('c', 'r')",7.727253592090977e-05,0.018705406662074726
"('c', 'k_T')",8.099211189763821e-05,0.018706420276441822
"('c', 'K')",0.059632139696104404,0.01909339005777758
"('d_T', 'r')",1.192398219494667e-06,1.7030539560502798e-06
"('d_T', 'k_T')",1.1923982194946744e-06,1.7030539560502776e-06
"('d_T', 'K')",3.298428939079237e-06,4.779621551970226e-06
"('r', 'k_T')",1.2434214337426463e-06,1.500398696307942e-06
"('r', 'K')",3.646519792754356e-06,3.539895237133879e-06
"('k_T', 'K')",8.753281608743502e-06,8.458200000555143e-06
