,S2,S2_conf
"('beta', 'd_I')",0.008763469985070042,0.015425389334971248
"('beta', 'c')",0.001548709247328403,0.025974629918011086
"('beta', 'd_T')",0.001235611427235437,0.0025191400762697783
"('beta', 'r')",0.0011406228007548543,0.0023115024943235127
"('beta', 'k_T')",0.0011458515488883675,0.0023242082369574917
"('beta', 'c_T')",0.0013209849845307884,0.002668774875571161
"('beta', 'K')",0.0012865751795393596,0.0026143106895510936
"('d_I', 'c')",0.498522173434416,1.0165777766055983
"('d_I', 'd_T')",-0.0008352911848227105,0.1140675974224644
"('d_I', 'r')",-0.011266032086130553,0.09555370688820249
"('d_I', 'k_T')",-0.0027124397407464716,0.10860850412180284
"('d_I', 'c_T')",-0.015117758787242523,0.08059041106696505
"('d_I', 'K')",0.007817374596234144,0.13240369326976825
"('c', 'd_T')",0.017236146907205124,0.046365212992487526
"('c', 'r')",0.005688927830657988,0.04390638626503071
"('c', 'k_T')",0.005132209640913151,0.04344233538574683
"('c', 'c_T')",0.036599653453790765,0.08769497185821543
"('c', 'K')",0.008014410221792521,0.045462431554551395
"('d_T', 'r')",-0.0003319317444649055,0.0007534979794434033
"('d_T', 'k_T')",-0.00033375498667124006,0.0007566303004382126
"('d_T', 'c_T')",-0.00044635044886677056,0.0008616139980993815
"('d_T', 'K')",-0.00039432567368026327,0.0008393986326818613
"('r', 'k_T')",4.9550940954300186e-05,0.00012291296613160536
"('r', 'c_T')",5.549388392801953e-05,0.00012517538056708375
"('r', 'K')",5.305497234503853e-05,0.00012487201644223139
"('k_T', 'c_T')",-0.00021539052354817572,0.0007932987680260809
"('k_T', 'K')",-0.00021365631388836222,0.0007934743764277627
"('c_T', 'K')",-0.0010017354853874907,0.001776510655548297
