,S2,S2_conf
"('beta', 'd_I')",-330596.14862693445,98091533.37377651
"('beta', 'c')",-330596.1486297231,98091511.5013928
"('beta', 'd_T')",-330596.14862072695,98091525.29595777
"('beta', 'r')",-330596.14862821373,98091524.43042171
"('beta', 'K')",-330596.1486325009,98091532.99767232
"('d_I', 'c')",-140082442387984.48,4.6838448999038616e+20
"('d_I', 'd_T')",-141616655395443.66,4.735144121575212e+20
"('d_I', 'r')",-141616655435989.22,4.735144122930927e+20
"('d_I', 'K')",-141616655421213.28,4.735144122436867e+20
"('c', 'd_T')",13427013.380160365,44730393835788.9
"('c', 'r')",13427013.379847968,44730393834899.46
"('c', 'K')",13427013.37984488,44730393834903.5
"('d_T', 'r')",-56046.134335502065,227132827417.58078
"('d_T', 'K')",-56046.134324675615,227132827449.1858
"('r', 'K')",49497.46327642721,299928155.86791325
