,S2,S2_conf
"('p', 'c_V')",0.008269886108804565,0.01076432083415682
"('p', 'r')",0.00013145418330189724,0.0015071219166787235
"('p', 'k_T')",0.0015179239254796135,0.004574525759353697
"('p', 'd_T')",5.1879820790461974e-05,0.003719293181763255
"('p', 'c_T')",0.000909557558732333,0.0016372516875831316
"('c_V', 'r')",-0.0022227108481446866,0.005958835096329482
"('c_V', 'k_T')",0.38712240682336024,1.1908334089041464
"('c_V', 'd_T')",-0.0031965704214838284,0.007355419772315504
"('c_V', 'c_T')",0.0007587051080630881,0.0054977276484134965
"('r', 'k_T')",0.0002757782766527601,0.0017400177563786834
"('r', 'd_T')",-0.000644798740892974,0.0015861690888337731
"('r', 'c_T')",-0.0007021197132644,0.0014100042765956223
"('k_T', 'd_T')",0.0021354946176688873,0.007316523823417616
"('k_T', 'c_T')",0.0017887146980335358,0.0058454316122464635
"('d_T', 'c_T')",-0.0008486401426969587,0.004338432670393621
