,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,9.99999999119164e-05,1.960792385830161e-05,1.0,0.010000000000000004,0.9999999982719046,1.6431130372439569,891.1012549251318,259760.2845617244,1000000.0,0.0,25.0,477428.0,3.0712893848968834
1,9.999999991609039e-05,1.9617758186475105e-05,1.0,0.013738237958832639,0.9999999948183937,1.712766277030191,977.3106609508395,259856.68630758114,1000000.0,0.0,25.0,477428.0,3.0591863859979367
2,9.99999997118554e-05,1.949745124316667e-05,1.0,0.018873918221350972,0.9999999836982703,1.7957696662724771,1082.0237005352974,260127.40397487953,1000000.0,0.0,25.0,477428.0,3.0429507628738732
3,9.99999982198257e-05,1.9309715932279587e-05,1.0,0.025929437974046683,0.9225594913221613,1.62892025493867,1011.7803267911077,261412.91950449347,1000000.0,0.0,25.0,477428.0,3.0212981255303824
4,9.999999956954861e-05,1.9178241503662715e-05,1.0,0.035622478902624426,0.8122123450917295,1.389165909729357,889.1013841554523,263653.46815986093,1000000.0,0.0,25.0,477428.0,2.9916380493451546
5,9.999999907180597e-05,1.9024022247503725e-05,1.0,0.04893900918477494,0.7025917849708102,1.1788012050254437,784.0330921635032,266677.86217092536,1000000.0,0.0,25.0,477428.0,2.9509913270591315
6,9.999999984046208e-05,1.8787174872805914e-05,1.0,0.06723357536499339,0.594436088712232,0.9941013191583039,695.035496249795,270369.47302340344,1000000.0,0.0,25.0,477428.0,2.895397728902364
7,9.999999954471314e-05,1.8483244420032878e-05,1.0,0.09236708571873864,0.4881257063536261,0.832825493730347,623.5236916393042,275105.5839445926,1000000.0,0.0,25.0,477428.0,2.8195632711398892
8,9.999999910795197e-05,1.8119645094346567e-05,1.0,0.12689610031679222,0.3832561092040952,0.6922736326041417,572.8165679052472,281190.5650869133,1000000.0,0.0,25.0,477428.0,2.716505017820478
9,9.999999997933045e-05,1.7702053651824615e-05,1.0,0.17433288221999876,0.278777133511512,0.5707647585814115,554.2352577894926,288661.73722384963,1000000.0,0.0,25.0,477428.0,2.577228191772155
10,9.999999956679616e-05,1.7247611599883103e-05,1.0,0.23950266199874848,0.17226978648127605,0.4691704163165724,612.1615635380149,296848.82718854584,1000000.0,0.0,25.0,477428.0,2.3907768028540253
11,9.999999995295638e-05,1.651508692663418e-05,1.0,0.3290344562312668,0.06038276949434135,0.4007137318019858,981.759638145566,300987.1960667223,1000000.0,0.0,25.0,477428.0,2.1465554506868143
12,9.999999996240782e-05,7.758408334000885e-06,1.0,0.4520353656360242,0.00010000007343013984,0.3157649678991916,987.0814578831196,233864.8991142502,1000000.0,0.0,25.0,477428.0,1.8502574781137333
13,9.999999994110442e-05,2.2062892483397834e-06,1.0,0.6210169418915613,0.00010000005497584619,0.234546941294127,251.42549796402454,191567.95555486623,1000000.0,0.0,25.0,477428.0,1.5514790184439666
14,4.682447658004914e-05,1.762934502333407e-06,1.0,0.8531678524172807,0.0001000000010887292,0.21473217459089255,99.34078513085842,320248.4846504219,1000000.0,0.0,25.0,477428.0,1.3245280091334992
15,1.9032518061113177e-05,3.77434279657078e-06,1.0,1.1721022975334792,0.00010000000124860131,0.2046998242247824,30.772008635103703,1320947.117343177,1000000.0,0.0,25.0,477428.0,1.1921638638310255
16,1.6140750916908716e-05,3.4867648086566933e-06,1.0,1.6102620275609385,0.0009722611174508011,0.19816425846498475,10.00000000745058,9999999.990243427,1000000.0,0.0,25.0,477428.0,1.1859766296498897
17,2.558109966563143e-05,4.885371977856508e-07,1.0,2.212216291070449,0.00010000006549221174,0.19875119660748908,10.000000074505806,614522.7307321755,1000000.0,0.0,25.0,477428.0,1.1501552292603672
18,2.6219608787241465e-05,4.287971914598818e-07,1.0,3.039195382313195,0.00010000000010340626,0.19951059973337948,10.0,725388.757925719,1000000.0,0.0,25.0,477428.0,1.144875256836333
19,2.784896728288506e-05,4.036793742882944e-07,1.0,4.175318936560399,0.00010000000026416656,0.2000174884465835,10.0,888739.0972874328,1000000.0,0.0,25.0,477428.0,1.1393040790250315
20,3.055451121200847e-05,3.984358377321479e-07,1.0,5.736152510448673,0.00010000000003151932,0.2007308392943017,10.0,1165206.0684584873,1000000.0,0.0,25.0,477428.0,1.1322851162128105
21,3.436176054090463e-05,4.240049917239003e-07,1.0,7.8804628156699055,0.00010000006375110448,0.20192691812601993,10.00000037252903,1910502.6579117314,1000000.0,0.0,25.0,477428.0,1.1230715656630625
22,4.1854331698285764e-05,4.656123096489847e-07,1.0,10.826367338740537,0.00010000017845457343,0.2049169960652435,10.000000290572643,5394814.203966115,1000000.0,0.0,25.0,477428.0,1.112499804343831
23,5.526810568971362e-05,4.2467105876663446e-07,1.0,14.873521072935095,0.00010000112165181596,0.2133422892695549,16.61445066332817,6509013.354953605,1000000.0,0.0,25.0,477428.0,1.1138433153739802
24,7.440741574295964e-05,3.820616848768761e-07,1.0,20.4335971785694,0.00010000000161297651,0.22135256728974184,24.42214486002922,6697307.748860564,1000000.0,0.0,25.0,477428.0,1.1289548413382042
25,9.999999991534557e-05,3.451524756968271e-07,1.0,28.07216203941175,0.00010000422712691526,0.23058690700288054,34.887671768665314,7519089.008503175,1000000.0,0.0,25.0,477428.0,1.1584465178342118
26,9.999999999999271e-05,2.747414986482602e-07,1.0,38.56620421163467,0.0330803564984673,0.31609931043632145,95.80781369656324,9999999.998603739,1000000.0,0.0,25.0,477428.0,1.5895762190322715
27,9.999999998088499e-05,1.7517919738749667e-07,1.0,52.983169062837035,0.07919802785107105,0.5190338161871964,348.3476575985551,7882291.119204611,1000000.0,0.0,25.0,477428.0,2.451802787770861
28,9.999999994329076e-05,1.0107009582584295e-07,1.0,72.78953843983146,0.1317406015096555,0.7385868579938233,209.95389368385077,6874210.380248431,1000000.0,0.0,25.0,477428.0,3.4483560432891367
29,9.999999999764624e-05,5.680512731598024e-08,1.0,99.99999999999994,0.1582188346272137,0.8443464116592665,53.45904214680195,7489025.8364604665,1000000.0,0.0,25.0,477428.0,4.380385148435791
