,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,9.700000000000001,505132.64543535537,20837158.630924217
1,1.4508287784959373e-16,9.700000000000001,505132.64543535403,20837158.630924214
2,2.1049041445120218e-16,9.700000000000001,505132.6454353537,20837158.630924243
3,3.0538555088334123e-16,9.700000000000001,505132.6454353574,20837158.63092433
4,4.4306214575838864e-16,9.700000000000001,505132.64543534926,20837158.630924053
5,6.428073117284319e-16,9.700000000000001,505132.6454353501,20837158.630924128
6,9.32603346883218e-16,9.700000000000001,505132.6454353494,20837158.63092403
7,1.3530477745798075e-15,9.700000000000001,505132.6454353446,20837158.630923938
8,1.9630406500402685e-15,9.700000000000001,505132.6454353432,20837158.63092379
9,2.8480358684358048e-15,9.700000000000001,505132.6454353417,20837158.630923774
10,4.132012400115335e-15,9.700000000000001,505132.6454353408,20837158.63092364
11,5.994842503189421e-15,9.700000000000001,505132.6454353432,20837158.630923707
12,8.697490026177834e-15,9.700000000000001,505132.64543534024,20837158.630923573
13,1.2618568830660185e-14,9.700000000000001,505132.64543533063,20837158.630923115
14,1.8307382802953698e-14,9.700000000000001,505132.6454353285,20837158.630922966
15,2.656087782946684e-14,9.700000000000001,505132.6454353095,20837158.6309221
16,3.853528593710535e-14,9.700000000000001,505132.6454352928,20837158.630921178
17,5.590810182512223e-14,9.700000000000001,505132.64543525764,20837158.630919594
18,8.111308307896889e-14,9.700000000000001,505132.64543522155,20837158.63091776
19,1.176811952434999e-13,9.700000000000001,505132.64543516503,20837158.63091485
20,1.7073526474706888e-13,9.700000000000001,505132.6454350758,20837158.630910654
21,2.477076355991714e-13,9.700000000000001,505132.64543494704,20837158.63090442
22,3.593813663804626e-13,9.700000000000001,505132.6454347564,20837158.630895272
23,5.214008287999695e-13,9.700000000000001,505132.64543449646,20837158.63088254
24,7.564633275546291e-13,9.700000000000001,505132.64543410635,20837158.63086365
25,1.097498765493059e-12,9.700000000000001,505132.64543353784,20837158.630836193
26,1.5922827933410938e-12,9.700000000000001,505132.6454327253,20837158.63079661
27,2.310129700083158e-12,9.700000000000001,505132.6454315421,20837158.630739223
28,3.351602650938848e-12,9.700000000000001,505132.6454298235,20837158.63065578
29,4.8626015800653536e-12,9.700000000000001,505132.64542732463,20837158.630534615
30,7.054802310718631e-12,9.700000000000001,505132.6454237096,20837158.630359128
31,1.0235310218990269e-11,9.700000000000001,505132.6454184555,20837158.630104292
32,1.4849682622544695e-11,9.700000000000001,505132.64541083906,20837158.62973464
33,2.1544346900318868e-11,9.700000000000001,505132.6453997772,20837158.629198175
34,3.125715849688235e-11,9.700000000000001,505132.6453837456,20837158.628420137
35,4.5348785081285915e-11,9.700000000000001,505132.64536048693,20837158.627291508
36,6.579332246575682e-11,9.700000000000001,505132.64532673673,20837158.625653803
37,9.545484566618327e-11,9.700000000000001,505132.6452777647,20837158.62327761
38,1.3848863713938747e-10,9.700000000000001,505132.6452067135,20837158.619830154
39,2.009233002565054e-10,9.700000000000001,505132.6451036489,20837158.614828937
40,2.915053062825182e-10,9.700000000000001,505132.6449540988,20837158.60757261
41,4.229242874389499e-10,9.700000000000001,505132.6447371386,20837158.597045194
42,6.135907273413189e-10,9.700000000000001,505132.64442236297,20837158.581771616
43,8.902150854450393e-10,9.700000000000001,505132.6439656888,20837158.559612386
44,1.2915496650148826e-09,9.700000000000001,505132.6433031158,20837158.527462784
45,1.873817422860387e-09,9.700000000000001,505132.64234184154,20837158.480819434
46,2.7185882427329512e-09,9.700000000000001,505132.6409471929,20837158.41314772
47,3.944206059437664e-09,9.700000000000001,505132.6389238091,20837158.31496807
48,5.72236765935022e-09,9.700000000000001,505132.63598820975,20837158.172525868
49,8.302175681319769e-09,9.700000000000001,505132.6317291648,20837157.965866685
50,1.2045035402587836e-08,9.700000000000001,505132.6255500215,20837157.666039664
51,1.7475284000076902e-08,9.700000000000001,505132.61658514285,20837157.231042016
52,2.5353644939701166e-08,9.700000000000001,505132.60357864265,20837156.59993502
53,3.678379771828634e-08,9.700000000000001,505132.584708435,20837155.684306838
54,5.336699231206324e-08,9.700000000000001,505132.5573309964,20837154.355887353
55,7.742636826811277e-08,9.700000000000001,505132.5176110186,20837152.42857838
56,1.1233240329780311e-07,9.700000000000001,505132.45998413267,20837149.632383797
57,1.6297508346206468e-07,9.700000000000001,505132.376377403,20837145.575586084
58,2.3644894126454072e-07,9.700000000000001,505132.2550783641,20837139.689870264
59,3.430469286314926e-07,9.700000000000001,505132.07909427444,20837131.150712226
60,4.977023564332114e-07,9.700000000000001,505131.8237715495,20837118.76187076
61,7.220809018385486e-07,9.700000000000001,505131.45334214537,20837100.787815284
62,1.0476157527896663e-06,9.700000000000001,505130.9159128496,20837074.71060639
63,1.5199110829529394e-06,9.700000000000001,505130.1361956335,20837036.877183698
64,2.2051307399030503e-06,9.700000000000001,505129.0049608646,20836981.987664636
65,3.1992671377973847e-06,9.700000000000001,505127.363735925,20836902.353002176
66,4.641588833612791e-06,9.700000000000001,505124.9826058967,20836786.8180714
67,6.7341506577508285e-06,9.700000000000001,505121.5280072195,20836619.199464753
68,9.770099572992287e-06,9.700000000000001,505116.51600409317,20836376.019453686
69,1.4174741629268077e-05,9.700000000000001,505109.2448844521,20836023.22550291
70,2.05651230834866e-05,9.700000000000001,505098.6930063054,20835511.33308979
71,2.9836472402833465e-05,9.700000000000001,505083.388640219,20834768.85512826
72,4.328761281083062e-05,9.700000000000001,505061.17476534325,20833691.495377783
73,6.280291441834272e-05,9.700000000000001,505028.9603883125,20832128.977549188
74,9.111627561154906e-05,9.700000000000001,504982.2252827766,20829862.543514363
75,0.00013219411484660342,9.700000000000001,504914.4257801681,20826575.412775673
76,0.00019179102616724927,9.700000000000001,504816.0711111863,20821808.614987563
77,0.0002782559402207126,9.700000000000001,504673.398047102,20814897.574931342
78,0.00040370172585965663,9.700000000000001,504466.4511851753,20804880.857538845
79,0.0005857020818056673,9.700000000000001,504166.30779383885,20790369.400731556
80,0.0008497534359086473,9.700000000000001,503731.07127710356,20769360.23239418
81,0.0012328467394420685,9.700000000000001,503100.0480874539,20738972.368801665
82,0.0017886495290574424,9.700000000000001,502185.46247543005,20695079.555783726
83,0.002595024211399743,9.700000000000001,500860.49873426993,20631806.975804314
