,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,17.8,852405.4063628695,2657206.330583579
1,9.581308294981124e-11,17.8,852387.7200945513,2657210.826304679
2,1.1016176237216899e-10,17.8,852367.3862939597,2657215.988963703
3,1.2665925691274435e-10,17.8,852344.0088319033,2657221.9164013853
4,1.4562736666730682e-10,17.8,852317.1323709707,2657228.72045422
5,1.6743608354708706e-10,17.8,852286.2335357005,2657236.5288391463
6,1.9251080834026304e-10,17.8,852250.7107722918,2657245.4872518233
7,2.213406485788902e-10,17.8,852209.8727053197,2657255.761689209
8,2.544879590694509e-10,17.8,852162.9247716377,2657267.541000488
9,2.9259931118459375e-10,17.8,852108.953879972,2657281.039662362
10,3.364181048830456e-10,17.8,852046.9108092694,2657296.5007607816
11,3.8679906946773077e-10,17.8,851975.590019016,2657314.199143143
12,4.4472493593385817e-10,17.8,851893.6064987804,2657334.444676578
13,5.113256061177633e-10,17.8,851799.3692342577,2657357.585510332
14,5.879001925598856e-10,17.8,851691.0508094629,2657384.0111856014
15,6.75942358991407e-10,17.8,851566.5526013465,2657414.15536311
16,7.771694557360145e-10,17.8,851423.4649626566,2657448.5102044484
17,8.935560183419373e-10,17.8,851259.0216455844,2657487.5774219856
18,1.0273722828683854e-09,17.8,851070.0478313427,2657531.9423529664
19,1.1812284691056722e-09,17.8,850852.900712013,2657582.21983005
20,1.3581256955172047e-09,17.8,850603.4018024722,2657639.0590089266
21,1.5615145190503214e-09,17.8,850316.7598537861,2657703.165035948
22,1.7953622416932376e-09,17.8,849987.4832638279,2657775.1366030006
23,2.0642302966597604e-09,17.8,849609.2805868099,2657855.6436205367
24,2.3733632236965027e-09,17.8,849174.9479574993,2657945.2382021775
25,2.7287909690647747e-09,17.8,848676.2418603955,2658044.319355158
26,3.1374465056603906e-09,17.8,848103.735806027,2658153.033165032
27,3.6073010675692158e-09,17.8,847446.6594026336,2658271.1330624325
28,4.1475196369434256e-09,17.8,846692.7183661822,2658397.7856761343
29,4.76863971612518e-09,17.8,845827.8941418871,2658531.303273081
30,5.482776872146399e-09,17.8,844836.2220794491,2658668.786481131
31,6.303861062955238e-09,17.8,843699.5473733166,2658805.5857831165
32,7.2479083551481905e-09,17.8,842397.2589073926,2658934.686360268
33,8.333333333333329e-09,17.8,840906.0016284983,2659045.7605725224
34,9.581308294981124e-09,17.7,839198.3743350666,2859325.9647200033
