,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,3893416.9738499527,11661691.800544739
1,1.0974987654930568e-08,19.0,3777969.1076412294,10507958.356097363
2,1.204503540258781e-08,19.0,3663507.2515784334,9432036.541413685
3,1.3219411484660288e-08,19.0,3550115.1841633534,8441904.635874592
4,1.4508287784959402e-08,19.0,3437868.231927774,7539866.709174111
5,1.592282793341094e-08,19.0,3326835.6293521356,6724217.084975705
6,1.747528400007683e-08,19.0,3217082.3327761907,5990696.578298396
7,1.9179102616724886e-08,19.0,3108670.184382289,5333621.660594378
8,2.104904144512022e-08,19.0,3001659.008573138,4746669.337766852
9,2.310129700083158e-08,19.0,2896107.146702159,4223390.3843203215
10,2.5353644939701113e-08,19.0,2792071.7284042016,3757521.1596527183
11,2.782559402207126e-08,19.0,2689609.027674022,3343160.777804354
12,3.053855508833412e-08,19.0,2588774.4159118272,2974854.559088219
13,3.351602650938841e-08,19.0,2489622.497434543,2647626.513174402
14,3.678379771828634e-08,19.0,2392206.81849879,2356975.701278835
15,4.037017258596558e-08,19.0,2296579.7836329234,2098855.4259440335
16,4.4306214575838774e-08,18.8,2202790.7595554143,5662257.964900522
17,4.8626015800653535e-08,18.5,2110891.0409098454,10236698.366132919
18,5.3366992312063125e-08,18.1,2020928.487689389,15504239.627423331
19,5.857020818056673e-08,17.8,1932950.9377051254,18239091.603941698
20,6.42807311728432e-08,17.5,1847001.0143381932,20325584.405832585
21,7.054802310718646e-08,17.1,1763118.952629463,23131406.005579658
22,7.742636826811277e-08,16.8,1681345.2619216973,24117680.769553456
23,8.497534359086438e-08,16.400000000000002,1601713.4008382496,25814003.716083545
24,9.3260334688322e-08,16.1,1524257.7223921174,26043652.652976893
25,1.0235310218990269e-07,15.8,1449005.9506519518,26033902.093057588
26,1.1233240329780266e-07,15.4,1375982.1642549315,26682306.72686865
27,1.232846739442066e-07,15.100000000000001,1305209.4566049797,26261827.15354235
28,1.3530477745798075e-07,14.700000000000001,1236702.7696314242,26460113.149643354
29,1.4849682622544636e-07,14.4,1170476.7102700027,25786687.928682953
30,1.6297508346206436e-07,14.0,1106537.3525352343,25688923.147662252
31,1.7886495290574352e-07,13.700000000000001,1044890.1896363809,24875989.544577118
32,1.9630406500402725e-07,13.4,985532.881936904,24046518.254981637
33,2.1544346900318867e-07,13.0,928458.323854929,23723067.19341099
34,2.3644894126454072e-07,12.700000000000001,873657.5439877172,22862111.431490764
35,2.5950242113997374e-07,12.4,821113.6455199723,22020613.02831374
36,2.848035868435805e-07,12.100000000000001,770805.9007060312,21205574.045687035
37,3.125715849688235e-07,11.8,722708.7808716985,20422671.063485116
38,3.4304692863149193e-07,11.5,676792.023993912,19676490.22516294
39,3.764935806792471e-07,11.200000000000001,633020.7610188944,18970730.13891068
40,4.1320124001153343e-07,10.9,591355.6298605035,18308383.72425307
41,4.534878508128582e-07,10.600000000000001,551752.9164840593,17691894.117905926
42,4.977023564332114e-07,10.4,514165.70604617277,16837908.03805288
43,5.462277217684337e-07,10.100000000000001,478540.01545605593,16333418.73451415
44,5.994842503189409e-07,9.9,444821.8347213308,15622969.938204035
45,6.579332246575682e-07,9.700000000000001,412950.21193147864,14988591.410387438
46,7.220809018385472e-07,9.5,382861.3085621557,14427233.07908971
47,7.924828983539186e-07,9.4,354488.47979274025,13718898.831050273
48,8.697490026177835e-07,9.3,327759.2491011827,13098366.816398086
49,9.545484566618346e-07,9.1,302597.7444691984,12755375.118979948
50,1.0476157527896663e-06,9.1,278928.95885295176,12094497.968812624
51,1.1497569953977357e-06,9.0,256669.4469329527,11698758.245303474
52,1.261856883066021e-06,9.0,235739.32412754872,11192848.85971797
53,1.3848863713938746e-06,9.0,216055.45595938998,10755615.019757286
54,1.519911082952933e-06,9.0,197536.8756832978,10378338.716379676
55,1.6681005372000591e-06,9.1,180106.35984870454,9898758.163987288
56,1.8307382802953698e-06,9.1,163688.18744603547,9620608.134243239
57,2.0092330025650458e-06,9.3,148217.75809779565,9089546.15284266
58,2.2051307399030456e-06,9.4,133632.3934873206,8740132.55451288
59,2.4201282647943835e-06,9.600000000000001,119883.90707167637,8281739.65440677
60,2.656087782946684e-06,9.8,106932.28861376118,7846585.740398654
61,2.9150530628251817e-06,10.100000000000001,94751.97644509,7303054.857204446
62,3.1992671377973847e-06,10.5,83329.65354358398,6659927.921915693
63,3.5111917342151347e-06,10.9,72664.2699532213,6035753.515135538
64,3.853528593710536e-06,11.4,62768.21141231083,5326386.2709056595
65,4.229242874389499e-06,12.0,53660.51361272061,4554542.429692884
66,4.641588833612782e-06,12.9,45363.297314174124,3595295.8780020205
67,5.094138014816386e-06,13.9,37886.85914347016,2681932.275954653
68,5.590810182512223e-06,15.3,31229.078615528837,1688916.4962251056
69,6.1359072734131755e-06,17.2,25360.62249660794,703351.4939847833
70,6.7341506577508285e-06,19.0,20213.445416060407,30808.259386923015
71,7.390722033525775e-06,19.0,15604.407676388952,27574.197606555503
72,8.111308307896873e-06,19.0,11142.014379814682,23192.820204776515
73,8.902150854450392e-06,19.0,6001.833121701766,14085.95002224663
74,9.770099572992246e-06,19.0,1570.2396667872217,3478.33637970842
75,1.0722672220103253e-05,19.0,318.3353152678921,509.19958420805636
76,1.1768119524349992e-05,4.1000000000000005,63.34969051965398,27229.90167336572
77,1.2915496650148827e-05,2.2,35.662814413128665,18189.200716470503
78,1.4174741629268077e-05,1.6,26.555228578710903,13559.154206427547
79,1.5556761439304724e-05,1.2000000000000002,20.947844970956766,11021.73068800694
80,1.7073526474706923e-05,1.0,17.96684818714336,9379.400284034848
81,1.8738174228603867e-05,0.9,16.308322806306066,8237.689539370811
82,2.0565123083486515e-05,0.8,14.82767302888328,7426.53153071002
83,2.2570197196339216e-05,0.7000000000000001,13.457730116297105,6824.54769482461
84,2.477076355991714e-05,0.7000000000000001,13.174570601727298,6325.354514337802
85,2.71858824273294e-05,0.6000000000000001,11.941463651695258,5965.652448217478
86,2.9836472402833404e-05,0.6000000000000001,11.758957113751173,5644.227329389565
87,3.274549162877732e-05,0.6000000000000001,11.593035696084467,5379.685890597405
88,3.5938136638046256e-05,0.5,10.455151370415237,5190.331595347586
89,3.944206059437664e-05,0.5,10.35092184008714,5003.955956126229
90,4.328761281083062e-05,0.5,10.255754724097063,4845.273794996506
91,4.750810162102793e-05,0.5,10.168939312338379,4709.125061979252
92,5.214008287999695e-05,0.5,10.089799347730379,4591.462840089083
93,5.72236765935022e-05,0.5,10.01769804480436,4489.238099597241
94,6.28029144183426e-05,0.5,9.952039523173077,4399.891259786765
95,6.89261210434971e-05,0.4,8.904105525657117,4347.225572134789
96,7.56463327554629e-05,0.4,8.864298451880472,4278.051243312585
97,8.302175681319752e-05,0.4,8.82794219462505,4216.895227538631
98,9.111627561154906e-05,0.4,8.794755251198836,4162.710186447891
99,0.0001,0.4,8.76447487287633,4114.431424743824
