,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.0,2.5,166026.0215399936
1,1.0974987654930568e-08,0.0,2.5,166104.3617648715
2,1.204503540258781e-08,0.0,2.5,166190.38481369722
3,1.3219411484660288e-08,0.0,2.5,166284.84886029124
4,1.4508287784959402e-08,0.0,2.5,166388.58662255423
5,1.592282793341094e-08,0.0,2.5,166502.5171831445
6,1.747528400007683e-08,0.0,2.5,166627.64992572146
7,1.9179102616724886e-08,0.0,2.5,166765.09529245785
8,2.104904144512022e-08,0.0,2.5,166916.0778748865
9,2.310129700083158e-08,0.0,2.5,167081.94624143612
10,2.5353644939701113e-08,0.0,2.5,167264.18438758905
11,2.782559402207126e-08,0.0,2.5,167464.4300066812
12,3.053855508833412e-08,0.0,2.5,167684.48833278162
13,3.351602650938841e-08,0.0,2.5,167926.35023681796
14,3.678379771828634e-08,0.0,2.5,168192.2141049715
15,4.037017258596558e-08,0.0,2.5,168484.50729477077
16,4.4306214575838774e-08,0.0,2.5,168805.91216967287
17,4.8626015800653535e-08,0.0,2.5,169159.39420333813
18,5.3366992312063125e-08,0.0,2.5,169548.23581956548
19,5.857020818056673e-08,0.0,2.5,169976.06880533617
20,6.42807311728432e-08,0.0,2.5,170446.92348002075
21,7.054802310718646e-08,0.0,2.5,170965.2656035282
22,7.742636826811277e-08,0.0,2.5,171536.0585479644
23,8.497534359086438e-08,0.0,2.5,172164.81836076637
24,9.3260334688322e-08,0.0,2.5,172857.6847226274
25,1.0235310218990269e-07,0.0,2.5,173621.50031382107
26,1.1233240329780266e-07,0.0,2.5,174463.90149491074
27,1.232846739442066e-07,0.0,2.5,175393.43082478407
28,1.3530477745798075e-07,0.0,2.5,176419.6496989312
29,1.4849682622544636e-07,0.0,2.5,177553.28521138092
30,1.6297508346206436e-07,0.0,2.5,178806.40283979656
31,1.7886495290574352e-07,0.0,2.5,180192.5892018124
32,1.9630406500402725e-07,0.0,2.5,181727.1964397432
33,2.1544346900318867e-07,0.0,2.5,183427.6082625309
34,2.3644894126454072e-07,0.0,2.5,185313.57012862538
35,2.5950242113997374e-07,0.0,2.5,187407.57155290898
36,2.848035868435805e-07,0.0,2.5,189735.3214839839
37,3.125715849688235e-07,0.0,2.5,192326.31640680964
38,3.4304692863149193e-07,0.0,2.5,195214.52851808092
39,3.764935806792471e-07,0.0,2.5,198439.25561146688
40,4.1320124001153343e-07,0.0,2.5,202046.16594394224
41,4.534878508128582e-07,0.0,2.5,206088.6051333134
42,4.977023564332114e-07,0.0,2.5,210629.21197906206
43,5.462277217684337e-07,0.0,2.5,215741.99851715055
44,5.994842503189409e-07,0.0,2.5,221514.94830765168
45,6.579332246575682e-07,0.0,2.5,228053.39760016112
46,7.220809018385472e-07,0.0,2.5,235484.38622028226
47,7.924828983539186e-07,0.0,2.5,243962.3995686977
48,8.697490026177835e-07,0.0,2.5,253676.949932106
49,9.545484566618346e-07,0.0,2.5,264862.71363356896
50,1.0476157527896663e-06,0.0,2.5,277813.3340250873
51,1.1497569953977357e-06,0.0,2.5,292900.3331615504
52,1.261856883066021e-06,0.0,2.5,310599.5171626756
53,1.3848863713938746e-06,0.0,2.5,331528.2105909899
54,1.519911082952933e-06,0.0,2.5,356498.8640354066
55,1.6681005372000591e-06,0.0,2.5,386597.1135384454
56,1.8307382802953698e-06,0.0,2.5,423297.68165286473
57,2.0092330025650458e-06,0.0,2.5,468639.5550157155
58,2.2051307399030456e-06,0.0,2.5,525494.269436326
59,2.4201282647943835e-06,0.0,2.5,597985.7930978601
60,2.656087782946684e-06,0.0,2.5,692154.0040142885
61,2.9150530628251817e-06,0.0,2.5,817013.7232729124
62,3.1992671377973847e-06,0.0,2.5,986245.3187223542
63,3.5111917342151347e-06,0.0,2.5,1220844.285569444
64,3.853528593710536e-06,0.0,2.5,1553079.767958578
65,4.229242874389499e-06,0.0,2.5,2031805.4832649245
66,4.641588833612782e-06,0.0,2.5,2728042.755182929
67,5.094138014816386e-06,0.0,2.5,3737545.463974044
68,5.590810182512223e-06,0.0,2.5,5174919.012498104
69,6.1359072734131755e-06,15.9,51.173330300822144,3194073.688580647
70,6.7341506577508285e-06,16.7,118.35306276983503,3457207.1552420105
71,7.390722033525775e-06,16.6,184.17693344105257,4758997.906050777
72,8.111308307896873e-06,16.3,270.28360144419156,6733575.104174558
73,8.902150854450392e-06,16.0,393.98968258338965,9140850.132728767
74,9.770099572992246e-06,15.700000000000001,588.0089344898972,12013537.640391821
75,1.0722672220103253e-05,15.600000000000001,916.992542462635,14641853.366944524
76,1.1768119524349992e-05,15.5,1506.7970546708375,17572985.341508426
77,1.2915496650148827e-05,15.5,2632.817106917324,20265313.76799334
78,1.4174741629268077e-05,15.600000000000001,4884.656792532069,22357607.092336982
79,1.5556761439304724e-05,15.600000000000001,9406.328174837909,24595773.016735256
80,1.7073526474706923e-05,15.4,17788.508604294584,27181414.46870013
81,1.8738174228603867e-05,15.100000000000001,30668.62766056762,28906153.43539748
82,2.0565123083486515e-05,14.600000000000001,46371.08045812296,30495467.340263896
83,2.2570197196339216e-05,14.0,62403.35674952821,31805176.69405265
84,2.477076355991714e-05,13.5,77265.9812171218,32211623.412547894
85,2.71858824273294e-05,13.100000000000001,90474.4181039465,32159074.97932366
86,2.9836472402833404e-05,12.700000000000001,102040.62360846321,32330114.327271227
87,3.274549162877732e-05,12.4,112161.34760442098,32279471.43151194
88,3.5938136638046256e-05,12.100000000000001,121063.60007694081,32473917.007883284
89,3.944206059437664e-05,12.0,128961.52363396119,32024023.59954109
90,4.328761281083062e-05,11.8,136029.0451893843,32186308.39392073
91,4.750810162102793e-05,11.700000000000001,142412.0379671332,32072970.81486057
92,5.214008287999695e-05,11.600000000000001,148213.3410596507,32066707.887184262
93,5.72236765935022e-05,11.5,153516.6693929888,32136570.867550597
94,6.28029144183426e-05,11.4,158380.73947187996,32260232.793156616
95,6.89261210434971e-05,11.3,162853.1476381891,32422318.002622362
96,7.56463327554629e-05,11.3,166972.36909320965,32227821.798294928
