,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,17.5,464618.99517903046,165362308.97650218
1,1.0974987654930568e-08,17.400000000000002,456625.88963105634,160085633.0184549
2,1.204503540258781e-08,17.3,448636.3816064785,154440784.4375227
3,1.3219411484660288e-08,17.2,440650.81733597687,148534810.10551596
4,1.4508287784959402e-08,17.1,432669.57728376705,142458642.97190294
5,1.592282793341094e-08,17.0,424693.0776628824,136289120.15361652
6,1.747528400007683e-08,16.900000000000002,416721.7741917835,130090769.99866752
7,1.9179102616724886e-08,16.8,408756.166435344,123917392.40594299
8,2.104904144512022e-08,16.7,400796.7988281006,117813455.81937918
9,2.310129700083158e-08,16.6,392844.2706950109,111815330.4733753
10,2.5353644939701113e-08,16.5,384899.2347664193,105952376.53365228
11,2.782559402207126e-08,16.400000000000002,376962.4048885968,100247902.25509219
12,3.053855508833412e-08,16.3,369034.56203550386,94720007.76092906
13,3.351602650938841e-08,16.2,361116.5594799334,89382326.3067413
14,3.678379771828634e-08,16.1,353209.3279957057,84244675.15404409
15,4.037017258596558e-08,16.0,345313.8848022744,79313625.91318038
16,4.4306214575838774e-08,15.9,337431.3384713535,74593003.73600486
17,4.8626015800653535e-08,15.8,329562.8974412711,70084323.36417034
18,5.3366992312063125e-08,15.700000000000001,321709.87787273974,65787169.35400457
19,5.857020818056673e-08,15.5,313872.7241433916,63462524.61724586
20,6.42807311728432e-08,15.4,306054.99010936427,59424276.76084173
21,7.054802310718646e-08,15.3,298257.36428756954,55601753.21923474
22,7.742636826811277e-08,15.200000000000001,290481.6854879275,51988478.81104453
23,8.497534359086438e-08,15.100000000000001,282729.94571277103,48577425.284863934
24,9.3260334688322e-08,14.9,275003.30643010524,46467654.032429405
25,1.0235310218990269e-07,14.8,267306.11678272067,43339998.66035097
26,1.1233240329780266e-07,14.700000000000001,259639.87142612552,40400290.62526576
27,1.232846739442066e-07,14.600000000000001,252006.2814237497,37639794.337870464
28,1.3530477745798075e-07,14.4,244409.27819237753,35811895.47004059
29,1.4849682622544636e-07,14.3,236852.979387656,33316059.43096984
30,1.6297508346206436e-07,14.200000000000001,229339.70660026552,30979863.37208954
31,1.7886495290574352e-07,14.0,221872.0519445131,29370574.92113805
32,1.9630406500402725e-07,13.9,214455.76790138916,27276450.131773263
33,2.1544346900318867e-07,13.700000000000001,207092.86265307636,25799080.49395621
34,2.3644894126454072e-07,13.600000000000001,199789.54789817915,23931918.24463957
35,2.5950242113997374e-07,13.4,192548.2242574916,22587686.909678347
36,2.848035868435805e-07,13.3,185375.48892653867,20930421.514070056
37,3.125715849688235e-07,13.100000000000001,178274.0877943333,19716191.837146677
38,3.4304692863149193e-07,13.0,171250.8816212887,18250856.46408313
39,3.764935806792471e-07,12.8,164308.85802546458,17160527.091029946
40,4.1320124001153343e-07,12.600000000000001,157453.97743926896,16117004.830275897
41,4.534878508128582e-07,12.5,150692.24950194484,14894539.546909258
42,4.977023564332114e-07,12.3,144026.56296676418,13964457.72266228
43,5.462277217684337e-07,12.100000000000001,137462.65225448477,13078144.375262752
44,5.994842503189409e-07,12.0,131006.08780835084,12064724.307732258
45,6.579332246575682e-07,11.8,124659.06372748442,11278404.774050456
46,7.220809018385472e-07,11.700000000000001,118427.46232646034,10390644.06637949
47,7.924828983539186e-07,11.5,112312.70295116126,9693821.932330279
48,8.697490026177835e-07,11.4,106319.70745303071,8916174.394341538
49,9.545484566618346e-07,11.3,100449.8238339742,8193522.403834913
50,1.0476157527896663e-06,11.100000000000001,94703.86170612281,7616780.969176119
51,1.1497569953977357e-06,11.0,89084.94354120358,6982442.854782284
52,1.261856883066021e-06,10.9,83592.59424083422,6391756.693640983
53,1.3848863713938746e-06,10.9,78227.7198870783,5770776.666211622
54,1.519911082952933e-06,10.8,72987.64663134144,5263957.648006313
55,1.6681005372000591e-06,10.8,67873.08283094136,4733301.268444281
