,r,Viral Clearance Time,Total Viral Load,Excess CTL
0,8.333333333333328e-11,19.0,397925.4163416604,1.580706925073173
1,9.581308294981124e-11,19.0,397924.6430820079,1.8174298303551042
2,1.1016176237216899e-10,19.0,397923.75431737816,2.0896039623941762
3,1.2665925691274435e-10,19.0,397922.7323884605,2.4025384951732125
4,1.4562736666730682e-10,19.0,397921.5573662808,2.762337717204355
5,1.6743608354708706e-10,19.0,397920.2063329689,3.1760201214172414
6,1.9251080834026304e-10,19.0,397918.65323866205,3.6516553290421143
7,2.213406485788902e-10,19.0,397916.86726349103,4.198521516262554
8,2.544879590694509e-10,19.0,397914.8139892849,4.827286432095571
9,2.9259931118459375e-10,19.0,397912.4532624144,5.550215529184789
10,3.364181048830456e-10,19.0,397909.7390843434,6.3814112739695705
11,3.8679906946773077e-10,19.0,397906.61842808,7.337088303122437
12,4.4472493593385817e-10,19.0,397903.03047064773,8.435889820259764
13,5.113256061177633e-10,19.0,397898.90519844665,9.699251380749047
14,5.879001925598856e-10,19.0,397894.16233817313,11.151819201739272
15,6.75942358991407e-10,19.0,397888.709213251,12.82193114560796
16,7.771694557360145e-10,19.0,397882.43966474535,14.742169812176144
17,8.935560183419373e-10,19.0,397875.23145077395,16.949998501106165
18,1.0273722828683854e-09,19.0,397866.9439272709,19.488492538389984
19,1.1812284691056722e-09,19.0,397857.41575344716,22.407180238090223
20,1.3581256955172047e-09,19.0,397846.46107299783,25.763009984826205
21,1.5615145190503214e-09,19.0,397833.86645759246,29.621462344471368
22,1.7953622416932376e-09,19.0,397819.3865090176,34.0578290361329
23,2.0642302966597604e-09,19.0,397802.73926300753,39.158683815359836
24,2.3733632236965027e-09,19.0,397783.6003628321,45.02357416915475
25,2.7287909690647747e-09,19.0,397761.5971905793,51.76696698904271
26,3.1374465056603906e-09,19.0,397736.3013805811,59.52048656484112
27,3.6073010675692158e-09,19.0,397707.22065484914,68.43548886996578
28,4.1475196369434256e-09,19.0,397673.78926971066,78.6860229759186
29,4.76863971612518e-09,19.0,397635.35725165624,90.47223790013231
30,5.482776872146399e-09,19.0,397591.1770878728,104.02430264652358
31,6.303861062955238e-09,19.0,397540.39098864864,119.60691630715738
32,7.2479083551481905e-09,19.0,397482.0126522936,137.52449907115079
33,8.333333333333329e-09,19.0,397414.90945067955,158.12716605085882
34,9.581308294981124e-09,19.0,397337.7804580893,181.81760441255756
35,1.1016176237216898e-08,19.0,397249.13176586025,209.05899085628334
36,1.2665925691274434e-08,19.0,397147.2481591311,240.38410904341146
37,1.4562736666730681e-08,19.0,397030.1608948135,276.4058503620385
38,1.6743608354708703e-08,19.0,396895.6101017302,317.8293128613674
39,1.9251080834026304e-08,19.0,396741.0039184836,365.4657419691328
40,2.213406485788902e-08,19.0,396563.36889029806,420.2486017279211
41,2.5448795906945086e-08,19.0,396359.2967036569,483.2521064275527
42,2.9259931118459377e-08,19.0,396124.8808404994,555.7125989755441
43,3.364181048830456e-08,19.0,395855.6473685428,639.0532198439237
44,3.867990694677316e-08,19.0,395546.47440266947,734.9123937698547
45,4.447249359338591e-08,19.0,395191.503030999,845.1767309950491
46,5.113256061177643e-08,19.0,394784.03589161125,972.0190571090789
47,5.879001925598867e-08,19.0,394316.42458660516,1117.9423900938477
48,6.759423589914056e-08,19.0,393779.94343023014,1285.830823249207
49,7.771694557360161e-08,19.0,393164.6499904846,1479.0084416247846
50,8.935560183419353e-08,19.0,392459.2323506729,1701.307566430443
51,1.0273722828683876e-07,19.0,391650.84057475434,1957.1478691998755
52,1.1812284691056698e-07,19.0,390724.90660825244,2251.628093718592
53,1.3581256955172047e-07,19.0,389664.9534552256,2590.6324869886625
54,1.5615145190503213e-07,19.0,388452.3931528796,2980.954274225241
55,1.7953622416932378e-07,19.0,387066.32410480955,3430.4389048541375
56,2.0642302966597602e-07,19.0,385483.3318443848,3948.1502290380886
57,2.3733632236965024e-07,19.0,383677.3026312523,4544.5630217897005
58,2.7287909690647745e-07,19.0,381619.26997843524,5231.785804673296
59,3.1374465056603907e-07,19.0,379277.3075455942,6023.818195707026
60,3.6073010675692155e-07,19.0,376616.50222412206,6936.847231405741
61,4.1475196369434256e-07,19.0,373599.03575924365,7989.587380927056
62,4.76863971612518e-07,19.0,370184.42244526336,9203.66872558127
63,5.482776872146398e-07,19.0,366329.95430020365,10604.077675464949
64,6.303861062955238e-07,19.0,361991.4114216239,12219.654054814426
65,7.24790835514819e-07,19.0,357124.10504335945,14083.648010924575
66,8.333333333333328e-07,19.0,351684.31218287005,16234.340319717932
67,9.581308294981124e-07,19.0,345631.15320817917,18715.7310288521
68,1.10161762372169e-06,19.0,338928.92076561175,21578.305766734076
69,1.2665925691274434e-06,19.0,331549.82397692796,24879.897554476363
70,1.4562736666730682e-06,19.0,323477.01317343145,28686.677687093674
71,1.6743608354708704e-06,19.0,314707.6473584875,33074.331863901745
72,1.9251080834026305e-06,19.0,305255.6358124882,38129.506297776585
73,2.2134064857889066e-06,19.0,295153.5968561009,43951.635334899765
74,2.544879590694514e-06,19.0,284453.53593223065,50655.27536666199
75,2.925993111845944e-06,19.0,273225.85921974573,58373.05067213271
76,3.3641810488304626e-06,19.0,261556.59237966168,67259.2596449715
