,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,10.9,1681992.9568781345,22550732.49787744
1,1.3219411484660287e-16,10.9,1681992.9568781345,22550732.49787744
2,1.7475284000076829e-16,10.9,1681992.9568781345,22550732.49787744
3,2.310129700083158e-16,10.9,1681992.9568781345,22550732.49787744
4,3.0538555088334123e-16,10.9,1681992.9568781345,22550732.49787744
5,4.03701725859655e-16,10.9,1681992.9568781345,22550732.49787744
6,5.336699231206302e-16,10.9,1681992.9568781345,22550732.49787744
7,7.054802310718631e-16,10.9,1681992.9568781345,22550732.49787744
8,9.32603346883218e-16,10.9,1681992.9568781345,22550732.49787744
9,1.2328467394420634e-15,10.9,1681992.9568781345,22550732.49787744
10,1.6297508346206468e-15,10.9,1681992.9568781345,22550732.49787744
11,2.1544346900318867e-15,10.9,1681992.9568781345,22550732.49787749
12,2.8480358684358048e-15,10.9,1681992.9568781347,22550732.497877415
13,3.764935806792471e-15,10.9,1681992.9568781347,22550732.49787709
14,4.977023564332114e-15,10.9,1681992.9568781331,22550732.497877985
15,6.5793322465756826e-15,10.9,1681992.9568781364,22550732.49787643
16,8.697490026177834e-15,10.9,1681992.956878179,22550732.49785536
17,1.1497569953977357e-14,10.9,1681992.9568782628,22550732.49786091
18,1.5199110829529332e-14,10.9,1681992.9568782323,22550732.4978697
19,2.009233002565046e-14,10.9,1681992.9568781748,22550732.497877568
20,2.656087782946684e-14,10.9,1681992.956878303,22550732.49785038
21,3.5111917342151274e-14,10.9,1681992.9568782786,22550732.497847885
22,4.6415888336127915e-14,10.9,1681992.9568782055,22550732.49786629
23,6.135907273413189e-14,10.9,1681992.9568781024,22550732.497874755
24,8.111308307896889e-14,10.9,1681992.9568780656,22550732.497863162
25,1.0722672220103254e-13,10.9,1681992.9568779876,22550732.497875992
26,1.4174741629268076e-13,10.9,1681992.9568778588,22550732.497857098
27,1.8738174228603867e-13,10.9,1681992.9568775436,22550732.497857362
28,2.477076355991714e-13,10.9,1681992.9568770556,22550732.49782968
29,3.2745491628777316e-13,10.9,1681992.9568762004,22550732.49781117
30,4.3287612810830614e-13,10.9,1681992.956874578,22550732.49777726
31,5.72236765935022e-13,10.9,1681992.9568718213,22550732.49772525
32,7.564633275546291e-13,10.9,1681992.9568671922,22550732.49761105
33,1e-12,10.9,1681992.9568588806,22550732.497421224
34,1.3219411484660287e-12,10.9,1681992.9568443967,22550732.4970732
35,1.747528400007683e-12,10.9,1681992.9568192398,22550732.496476486
36,2.310129700083158e-12,10.9,1681992.9567750667,22550732.49548495
37,3.0538555088334124e-12,10.9,1681992.9566979506,22550732.493685093
38,4.03701725859655e-12,10.9,1681992.9565631102,22550732.490573533
39,5.336699231206302e-12,10.9,1681992.9563275136,22550732.485121615
40,7.054802310718631e-12,10.9,1681992.9559158275,22550732.47559106
41,9.32603346883218e-12,10.9,1681992.9551964875,22550732.458952367
42,1.2328467394420634e-11,10.9,1681992.9539394611,22550732.429851595
43,1.62975083462064e-11,10.9,1681992.9517425916,22550732.37899385
44,2.1544346900318868e-11,10.9,1681992.9479036473,22550732.290112488
45,2.848035868435805e-11,10.9,1681992.9411949215,22550732.13482591
46,3.764935806792471e-11,10.9,1681992.9294711913,22550731.86344233
47,4.977023564332114e-11,10.9,1681992.908983678,22550731.389166616
48,6.579332246575682e-11,10.9,1681992.8731812197,22550730.56037625
49,8.697490026177835e-11,10.9,1681992.8106152532,22550729.112044293
50,1.1497569953977356e-10,10.9,1681992.701279486,22550726.58106097
51,1.5199110829529332e-10,10.9,1681992.510212297,22550722.15809231
52,2.0092330025650458e-10,10.9,1681992.1763173868,22550714.42945308
53,2.656087782946695e-10,10.9,1681991.592826368,22550700.921955656
54,3.5111917342151416e-10,10.9,1681990.5731608847,22550677.31758288
55,4.6415888336127913e-10,10.9,1681988.791270821,22550636.069664054
56,6.135907273413189e-10,10.9,1681985.6773812158,22550563.988615282
57,8.111308307896889e-10,10.9,1681980.2358113772,22550438.027600907
58,1.0722672220103253e-09,10.9,1681970.7266387267,22550217.91527443
59,1.4174741629268078e-09,10.9,1681954.1094709106,22549833.286519863
60,1.873817422860387e-09,10.9,1681925.0716638323,22549161.213592175
61,2.4770763559917138e-09,10.9,1681874.3308304045,22547986.979147177
62,3.2745491628777316e-09,10.9,1681785.6706481958,22545935.68027156
63,4.328761281083061e-09,10.9,1681630.7676389508,22542353.17473571
64,5.72236765935022e-09,10.9,1681360.171390101,22536099.104651887
65,7.56463327554629e-09,10.9,1680887.6052900804,22525190.077020943
66,1e-08,10.9,1680062.7223690383,22506187.083712325
67,1.3219411484660288e-08,10.9,1678624.0684939218,22473162.210580546
68,1.747528400007683e-08,10.9,1676118.6393745905,22416004.48624722
69,2.310129700083158e-08,10.9,1671766.37954938,22317767.888787955
70,3.053855508833412e-08,10.9,1664238.3295706771,22150914.4123147
71,4.03701725859655e-08,10.8,1651309.4562899293,22236523.605829913
72,5.336699231206302e-08,10.700000000000001,1629365.04885212,22139198.89195257
73,7.05480231071866e-08,10.600000000000001,1592787.0639450797,21774549.059880983
74,9.326033468832218e-08,10.4,1533399.3496747664,21399212.56854572
75,1.2328467394420683e-07,10.200000000000001,1440285.425840444,20592847.67292273
76,1.6297508346206468e-07,9.9,1300210.9105984583,19663922.932424888
77,2.1544346900318867e-07,9.5,1098648.8148670723,18616505.28335482
78,2.848035868435805e-07,9.200000000000001,823287.5438591467,16963720.220757205
79,3.764935806792471e-07,8.9,487328.31210613955,14983315.46024925
80,4.977023564332114e-07,8.9,196722.5830525469,11893620.282277312
81,6.579332246575682e-07,9.4,60387.04615471843,7996017.266802391
82,8.697490026177835e-07,11.4,19277.40190876102,3875354.872757212
83,1.1497569953977357e-06,19.0,7116.467745862698,23455.981106894105
84,1.519911082952933e-06,19.0,1164.2119820485345,5496.408421002294
85,2.0092330025650458e-06,2.2,38.425521373094824,43713.826908142895
86,2.656087782946684e-06,1.1,20.056348321298834,23672.00565190807
87,3.5111917342151275e-06,0.8,15.221794851200665,18056.79286222367
88,4.641588833612791e-06,0.7000000000000001,13.476571686014765,15681.378417676751
89,6.135907273413188e-06,0.6000000000000001,12.112942297876483,14563.692474204028
90,8.11130830789689e-06,0.6000000000000001,11.931757035933906,13933.745267427958
91,1.0722672220103253e-05,0.6000000000000001,11.828066791403499,13590.403618635964
92,1.4174741629268077e-05,0.6000000000000001,11.768731985750684,13399.227068918219
93,1.8738174228603867e-05,0.6000000000000001,11.734779308598378,13291.507547052599
94,2.477076355991714e-05,0.6000000000000001,11.71535075835122,13230.40633713573
95,3.274549162877732e-05,0.6000000000000001,11.704233189921972,13195.616539880752
96,4.328761281083062e-05,0.6000000000000001,11.697871366343369,13175.76579816878
97,5.72236765935022e-05,0.6000000000000001,11.694230916804973,13164.424909902044
98,7.56463327554629e-05,0.6000000000000001,11.692147724386356,13157.941307598538
99,0.0001,0.6000000000000001,11.690955647302946,13154.233137755853
