,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,9.4,1040063.0327672025,18808302.23401742
1,1.4508287784959373e-16,9.4,1040063.0327672041,18808302.234017476
2,2.1049041445120218e-16,9.4,1040063.0327671972,18808302.23401752
3,3.0538555088334123e-16,9.4,1040063.0327671977,18808302.234017495
4,4.4306214575838864e-16,9.4,1040063.0327671944,18808302.234017547
5,6.428073117284319e-16,9.4,1040063.0327671985,18808302.234017532
6,9.32603346883218e-16,9.4,1040063.0327671956,18808302.234017525
7,1.3530477745798075e-15,9.4,1040063.0327671891,18808302.23401747
8,1.9630406500402685e-15,9.4,1040063.0327671833,18808302.234017394
9,2.8480358684358048e-15,9.4,1040063.032767173,18808302.23401736
10,4.132012400115335e-15,9.4,1040063.0327671595,18808302.234017216
11,5.994842503189421e-15,9.4,1040063.0327671398,18808302.234017175
12,8.697490026177834e-15,9.4,1040063.0327671111,18808302.234016985
13,1.2618568830660185e-14,9.4,1040063.0327670792,18808302.234016765
14,1.8307382802953698e-14,9.4,1040063.0327670166,18808302.234016325
15,2.656087782946684e-14,9.4,1040063.0327669369,18808302.23401589
16,3.853528593710535e-14,9.4,1040063.0327668117,18808302.234015096
17,5.590810182512223e-14,9.4,1040063.032766637,18808302.234014068
18,8.111308307896889e-14,9.4,1040063.0327663821,18808302.2340125
19,1.176811952434999e-13,9.4,1040063.0327660209,18808302.23401016
20,1.7073526474706888e-13,9.4,1040063.032765482,18808302.234006885
21,2.477076355991714e-13,9.4,1040063.0327647171,18808302.234001964
22,3.593813663804626e-13,9.4,1040063.032763603,18808302.23399486
23,5.214008287999695e-13,9.4,1040063.0327619797,18808302.23398462
24,7.564633275546291e-13,9.4,1040063.0327596223,18808302.233969864
25,1.097498765493059e-12,9.4,1040063.0327562017,18808302.233948395
26,1.5922827933410938e-12,9.4,1040063.0327512432,18808302.233917262
27,2.310129700083158e-12,9.4,1040063.032744051,18808302.23387199
28,3.351602650938848e-12,9.4,1040063.0327336215,18808302.233806357
29,4.8626015800653536e-12,9.4,1040063.0327184831,18808302.233711164
30,7.054802310718631e-12,9.4,1040063.032696522,18808302.233572952
31,1.0235310218990269e-11,9.4,1040063.0326646608,18808302.233372327
32,1.4849682622544695e-11,9.4,1040063.0326184282,18808302.233081557
33,2.1544346900318868e-11,9.4,1040063.0325513583,18808302.23265951
34,3.125715849688235e-11,9.4,1040063.0324540538,18808302.232047297
35,4.5348785081285915e-11,9.4,1040063.0323128726,18808302.23115905
36,6.579332246575682e-11,9.4,1040063.0321080528,18808302.229870457
37,9.545484566618327e-11,9.4,1040063.0318108829,18808302.22800075
38,1.3848863713938747e-10,9.4,1040063.0313797509,18808302.225288175
39,2.009233002565054e-10,9.4,1040063.030754241,18808302.221352637
40,2.915053062825182e-10,9.4,1040063.0298467458,18808302.215642888
41,4.229242874389499e-10,9.4,1040063.0285301141,18808302.20735908
42,6.135907273413189e-10,9.4,1040063.0266199206,18808302.195340678
43,8.902150854450393e-10,9.4,1040063.0238485486,18808302.17790392
44,1.2915496650148826e-09,9.4,1040063.0198277577,18808302.15260644
45,1.873817422860387e-09,9.4,1040063.0139942889,18808302.115903974
46,2.7185882427329512e-09,9.4,1040063.0055309191,18808302.062654853
47,3.944206059437664e-09,9.4,1040062.9932520104,18808301.98539957
48,5.72236765935022e-09,9.4,1040062.9754374389,18808301.8733154
49,8.302175681319769e-09,9.4,1040062.9495915328,18808301.710700616
50,1.2045035402587836e-08,9.4,1040062.9120935436,18808301.474774215
51,1.7475284000076902e-08,9.4,1040062.857690391,18808301.132485516
52,2.5353644939701166e-08,9.4,1040062.7787607283,18808300.635883216
53,3.678379771828634e-08,9.4,1040062.6642473171,18808299.915398095
54,5.336699231206324e-08,9.4,1040062.498107985,18808298.870097555
55,7.742636826811277e-08,9.4,1040062.2570682855,18808297.353545234
56,1.1233240329780311e-07,9.4,1040061.9073610347,18808295.153287277
57,1.6297508346206468e-07,9.4,1040061.3999958304,18808291.96108893
58,2.3644894126454072e-07,9.4,1040060.6638961135,18808287.329754233
59,3.430469286314926e-07,9.4,1040059.59594214,18808280.610477388
60,4.977023564332114e-07,9.4,1040058.046525208,18808270.861950316
61,7.220809018385486e-07,9.4,1040055.798589508,18808256.718492664
62,1.0476157527896663e-06,9.4,1040052.5372259981,18808236.19872727
63,1.5199110829529394e-06,9.4,1040047.8055591964,18808206.427998606
64,2.2051307399030503e-06,9.4,1040040.9407487083,18808163.235636834
65,3.1992671377973847e-06,9.4,1040030.9811427783,18808100.570637252
66,4.641588833612791e-06,9.4,1040016.531583345,18808009.653868064
67,6.7341506577508285e-06,9.4,1039995.5680066205,18807877.747972026
68,9.770099572992287e-06,9.4,1039965.1539933367,18807686.37251172
69,1.4174741629268077e-05,9.4,1039921.0296192261,18807408.7140342
70,2.05651230834866e-05,9.4,1039857.0151314256,18807005.86764895
71,2.9836472402833465e-05,9.4,1039764.1461723115,18806421.382368106
72,4.328761281083062e-05,9.4,1039629.4050911397,18805573.190474663
73,6.280291441834272e-05,9.4,1039433.9592804832,18804342.98111058
74,9.111627561154906e-05,9.4,1039150.4541369331,18802557.51822059
75,0.00013219411484660342,9.4,1038739.2368971474,18799966.62318767
76,0.00019179102616724927,9.4,1038142.8448982614,18796206.773436777
77,0.0002782559402207126,9.4,1037278.0199684761,18790750.012340892
78,0.00040370172585965663,9.4,1036024.235296822,18782828.29984872
79,0.0005857020818056673,9.4,1034207.1779643666,18771326.629232347
80,0.0008497534359086473,9.4,1031575.0572686449,18754619.629717976
81,0.0012328467394420685,9.4,1027764.9575173658,18730340.730994936
82,0.0017886495290574424,9.4,1022255.3387409042,18695031.519019246
83,0.002595024211399743,9.4,1014299.937535574,18643628.35460973
84,0.0037649358067924714,9.3,1002836.8455850977,18844585.214246765
85,0.005462277217684359,9.3,986373.9432289357,18734993.23774411
86,0.007924828983539186,9.3,962835.9654144665,18574509.623019245
87,0.011497569953977403,9.200000000000001,929404.5227532116,18616119.929488137
88,0.016681005372000627,9.1,882384.2326863604,18547193.563207865
89,0.024201282647943932,9.0,817203.9172173166,18312464.79005426
90,0.03511191734215142,8.8,728822.4911456811,18113836.991462544
91,0.05094138014816386,8.6,613122.7734366576,17554467.660614744
92,0.07390722033525805,8.3,470462.82523578114,16810720.33122719
93,0.10722672220103253,19.0,312769.1172871758,78045.05464890819
94,0.15556761439304786,19.0,170065.09482487934,109370.90569411787
95,0.22570197196339262,19.0,73895.61984336945,160378.08437800553
96,0.3274549162877732,17.6,26478.764346327836,3092566.842310306
97,0.47508101621028126,13.100000000000001,8489.225938198824,9477609.73456989
98,0.6892612104349709,4.7,2438.7432294854225,22669547.87985407
99,1.0,3.5,694.5336013038765,24522168.2396875
