,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,19.0,16647586.411044847,4436040.418729798
1,1.0974987654930568e-08,19.0,16400114.3209423,4433131.915545463
2,1.204503540258781e-08,19.0,16143055.272789054,4429606.8050649
3,1.3219411484660288e-08,19.0,15877160.77629947,4425282.123766102
4,1.4508287784959402e-08,19.0,15603312.492354238,4419903.554107687
5,1.592282793341094e-08,19.0,15322502.626289975,4413112.017916499
6,1.747528400007683e-08,19.0,15035806.526799774,4404390.364973277
7,1.9179102616724886e-08,19.0,14744345.61696887,4392982.128251845
8,2.104904144512022e-08,19.0,14449247.772721574,4377763.156139518
9,2.310129700083158e-08,19.0,14151604.263542762,4357040.43249662
10,2.5353644939701113e-08,19.0,13852426.097154854,4328253.01778163
11,2.782559402207126e-08,19.0,13552609.236068964,4287552.505227437
12,3.053855508833412e-08,19.0,13252905.203695029,4229334.125188846
13,3.351602650938841e-08,19.0,12953905.715235122,4146016.6018261984
14,3.678379771828634e-08,19.0,12656039.909858514,4028836.6002192446
15,4.037017258596558e-08,19.0,12359583.583739743,3870683.097656111
16,4.4306214575838774e-08,19.0,12064679.042452306,3670717.837698577
17,4.8626015800653535e-08,19.0,11771361.092954176,3437355.150196989
18,5.3366992312063125e-08,19.0,11479584.960179713,3185741.32677027
19,5.857020818056673e-08,19.0,11189251.955677183,2931478.503600849
20,6.42807311728432e-08,19.0,10900229.37868368,2686016.7452885364
21,7.054802310718646e-08,19.0,10612365.051221106,2455784.8764287974
22,7.742636826811277e-08,19.0,10325496.16610396,2243428.803702962
23,8.497534359086438e-08,19.0,10039455.51508855,2049338.678165855
24,9.3260334688322e-08,19.0,9754074.432604745,1872753.4845992324
25,1.0235310218990269e-07,18.7,9469183.375995638,6928712.070716036
26,1.1233240329780266e-07,18.3,9184620.735244919,12877395.56122435
27,1.232846739442066e-07,17.900000000000002,8900226.583469022,17965520.982266124
28,1.3530477745798075e-07,17.5,8615846.027468417,22297641.786152687
29,1.4849682622544636e-07,17.2,8331332.0095335245,24570328.06706137
30,1.6297508346206436e-07,16.8,8046542.630180165,27727852.89319604
31,1.7886495290574352e-07,16.5,7761349.656531048,29125078.255596384
32,1.9630406500402725e-07,16.1,7475632.095064539,31368980.604760814
33,2.1544346900318867e-07,15.8,7189285.787121566,32098226.524364244
34,2.3644894126454072e-07,15.4,6902217.82184551,33627490.58544537
35,2.5950242113997374e-07,15.100000000000001,6614356.426272176,33845565.43653516
36,2.848035868435805e-07,14.8,6325646.714227975,33883280.309743635
37,3.125715849688235e-07,14.4,6036056.551999953,34637540.186697446
38,3.4304692863149193e-07,14.100000000000001,5745582.533139876,34327470.24901278
39,3.764935806792471e-07,13.8,5454247.672966974,33898436.987071656
40,4.1320124001153343e-07,13.5,5162109.039162665,33364868.888965145
41,4.534878508128582e-07,13.200000000000001,4869261.175190061,32739347.682016604
42,4.977023564332114e-07,12.9,4575840.335441707,32032870.054767746
43,5.462277217684337e-07,12.600000000000001,4282029.632540609,31255079.284177233
44,5.994842503189409e-07,12.3,3988063.9942513457,30414469.51601476
45,6.579332246575682e-07,12.0,3694235.687185552,29518569.758032158
46,7.220809018385472e-07,11.700000000000001,3400899.9049642617,28574109.43277789
47,7.924828983539186e-07,11.4,3108480.8532482656,27587162.143425938
48,8.697490026177835e-07,11.100000000000001,2817478.2079106085,26563282.39395963
49,9.545484566618346e-07,10.8,2528475.7989663905,25507601.959281072
50,1.0476157527896663e-06,10.600000000000001,2242156.287421544,24038144.651790436
51,1.1497569953977357e-06,10.3,1959326.047997793,22959063.79455055
52,1.261856883066021e-06,10.0,1680987.2464875716,21859927.45724884
53,1.3848863713938746e-06,9.8,1408492.5768865794,20434302.420533743
54,1.519911082952933e-06,9.5,1143902.8898656298,19322128.018937
55,1.6681005372000591e-06,9.3,890745.0572636147,17922091.982150722
56,1.8307382802953698e-06,9.0,655281.9099715302,16759922.953219352
57,2.0092330025650458e-06,8.8,447727.7484717601,15302119.971639724
58,2.2051307399030456e-06,8.700000000000001,280771.072478918,13580936.650860976
59,2.4201282647943835e-06,8.6,162549.10909506684,11825659.895742828
60,2.656087782946684e-06,8.6,89371.35296537343,9937474.419348916
61,2.9150530628251817e-06,8.700000000000001,48442.41651792633,8055965.133754466
62,3.1992671377973847e-06,9.200000000000001,26646.337795401625,6031639.642463217
63,3.5111917342151347e-06,10.100000000000001,15065.307263593362,4135547.633310594
64,3.853528593710536e-06,11.9,8715.188601151938,2333078.4588626376
65,4.229242874389499e-06,16.3,5032.132222541522,558503.5737948141
66,4.641588833612782e-06,19.0,2573.968856540052,11926.415733301721
67,5.094138014816386e-06,19.0,393.85375588023965,1782.815749098512
68,5.590810182512223e-06,2.0,34.964513014464835,46381.243640917084
69,6.1359072734131755e-06,0.9,16.888226501850443,23437.857673678158
70,6.7341506577508285e-06,0.6000000000000001,11.611550601925035,15043.546187794938
71,7.390722033525775e-06,0.4,8.524651688250348,10818.94867237491
72,8.111308307896873e-06,0.30000000000000004,6.8788422312858275,8258.342600353943
73,8.902150854450392e-06,0.2,5.473323020965123,6564.5890053503545
74,9.770099572992246e-06,0.2,5.149869337823856,5340.686676923756
75,1.0722672220103253e-05,0.1,3.9724500019083004,4450.823590261316
76,1.1768119524349992e-05,0.1,3.833710305317402,3752.3741261096657
77,1.2915496650148827e-05,0.1,3.696443697352806,3200.930961679621
78,1.4174741629268077e-05,0.1,3.5619994488176743,2756.2706587531607
79,1.5556761439304724e-05,0.0,2.5,2391.538781014468
80,1.7073526474706923e-05,0.0,2.5,2088.2061147613454
81,1.8738174228603867e-05,0.0,2.5,1833.0212161807565
82,2.0565123083486515e-05,0.0,2.5,1616.2233420525786
83,2.2570197196339216e-05,0.0,2.5,1430.4079372868991
84,2.477076355991714e-05,0.0,2.5,1270.1651150131245
85,2.71858824273294e-05,0.0,2.5,1131.061824722622
86,2.9836472402833404e-05,0.0,2.5,1009.7857340986025
87,3.274549162877732e-05,0.0,2.5,903.3423675550616
88,3.5938136638046256e-05,0.0,2.5,809.6309615591659
89,3.944206059437664e-05,0.0,2.5,726.8590041048008
90,4.328761281083062e-05,0.0,2.5,653.6211227476945
91,4.750810162102793e-05,0.0,2.5,588.4665430439754
92,5.214008287999695e-05,0.0,2.5,530.3873251023582
93,5.72236765935022e-05,0.0,2.5,478.5480235380467
94,6.28029144183426e-05,0.0,2.5,432.2180890973077
95,6.89261210434971e-05,0.0,2.5,390.6647160592023
96,7.56463327554629e-05,0.0,2.5,353.43492380061673
97,8.302175681319752e-05,0.0,2.5,320.02016921325134
98,9.111627561154906e-05,0.0,2.5,289.921540112386
99,0.0001,0.0,2.5,262.6540662203798
