,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,7.2,110599.96282672852,31601345.99532249
1,11.768119524349984,7.2,115302.84847997267,31399040.48443443
2,13.848863713938732,7.2,120743.91441965567,31205982.87191734
3,16.297508346206442,7.300000000000001,127023.11695582642,30643530.383401025
4,19.179102616724887,7.300000000000001,134245.1973349707,30471471.062251143
5,22.570197196339205,7.300000000000001,142524.3104778917,30308399.374100834
6,26.560877829466868,7.4,151979.5300646224,29778974.79259661
7,31.25715849688235,7.4,162729.42618601158,29634186.459935386
8,36.783797718286344,7.5,174895.537898141,29124073.204261202
9,43.28761281083057,7.5,188591.37664773338,28993192.88918829
10,50.9413801481638,7.5,203924.1937869376,28866063.79018819
11,59.94842503189409,7.6000000000000005,220988.621002368,28375322.305476025
12,70.54802310718642,7.7,239859.19776426593,27889625.645184778
13,83.02175681319744,7.7,260589.4003700019,27768829.81246608
14,97.70099572992251,7.800000000000001,283210.69082509814,27286972.85539693
15,114.97569953977356,7.800000000000001,307724.1871940135,27162485.85063783
16,135.30477745798075,7.9,334107.86631732224,26679813.839858256
17,159.22827933410923,7.9,362309.5778671575,26547303.508455835
18,187.3817422860383,8.0,392257.6620507726,26060683.864843957
19,220.51307399030455,8.1,423857.00682565576,25573387.39370024
20,259.5024211399737,8.1,456997.12846497877,25425374.86238838
21,305.3855508833416,8.200000000000001,491559.5466966456,24932555.446526
22,359.38136638046257,8.3,527416.6562726105,24439247.4839635
23,422.9242874389499,8.4,564440.5796203453,23945788.833028294
24,497.70235643321087,8.4,602505.1076252536,23776849.17325327
25,585.7020818056661,8.5,641492.8391106521,23279581.897514485
26,689.2612104349695,8.6,681291.9816936401,22783323.41244863
27,811.1308307896873,8.700000000000001,721802.2190753722,22288524.240764573
28,954.5484566618337,8.700000000000001,762934.0937145791,22102964.09741753
29,1123.3240329780276,8.8,804613.6235602321,21607454.367017824
30,1321.9411484660286,8.9,846776.6750130194,21114618.88132976
31,1555.6761439304723,9.0,889373.2814196273,20624839.102645226
32,1830.7382802953678,9.1,932366.4220134696,20138471.731599845
33,2154.4346900318824,9.200000000000001,975732.1430839922,19655853.727835335
34,2535.3644939701117,9.3,1019459.363289702,19177303.74723699
35,2983.6472402833374,9.5,1063551.2688385495,18430540.89053503
36,3511.191734215131,9.600000000000001,1108021.1180399666,17966013.703814134
37,4132.0124001153345,9.700000000000001,1152899.3874207838,17506445.643891457
38,4862.601580065353,9.9,1198231.00284065,16796368.127938814
39,5722.367659350214,10.100000000000001,1244074.9183178314,16103526.241207525
40,6734.150657750822,10.200000000000001,1290507.5481312715,15670354.358059607
41,7924.82898353917,10.4,1337627.6912605662,15005813.252619237
42,9326.0334688322,10.700000000000001,1385554.4760617805,14129719.637686295
43,10974.987654930545,10.9,1434430.1608172536,13507206.074198814
