,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,15.700000000000001,6572749.025906013,46648939.35059481
1,1.3219411484660287e-16,15.700000000000001,6572749.025906013,46648939.35059481
2,1.7475284000076829e-16,15.700000000000001,6572749.025906013,46648939.35059481
3,2.310129700083158e-16,15.700000000000001,6572749.025906013,46648939.35059481
4,3.0538555088334123e-16,15.700000000000001,6572749.025906013,46648939.35059481
5,4.03701725859655e-16,15.700000000000001,6572749.025906013,46648939.35059481
6,5.336699231206302e-16,15.700000000000001,6572749.025906013,46648939.35059481
7,7.054802310718631e-16,15.700000000000001,6572749.025906013,46648939.35059481
8,9.32603346883218e-16,15.700000000000001,6572749.025906013,46648939.35059505
9,1.2328467394420634e-15,15.700000000000001,6572749.025906013,46648939.350595035
10,1.6297508346206468e-15,15.700000000000001,6572749.025906012,46648939.35059533
11,2.1544346900318867e-15,15.700000000000001,6572749.025906011,46648939.35059448
12,2.8480358684358048e-15,15.700000000000001,6572749.025906014,46648939.35059445
13,3.764935806792471e-15,15.700000000000001,6572749.0259060105,46648939.350594684
14,4.977023564332114e-15,15.700000000000001,6572749.025906015,46648939.35059483
15,6.5793322465756826e-15,15.700000000000001,6572749.025906015,46648939.35059399
16,8.697490026177834e-15,15.700000000000001,6572749.025906015,46648939.350594334
17,1.1497569953977357e-14,15.700000000000001,6572749.025906,46648939.3505926
18,1.5199110829529332e-14,15.700000000000001,6572749.025905987,46648939.35059403
19,2.009233002565046e-14,15.700000000000001,6572749.025905979,46648939.35059363
20,2.656087782946684e-14,15.700000000000001,6572749.025905956,46648939.35059367
21,3.5111917342151274e-14,15.700000000000001,6572749.025905926,46648939.350590594
22,4.6415888336127915e-14,15.700000000000001,6572749.025905851,46648939.35058757
23,6.135907273413189e-14,15.700000000000001,6572749.025905747,46648939.35058189
24,8.111308307896889e-14,15.700000000000001,6572749.025905538,46648939.350574896
25,1.0722672220103254e-13,15.700000000000001,6572749.025905188,46648939.35055961
26,1.4174741629268076e-13,15.700000000000001,6572749.025904578,46648939.35053481
27,1.8738174228603867e-13,15.700000000000001,6572749.025903495,46648939.35048948
28,2.477076355991714e-13,15.700000000000001,6572749.02590161,46648939.35041111
29,3.2745491628777316e-13,15.700000000000001,6572749.0258983355,46648939.35027403
30,4.3287612810830614e-13,15.700000000000001,6572749.0258925725,46648939.35002941
31,5.72236765935022e-13,15.700000000000001,6572749.0258825235,46648939.34960816
32,7.564633275546291e-13,15.700000000000001,6572749.025864981,46648939.348872714
33,1e-12,15.700000000000001,6572749.025834311,46648939.34758505
34,1.3219411484660287e-12,15.700000000000001,6572749.025780689,46648939.34533834
35,1.747528400007683e-12,15.700000000000001,6572749.025687026,46648939.34140426
36,2.310129700083158e-12,15.700000000000001,6572749.025523319,46648939.33453085
37,3.0538555088334124e-12,15.700000000000001,6572749.025237283,46648939.32252622
38,4.03701725859655e-12,15.700000000000001,6572749.024737367,46648939.301542364
39,5.336699231206302e-12,15.700000000000001,6572749.023863775,46648939.26487592
40,7.054802310718631e-12,15.700000000000001,6572749.022337137,46648939.20079389
41,9.32603346883218e-12,15.700000000000001,6572749.01966932,46648939.08881457
42,1.2328467394420634e-11,15.700000000000001,6572749.015007215,46648938.89312665
43,1.62975083462064e-11,15.700000000000001,6572749.006860057,46648938.55115446
44,2.1544346900318868e-11,15.700000000000001,6572748.992622647,46648937.95355005
45,2.848035868435805e-11,15.700000000000001,6572748.967742422,46648936.9092189
46,3.764935806792471e-11,15.700000000000001,6572748.924263482,46648935.08422091
47,4.977023564332114e-11,15.700000000000001,6572748.848282789,46648931.89498633
48,6.579332246575682e-11,15.700000000000001,6572748.715504451,46648926.32171266
49,8.697490026177835e-11,15.700000000000001,6572748.483470607,46648916.58227319
50,1.1497569953977356e-10,15.700000000000001,6572748.077985115,46648899.56236011
51,1.5199110829529332e-10,15.700000000000001,6572747.369388526,46648869.8196892
52,2.0092330025650458e-10,15.700000000000001,6572746.131098324,46648817.843866244
53,2.656087782946695e-10,15.700000000000001,6572743.967158567,46648727.015680924
54,3.5111917342151416e-10,15.700000000000001,6572740.185635373,46648568.29401561
55,4.6415888336127913e-10,15.700000000000001,6572733.577386464,46648290.9330782
56,6.135907273413189e-10,15.700000000000001,6572722.029498279,46647806.2665196
57,8.111308307896889e-10,15.700000000000001,6572701.849886341,46646960.229501605
58,1.0722672220103253e-09,15.700000000000001,6572666.587448993,46645480.56000984
