,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,10.100000000000001,32342.299106793245,38240982.050211415
1,11.768119524349984,10.200000000000001,33951.2646681644,37437491.00575627
2,13.848863713938732,10.200000000000001,35840.56872187017,37048398.13695144
3,16.297508346206442,10.3,38060.72950798235,36288835.723509066
4,19.179102616724887,10.3,40666.54334086054,35943147.74823802
5,22.570197196339205,10.4,43726.184087446156,35231623.76856807
6,26.560877829466868,10.5,47315.68124150289,34544758.52948999
7,31.25715849688235,10.600000000000001,51524.60533382316,33882602.13895449
8,36.783797718286344,10.600000000000001,56455.87469985973,33629907.32653185
9,43.28761281083057,10.700000000000001,62231.58711628202,33014319.368377913
10,50.9413801481638,10.8,68989.28148847926,32420548.90645002
11,59.94842503189409,10.9,76888.14159347049,31846982.218478445
12,70.54802310718642,11.0,86110.31245798215,31291754.3628457
13,83.02175681319744,11.100000000000001,96863.17336928679,30752811.347488187
14,97.70099572992251,11.200000000000001,109381.4099212321,30227985.30957642
15,114.97569953977356,11.4,123929.91425630798,29337537.726988226
16,135.30477745798075,11.5,140800.87047361088,28835406.60199738
17,159.22827933410923,11.600000000000001,160320.13756095737,28340734.59185113
18,187.3817422860383,11.700000000000001,182842.36390838306,27851382.73126832
19,220.51307399030455,11.8,208749.5350220341,27365292.604071304
20,259.5024211399737,12.0,238447.4646728286,26508445.323954884
21,305.3855508833416,12.100000000000001,272354.6683969779,26024508.04265581
22,359.38136638046257,12.200000000000001,310898.6434159543,25538387.26534907
23,422.9242874389499,12.3,354499.1080882098,25048516.698280893
24,497.70235643321087,12.5,403554.5921164636,24187470.001026314
25,585.7020818056661,12.600000000000001,458420.48688275035,23688007.01574835
26,689.2612104349695,12.700000000000001,519395.4588176515,23181299.895216748
27,811.1308307896873,12.8,586698.3298691909,22666554.987018377
28,954.5484566618337,13.0,660452.1564509259,21786120.448804993
29,1123.3240329780276,13.100000000000001,740665.4230375227,21256722.15899822
30,1321.9411484660286,13.200000000000001,827229.8804067045,20718648.1889345
31,1555.6761439304723,13.4,919915.1227324626,19824233.207751233
32,1830.7382802953678,13.5,1018371.5958340003,19273405.82820702
33,2154.4346900318824,13.600000000000001,1122149.479228498,18715644.61799182
34,2535.3644939701117,13.8,1230716.3635450634,17815553.681613434
35,2983.6472402833374,13.9,1343479.232007991,17251298.134323996
36,3511.191734215131,14.0,1459817.095719871,16683634.969266817
37,4132.0124001153345,14.200000000000001,1579107.8063732998,15791382.163173992
38,4862.601580065353,14.3,1700749.3800546266,15225942.979744902
39,5722.367659350214,14.5,1824190.9478866868,14349151.87076985
40,6734.150657750822,14.600000000000001,1948942.611124449,13792095.746357094
41,7924.82898353917,14.8,2074597.5289897306,12937506.149032153
42,9326.0334688322,15.0,2200834.24438281,12099194.243671335
43,10974.987654930545,15.200000000000001,2327425.9174029087,11278668.653708939
44,12915.496650148827,15.4,2454242.770087601,10477291.27999691
45,15199.11082952933,15.600000000000001,2581252.699585446,9696280.356158726
46,17886.495290574352,15.8,2708521.649385793,8936717.311164781
47,21049.04144512022,16.0,2836213.972336812,8199554.479476566
48,24770.76355991709,16.2,2964593.2008323856,7485625.053067553
49,29150.53062825176,16.5,3094025.292219784,6543843.711005473
50,34304.692863149125,16.8,3224981.299388304,5639636.146788565
51,40370.1725859655,17.1,3358046.20383359,4773636.6736236885
52,47508.101621027934,17.400000000000002,3493928.6589421695,3946348.037039836
53,55908.10182512223,17.8,3633475.6090362696,2932509.280554962
54,65793.32246575682,18.2,3777686.8335182443,1971148.978630434
55,77426.36826811278,18.6,3927740.2540139914,1062336.4305916168
56,91116.27561154887,19.0,4085019.0962235923,205943.02814632954
57,107226.72220103232,19.0,4251139.005681495,199471.71483411398
58,126185.6883066021,19.0,4428002.617118432,193052.26316213046
59,148496.82622544636,19.0,4617836.333960282,186699.90684675903
60,174752.8400007683,19.0,4823250.967429059,180430.19172680593
61,205651.23083486516,19.0,5047305.768696446,174258.2083866839
62,242012.82647943834,19.0,5293578.328693425,168197.24711836982
63,284803.5868435799,19.0,5566233.16331475,162256.5128892688
64,335160.2650938841,19.0,5870071.588903921,156437.43897071612
65,394420.6059437656,19.0,6210530.921579225,150727.9948594559
66,464158.8833612772,19.0,6593568.740286792,145094.5559714654
67,546227.7217684337,19.0,7025322.4456328675,139471.48053872483
68,642807.311728432,19.0,7511379.2082050815,133750.44372221114
69,756463.3275546291,19.0,8055455.455623683,127775.22428725875
70,890215.0854450375,19.0,8657374.361080512,121352.29191435884
71,1047615.7527896641,19.0,9310580.887922382,114288.76638843257
72,1232846.7394420658,19.0,10000121.236457452,106458.64689708802
73,1450828.7784959401,19.0,10702665.865503129,97873.3971377096
74,1707352.6474706887,19.0,11389819.325102445,88713.48391109584
75,2009233.0025650458,19.0,12034085.653787028,79293.09839312156
76,2364489.412645407,19.0,12614754.309651421,69975.74657911109
77,2782559.402207126,19.0,13120918.296696534,61087.93098938172
78,3274549.162877725,19.0,13550950.371481761,52866.797240702705
79,3853528.5937105273,19.0,13909799.439419132,45447.657299154875
80,4534878.5081285825,19.0,14205898.081862388,38878.105781348066
81,5336699.231206302,19.0,14448758.307474904,33142.50618838063
