,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,13.200000000000001,1830424.2480362894,761687819.6165257
1,1.0974987654930568e-08,13.200000000000001,1799271.5483570609,690689290.0496292
2,1.204503540258781e-08,13.100000000000001,1768110.2103201258,639102017.6397108
3,1.3219411484660288e-08,13.100000000000001,1736941.9838039214,579462078.2479022
4,1.4508287784959402e-08,13.0,1705764.6103352592,535967681.6402701
5,1.592282793341094e-08,12.9,1674578.8353055988,495571686.84599286
6,1.747528400007683e-08,12.9,1643385.5367113913,449230976.3017602
7,1.9179102616724886e-08,12.8,1612182.5961393113,415200861.97166413
8,2.104904144512022e-08,12.700000000000001,1580970.9753462202,383620044.33102584
9,2.310129700083158e-08,12.700000000000001,1549751.8103365698,347657464.915569
10,2.5353644939701113e-08,12.600000000000001,1518523.2712831595,321075304.88281673
11,2.782559402207126e-08,12.600000000000001,1487287.707533132,290916499.7884902
12,3.053855508833412e-08,12.5,1456043.6892103376,268551591.5612156
13,3.351602650938841e-08,12.4,1424792.9058728407,247820351.92142606
14,3.678379771828634e-08,12.4,1393537.3696515618,224461809.9577459
15,4.037017258596558e-08,12.3,1362276.336960361,207034534.63909698
16,4.4306214575838774e-08,12.200000000000001,1331012.3704479593,190892469.86695635
17,4.8626015800653535e-08,12.200000000000001,1299748.4951340046,172825749.5000208
18,5.3366992312063125e-08,12.100000000000001,1268485.0886863458,159268667.29143956
19,5.857020818056673e-08,12.0,1237226.0451926987,146721082.99207273
20,6.42807311728432e-08,12.0,1205975.9090277143,132768288.15753126
21,7.054802310718646e-08,11.9,1174736.7498760284,122240687.58823743
22,7.742636826811277e-08,11.9,1143515.4424669917,110574311.79794036
23,8.497534359086438e-08,11.8,1112315.7229029338,101747297.27466993
24,9.3260334688322e-08,11.700000000000001,1081145.157779742,93588186.95623319
25,1.0235310218990269e-07,11.700000000000001,1050012.4046306876,84603461.17152314
26,1.1233240329780266e-07,11.600000000000001,1018924.3130396026,77771004.51092991
27,1.232846739442066e-07,11.5,987891.9085412684,71461432.87409453
28,1.3530477745798075e-07,11.4,956926.6658091748,65637126.44429593
29,1.4849682622544636e-07,11.4,926042.627032217,59280596.23432878
30,1.6297508346206436e-07,11.3,895252.4427477133,54413574.59866292
31,1.7886495290574352e-07,11.200000000000001,864573.5750883056,49925686.87244413
32,1.9630406500402725e-07,11.100000000000001,834024.4330339477,45789288.70279565
33,2.1544346900318867e-07,11.100000000000001,803626.5126948745,41313719.12198891
34,2.3644894126454072e-07,11.0,773400.4360413003,37866064.971869044
35,2.5950242113997374e-07,10.9,743372.1059690401,34692384.18512645
36,2.848035868435805e-07,10.8,713568.7813469925,31772401.12368362
37,3.125715849688235e-07,10.700000000000001,684020.1062129588,29087246.7420859
38,3.4304692863149193e-07,10.600000000000001,654758.1193067839,26619365.486442853
39,3.764935806792471e-07,10.600000000000001,625818.2209078616,23983697.809479818
40,4.1320124001153343e-07,10.5,597235.0368963572,21936917.39253794
41,4.534878508128582e-07,10.4,569048.2687661652,20058616.07750798
42,4.977023564332114e-07,10.3,541298.4485206185,18335944.246706773
43,5.462277217684337e-07,10.200000000000001,514027.58599667455,16756953.16329709
44,5.994842503189409e-07,10.100000000000001,487278.72393389244,15310532.624766693
45,6.579332246575682e-07,10.0,461095.37888269493,13986351.62845106
46,7.220809018385472e-07,9.9,435520.8624920698,12774802.115608184
47,7.924828983539186e-07,9.9,410598.4789742145,11500186.344376324
48,8.697490026177835e-07,9.8,386366.6630112126,10503351.42549045
49,9.545484566618346e-07,9.700000000000001,362863.8336018596,9592657.709318072
50,1.0476157527896663e-06,9.700000000000001,340124.4854337176,8637709.02252397
51,1.1497569953977357e-06,9.600000000000001,318175.06264412665,7890035.295106717
52,1.261856883066021e-06,9.600000000000001,297039.9516320107,7106841.509399567
53,1.3848863713938746e-06,9.600000000000001,276733.6233624612,6402500.969313773
54,1.519911082952933e-06,9.600000000000001,257264.06215850718,5768883.732483578
55,1.6681005372000591e-06,9.700000000000001,238632.51836961228,5125432.037178105
56,1.8307382802953698e-06,9.8,220830.37529479314,4553492.628787181
57,2.0092330025650458e-06,9.9,203842.75585228292,4044727.92887642
58,2.2051307399030456e-06,10.100000000000001,187649.11115614377,3539568.3522855453
59,2.4201282647943835e-06,10.3,172221.25294343318,3094878.457267366
60,2.656087782946684e-06,10.5,157527.3830933141,2703096.042038693
61,2.9150530628251817e-06,10.8,143533.28032612405,2321292.438686841
62,3.1992671377973847e-06,11.200000000000001,130201.47047781969,1956707.0758842607
63,3.5111917342151347e-06,11.700000000000001,117493.15885551562,1615051.1871062196
64,3.853528593710536e-06,12.3,105369.16668752453,1300634.0746331997
65,4.229242874389499e-06,13.0,93790.63719995189,1016490.4175407884
66,4.641588833612782e-06,13.8,82719.50883593969,764506.8653045011
67,5.094138014816386e-06,14.9,72120.84410834877,517212.2972035208
68,5.590810182512223e-06,16.3,61959.014841995595,290198.4886678268
69,6.1359072734131755e-06,18.1,52200.53624468927,85677.83584793171
70,6.7341506577508285e-06,19.0,42786.884205636714,7249.71276227315
71,7.390722033525775e-06,19.0,33503.738660901065,6209.569520364842
72,8.111308307896873e-06,19.0,23339.219232760028,4848.337131948094
73,8.902150854450392e-06,19.0,10390.273650382462,2321.4019519982044
74,9.770099572992246e-06,19.0,1996.880192655966,417.0329335472896
75,1.0722672220103253e-05,19.0,369.67537068514537,61.19445010601776
76,1.1768119524349992e-05,4.7,72.57861875657096,2814.355286308796
77,1.2915496650148827e-05,2.5,40.040356970476495,1899.0308290316727
78,1.4174741629268077e-05,1.7000000000000002,28.438453938227138,1425.906841621408
79,1.5556761439304724e-05,1.4000000000000001,23.610758890196198,1149.7507880106457
80,1.7073526474706923e-05,1.1,19.509489646820434,981.9505137950875
81,1.8738174228603867e-05,1.0,17.76675296889158,861.7675996490407
82,2.0565123083486515e-05,0.9,16.229826745327593,776.2567877345138
83,2.2570197196339216e-05,0.8,14.829407941422813,712.7272706471848
84,2.477076355991714e-05,0.7000000000000001,13.508794196433774,663.9456756807397
85,2.71858824273294e-05,0.7000000000000001,13.25846034820843,622.4852630765296
86,2.9836472402833404e-05,0.6000000000000001,12.040929063077423,591.8673520821734
87,3.274549162877732e-05,0.6000000000000001,11.878943894875386,564.1930550405057
88,3.5938136638046256e-05,0.6000000000000001,11.731618517160667,541.1154939053117
89,3.944206059437664e-05,0.6000000000000001,11.597721100153128,521.6506773346101
90,4.328761281083062e-05,0.5,10.488390791088765,507.5939749702576
91,4.750810162102793e-05,0.5,10.40375362161447,493.35459562410824
92,5.214008287999695e-05,0.5,10.32653235402642,481.05183641541515
93,5.72236765935022e-05,0.5,10.25612161165958,470.33951812416785
94,6.28029144183426e-05,0.5,10.1919536229882,461.0158600358645
95,6.89261210434971e-05,0.5,10.133498976545752,452.8178452666503
96,7.56463327554629e-05,0.5,10.080266357218724,445.5953635057199
97,8.302175681319752e-05,0.5,10.031801548731991,439.21131964923137
98,9.111627561154906e-05,0.5,9.987686253082076,433.54795343158776
99,0.0001,0.4,8.94806012529551,430.5798692664249
